file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time
iperf3_result_20231019180438.txt,11.7Mbits/sec,16.1Mbits/sec,19.8Mbits/sec,24.3Mbits/sec,28.1Mbits/sec,37.9Mbits/sec,43.1Mbits/sec,47.4Mbits/sec,46.2Mbits/sec,47.6Mbits/sec,73.9Mbits/sec,10.03
iperf3_result_20231019181256.txt,1.77Mbits/sec,2.04Mbits/sec,2.09Mbits/sec,2.56Mbits/sec,2.06Mbits/sec,2.02Mbits/sec,2.04Mbits/sec,2.04Mbits/sec,1.99Mbits/sec,2.04Mbits/sec,4.24Mbits/sec,10.03
iperf3_result_20231019183737.txt,1.88Mbits/sec,1.97Mbits/sec,2.03Mbits/sec,4.46Mbits/sec,1.95Mbits/sec,2.04Mbits/sec,1.98Mbits/sec,2.06Mbits/sec,2.04Mbits/sec,1.97Mbits/sec,1.79Mbits/sec,10.05
iperf3_result_20231019183911.txt,1.78Mbits/sec,2.03Mbits/sec,4.19Mbits/sec,2.06Mbits/sec,2.02Mbits/sec,2.04Mbits/sec,1.99Mbits/sec,2.04Mbits/sec,2.04Mbits/sec,2.04Mbits/sec,1.37Mbits/sec,10.06
iperf3_result_20231019181041.txt,2.48Mbits/sec,1.98Mbits/sec,2.07Mbits/sec,2.18Mbits/sec,2.47Mbits/sec,1.99Mbits/sec,2.04Mbits/sec,2.04Mbits/sec,1.99Mbits/sec,2.03Mbits/sec,1.67Mbits/sec,10.06
iperf3_result_20231019180407.txt,11.0Mbits/sec,9.85Mbits/sec,12.1Mbits/sec,13.0Mbits/sec,16.6Mbits/sec,20.4Mbits/sec,24.2Mbits/sec,30.0Mbits/sec,43.9Mbits/sec,45.7Mbits/sec,55.4Mbits/sec,10.05
iperf3_result_20231019180611.txt,36.5Mbits/sec,47.5Mbits/sec,47.4Mbits/sec,48.6Mbits/sec,46.7Mbits/sec,46.8Mbits/sec,48.4Mbits/sec,47.2Mbits/sec,47.8Mbits/sec,47.0Mbits/sec,51.6Mbits/sec,10.08
iperf3_result_20231019180836.txt,3.52Mbits/sec,3.89Mbits/sec,3.83Mbits/sec,3.88Mbits/sec,5.31Mbits/sec,8.27Mbits/sec,4.35Mbits/sec,4.31Mbits/sec,4.77Mbits/sec,4.65Mbits/sec,2.94Mbits/sec,10.05
iperf3_result_20231019181122.txt,2.06Mbits/sec,2.03Mbits/sec,2.04Mbits/sec,2.37Mbits/sec,2.27Mbits/sec,1.99Mbits/sec,2.04Mbits/sec,2.02Mbits/sec,2.02Mbits/sec,2.03Mbits/sec,2.47Mbits/sec,10.05
iperf3_result_20231019183655.txt,1.78Mbits/sec,2.05Mbits/sec,1.99Mbits/sec,2.06Mbits/sec,3.92Mbits/sec,1.99Mbits/sec,2.09Mbits/sec,1.98Mbits/sec,2.04Mbits/sec,2.04Mbits/sec,1.79Mbits/sec,10.05
