file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-12.00,12.00-13.00,13.00-13.94,13.00-14.00,14.00-15.00,15.00-16.00,16.00-16.11,16.00-17.00,17.00-17.55,12.00-12.66,12.00-12.63,14.00-14.36,17.00-18.00,18.00-19.00,19.00-20.00,20.00-20.19,20.00-21.00,21.00-21.50,19.00-19.42,14.00-14.59,16.00-16.60,18.00-18.65,20.00-20.25,13.00-13.98,14.00-14.16,13.00-13.96,14.00-14.49,20.00-20.51,16.00-16.54,16.00-16.10,14.00-14.20,12.00-12.58,11.00-11.15,14.00-14.14
iperf3_result_20231019172309.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,34.8Kbits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,12.4Kbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171952.txt,0.00bits/sec,0.00bits/sec,69.5Kbits/sec,69.5Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171826.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,11.6Kbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171417.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,232Kbits/sec,463Kbits/sec,811Kbits/sec,1.62Mbits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,69.5Kbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173000.txt,5.76Mbits/sec,41.4Mbits/sec,24.2Mbits/sec,27.6Mbits/sec,34.5Mbits/sec,41.9Mbits/sec,46.5Mbits/sec,53.4Mbits/sec,32.9Mbits/sec,11.6Kbits/sec,20.6Mbits/sec,10.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173148.txt,16.3Mbits/sec,15.9Mbits/sec,11.7Mbits/sec,10.7Mbits/sec,8.34Mbits/sec,11.9Mbits/sec,9.40Mbits/sec,9.72Mbits/sec,10.1Mbits/sec,10.5Mbits/sec,8.69Mbits/sec,10.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172901.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,34.8Kbits/sec,46.3Kbits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,11.6Kbits/sec,,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172040.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,11.6Kbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172041.txt,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171612.txt,0.00bits/sec,0.00bits/sec,116Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,0.00bits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
