file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time
iperf3_result_20231019180821.txt,34.0Mbits/sec,35.1Mbits/sec,34.0Mbits/sec,36.3Mbits/sec,36.0Mbits/sec,36.0Mbits/sec,35.8Mbits/sec,37.2Mbits/sec,37.2Mbits/sec,37.0Mbits/sec,29.6Mbits/sec,10.08
iperf3_result_20231019181055.txt,20.8Mbits/sec,22.4Mbits/sec,22.9Mbits/sec,21.3Mbits/sec,22.5Mbits/sec,21.9Mbits/sec,28.5Mbits/sec,20.3Mbits/sec,21.7Mbits/sec,21.0Mbits/sec,27.6Mbits/sec,10.08
iperf3_result_20231019181137.txt,19.6Mbits/sec,23.1Mbits/sec,22.5Mbits/sec,22.8Mbits/sec,22.3Mbits/sec,23.0Mbits/sec,28.7Mbits/sec,21.8Mbits/sec,21.8Mbits/sec,21.5Mbits/sec,21.0Mbits/sec,10.08
iperf3_result_20231019180943.txt,33.3Mbits/sec,36.1Mbits/sec,34.7Mbits/sec,35.8Mbits/sec,34.3Mbits/sec,35.6Mbits/sec,34.8Mbits/sec,34.7Mbits/sec,33.6Mbits/sec,35.2Mbits/sec,37.0Mbits/sec,10.08
iperf3_result_20231019180953.txt,34.1Mbits/sec,35.6Mbits/sec,33.3Mbits/sec,32.2Mbits/sec,34.1Mbits/sec,37.8Mbits/sec,36.8Mbits/sec,29.9Mbits/sec,34.5Mbits/sec,34.7Mbits/sec,42.9Mbits/sec,10.06
iperf3_result_20231019181126.txt,21.0Mbits/sec,21.7Mbits/sec,22.3Mbits/sec,21.8Mbits/sec,23.1Mbits/sec,21.6Mbits/sec,29.0Mbits/sec,21.6Mbits/sec,21.7Mbits/sec,21.3Mbits/sec,18.7Mbits/sec,10.09
iperf3_result_20231019181045.txt,20.6Mbits/sec,22.4Mbits/sec,22.2Mbits/sec,21.8Mbits/sec,21.2Mbits/sec,22.8Mbits/sec,26.3Mbits/sec,21.6Mbits/sec,21.7Mbits/sec,21.4Mbits/sec,22.3Mbits/sec,10.10
iperf3_result_20231019180831.txt,33.9Mbits/sec,35.2Mbits/sec,36.8Mbits/sec,33.4Mbits/sec,36.9Mbits/sec,37.5Mbits/sec,34.6Mbits/sec,37.8Mbits/sec,36.7Mbits/sec,32.8Mbits/sec,58.5Mbits/sec,10.06
iperf3_result_20231019180842.txt,35.3Mbits/sec,35.6Mbits/sec,34.6Mbits/sec,32.6Mbits/sec,33.0Mbits/sec,33.8Mbits/sec,34.0Mbits/sec,34.4Mbits/sec,35.4Mbits/sec,35.1Mbits/sec,21.1Mbits/sec,10.05
iperf3_result_20231019181157.txt,20.6Mbits/sec,22.0Mbits/sec,22.3Mbits/sec,21.9Mbits/sec,22.4Mbits/sec,22.7Mbits/sec,29.2Mbits/sec,21.1Mbits/sec,21.6Mbits/sec,21.5Mbits/sec,16.0Mbits/sec,10.10
iperf3_result_20231019180923.txt,34.3Mbits/sec,34.1Mbits/sec,37.2Mbits/sec,31.2Mbits/sec,35.1Mbits/sec,35.5Mbits/sec,35.7Mbits/sec,34.4Mbits/sec,35.7Mbits/sec,34.7Mbits/sec,36.9Mbits/sec,10.08
iperf3_result_20231019181208.txt,20.7Mbits/sec,23.0Mbits/sec,22.2Mbits/sec,22.8Mbits/sec,21.9Mbits/sec,21.0Mbits/sec,30.7Mbits/sec,21.3Mbits/sec,22.5Mbits/sec,21.1Mbits/sec,17.4Mbits/sec,10.09
iperf3_result_20231019181035.txt,30.5Mbits/sec,35.6Mbits/sec,36.7Mbits/sec,35.5Mbits/sec,34.8Mbits/sec,36.0Mbits/sec,32.0Mbits/sec,21.4Mbits/sec,22.3Mbits/sec,21.8Mbits/sec,21.7Mbits/sec,10.08
iperf3_result_20231019181024.txt,35.2Mbits/sec,37.3Mbits/sec,33.5Mbits/sec,34.5Mbits/sec,37.6Mbits/sec,36.9Mbits/sec,37.0Mbits/sec,34.5Mbits/sec,34.3Mbits/sec,33.0Mbits/sec,36.8Mbits/sec,10.08
iperf3_result_20231019181218.txt,21.0Mbits/sec,21.5Mbits/sec,21.6Mbits/sec,22.7Mbits/sec,22.1Mbits/sec,22.1Mbits/sec,28.0Mbits/sec,21.2Mbits/sec,20.7Mbits/sec,20.5Mbits/sec,22.6Mbits/sec,10.08
iperf3_result_20231019180933.txt,34.7Mbits/sec,33.1Mbits/sec,35.5Mbits/sec,35.2Mbits/sec,35.6Mbits/sec,36.7Mbits/sec,37.7Mbits/sec,35.1Mbits/sec,36.6Mbits/sec,34.9Mbits/sec,31.6Mbits/sec,10.07
iperf3_result_20231019181147.txt,21.3Mbits/sec,22.7Mbits/sec,21.6Mbits/sec,22.1Mbits/sec,21.6Mbits/sec,21.6Mbits/sec,28.3Mbits/sec,21.6Mbits/sec,21.1Mbits/sec,21.4Mbits/sec,22.4Mbits/sec,10.06
iperf3_result_20231019180852.txt,33.1Mbits/sec,36.8Mbits/sec,33.0Mbits/sec,37.3Mbits/sec,34.0Mbits/sec,37.8Mbits/sec,36.7Mbits/sec,35.4Mbits/sec,35.9Mbits/sec,33.9Mbits/sec,44.8Mbits/sec,10.06
iperf3_result_20231019181228.txt,20.8Mbits/sec,22.5Mbits/sec,23.0Mbits/sec,22.7Mbits/sec,21.7Mbits/sec,22.6Mbits/sec,25.8Mbits/sec,20.9Mbits/sec,20.8Mbits/sec,21.3Mbits/sec,19.0Mbits/sec,10.08
iperf3_result_20231019180902.txt,32.2Mbits/sec,35.6Mbits/sec,32.7Mbits/sec,33.2Mbits/sec,32.3Mbits/sec,35.0Mbits/sec,34.4Mbits/sec,35.3Mbits/sec,34.4Mbits/sec,34.3Mbits/sec,47.1Mbits/sec,10.04
iperf3_result_20231019181014.txt,34.8Mbits/sec,38.4Mbits/sec,35.7Mbits/sec,34.7Mbits/sec,34.2Mbits/sec,34.7Mbits/sec,34.4Mbits/sec,36.7Mbits/sec,36.5Mbits/sec,36.2Mbits/sec,22.4Mbits/sec,10.08
