file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-12.00,12.00-13.00,13.00-13.94,12.00-12.36,11.00-11.06,13.00-14.00,14.00-14.70,13.00-13.96,13.00-13.98,14.00-14.20,14.00-14.40,14.00-14.16,13.00-13.78,11.00-11.03,14.00-15.00,15.00-16.00,16.00-16.50,13.00-13.95
iperf3_result_20231019173003.txt,70.0Mbits/sec,75.6Mbits/sec,69.2Mbits/sec,65.0Mbits/sec,60.6Mbits/sec,56.5Mbits/sec,57.0Mbits/sec,82.2Mbits/sec,84.0Mbits/sec,90.8Mbits/sec,73.3Mbits/sec,10.15,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171748.txt,0.00bits/sec,8.06Mbits/sec,8.44Mbits/sec,7.51Mbits/sec,9.15Mbits/sec,8.98Mbits/sec,8.38Mbits/sec,9.14Mbits/sec,9.65Mbits/sec,8.97Mbits/sec,10.1Mbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,
iperf3_result_20231019172042.txt,0.00bits/sec,5.47Mbits/sec,4.53Mbits/sec,5.05Mbits/sec,3.52Mbits/sec,4.96Mbits/sec,4.31Mbits/sec,4.27Mbits/sec,3.46Mbits/sec,4.14Mbits/sec,10.3Mbits/sec,>= 11.00,23.1Kbits/sec,,,0.00bits/sec,,,,,,,,,,,,,,
iperf3_result_20231019172903.txt,0.00bits/sec,10.2Mbits/sec,9.67Mbits/sec,9.67Mbits/sec,10.6Mbits/sec,9.78Mbits/sec,9.92Mbits/sec,9.45Mbits/sec,8.28Mbits/sec,8.58Mbits/sec,9.64Mbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,,,,,,,,,,,,,,,
iperf3_result_20231019171615.txt,0.00bits/sec,1.39Mbits/sec,2.99Mbits/sec,4.31Mbits/sec,4.21Mbits/sec,3.45Mbits/sec,3.83Mbits/sec,3.97Mbits/sec,4.11Mbits/sec,4.11Mbits/sec,10.1Mbits/sec,>= 11.00,,,,,28.5Mbits/sec,,,,,,,,,,,,,
iperf3_result_20231019171403.txt,0.00bits/sec,9.46Mbits/sec,8.00Mbits/sec,8.40Mbits/sec,8.90Mbits/sec,10.1Mbits/sec,7.52Mbits/sec,7.52Mbits/sec,8.75Mbits/sec,8.66Mbits/sec,8.53Mbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,,,0.00bits/sec,0.00bits/sec,,,,,,,,,,,
iperf3_result_20231019171950.txt,0.00bits/sec,9.42Mbits/sec,9.09Mbits/sec,8.46Mbits/sec,10.8Mbits/sec,10.8Mbits/sec,10.5Mbits/sec,9.99Mbits/sec,8.95Mbits/sec,9.52Mbits/sec,9.78Mbits/sec,>= 11.00,11.6Kbits/sec,0.00bits/sec,,,,,,0.00bits/sec,,,,,,,,,,
iperf3_result_20231019173148.txt,72.4Mbits/sec,78.9Mbits/sec,71.5Mbits/sec,84.8Mbits/sec,83.2Mbits/sec,88.5Mbits/sec,87.2Mbits/sec,80.3Mbits/sec,88.8Mbits/sec,88.4Mbits/sec,71.4Mbits/sec,10.26,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172135.txt,0.00bits/sec,8.49Mbits/sec,8.65Mbits/sec,8.44Mbits/sec,7.37Mbits/sec,8.34Mbits/sec,8.00Mbits/sec,8.93Mbits/sec,8.60Mbits/sec,6.79Mbits/sec,8.75Mbits/sec,>= 11.00,11.6Kbits/sec,0.00bits/sec,,,,,,,0.00bits/sec,,,,,,,,,
iperf3_result_20231019173158.txt,73.8Mbits/sec,76.6Mbits/sec,76.8Mbits/sec,77.8Mbits/sec,82.0Mbits/sec,82.6Mbits/sec,83.5Mbits/sec,84.9Mbits/sec,93.0Mbits/sec,86.4Mbits/sec,93.1Mbits/sec,10.09,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171808.txt,0.00bits/sec,8.94Mbits/sec,9.17Mbits/sec,8.93Mbits/sec,10.0Mbits/sec,9.33Mbits/sec,10.1Mbits/sec,10.4Mbits/sec,9.95Mbits/sec,9.31Mbits/sec,10.7Mbits/sec,>= 11.00,208Kbits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019172720.txt,0.00bits/sec,7.64Mbits/sec,7.21Mbits/sec,9.12Mbits/sec,9.56Mbits/sec,9.24Mbits/sec,9.52Mbits/sec,10.0Mbits/sec,8.70Mbits/sec,9.37Mbits/sec,7.16Mbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019172251.txt,0.00bits/sec,9.79Mbits/sec,9.53Mbits/sec,10.0Mbits/sec,9.02Mbits/sec,8.57Mbits/sec,8.88Mbits/sec,8.85Mbits/sec,8.99Mbits/sec,9.88Mbits/sec,9.52Mbits/sec,>= 11.00,11.6Kbits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019172331.txt,0.00bits/sec,7.85Mbits/sec,8.38Mbits/sec,7.88Mbits/sec,8.78Mbits/sec,9.14Mbits/sec,8.45Mbits/sec,8.95Mbits/sec,6.60Mbits/sec,6.30Mbits/sec,6.73Mbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
iperf3_result_20231019173013.txt,57.4Mbits/sec,63.9Mbits/sec,57.2Mbits/sec,55.3Mbits/sec,77.4Mbits/sec,78.7Mbits/sec,84.5Mbits/sec,87.1Mbits/sec,74.5Mbits/sec,82.2Mbits/sec,101Mbits/sec,10.16,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172802.txt,0.00bits/sec,9.07Mbits/sec,8.54Mbits/sec,9.72Mbits/sec,7.68Mbits/sec,8.66Mbits/sec,8.81Mbits/sec,8.76Mbits/sec,8.20Mbits/sec,8.10Mbits/sec,9.04Mbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,,,0.00bits/sec,,,,,,,,,,,,
