file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time
iperf3_result_20231019181256.txt,19.8Mbits/sec,20.7Mbits/sec,20.8Mbits/sec,27.0Mbits/sec,22.7Mbits/sec,22.0Mbits/sec,21.3Mbits/sec,22.4Mbits/sec,22.0Mbits/sec,22.0Mbits/sec,27.1Mbits/sec,10.08
iperf3_result_20231019181041.txt,18.5Mbits/sec,21.9Mbits/sec,21.3Mbits/sec,26.3Mbits/sec,22.2Mbits/sec,22.1Mbits/sec,21.7Mbits/sec,21.7Mbits/sec,22.5Mbits/sec,23.0Mbits/sec,15.0Mbits/sec,10.08
iperf3_result_20231019183720.txt,22.7Mbits/sec,22.7Mbits/sec,22.6Mbits/sec,22.4Mbits/sec,22.6Mbits/sec,23.0Mbits/sec,22.3Mbits/sec,23.1Mbits/sec,23.0Mbits/sec,22.6Mbits/sec,16.4Mbits/sec,10.08
iperf3_result_20231019183913.txt,21.0Mbits/sec,23.5Mbits/sec,23.0Mbits/sec,23.4Mbits/sec,22.8Mbits/sec,22.6Mbits/sec,22.8Mbits/sec,23.2Mbits/sec,23.6Mbits/sec,22.8Mbits/sec,29.8Mbits/sec,10.08
iperf3_result_20231019181122.txt,18.5Mbits/sec,22.0Mbits/sec,20.7Mbits/sec,26.7Mbits/sec,21.0Mbits/sec,20.8Mbits/sec,21.7Mbits/sec,20.9Mbits/sec,21.5Mbits/sec,21.6Mbits/sec,22.9Mbits/sec,10.08
iperf3_result_20231019183523.txt,23.2Mbits/sec,23.6Mbits/sec,23.7Mbits/sec,22.6Mbits/sec,23.2Mbits/sec,22.9Mbits/sec,23.6Mbits/sec,23.3Mbits/sec,23.6Mbits/sec,23.1Mbits/sec,21.8Mbits/sec,10.11
iperf3_result_20231019181133.txt,19.1Mbits/sec,21.8Mbits/sec,20.1Mbits/sec,27.2Mbits/sec,22.2Mbits/sec,21.8Mbits/sec,22.1Mbits/sec,20.9Mbits/sec,21.8Mbits/sec,21.7Mbits/sec,19.8Mbits/sec,10.07
iperf3_result_20231019181245.txt,19.4Mbits/sec,20.2Mbits/sec,20.2Mbits/sec,26.3Mbits/sec,22.7Mbits/sec,21.5Mbits/sec,22.2Mbits/sec,21.7Mbits/sec,22.2Mbits/sec,20.7Mbits/sec,19.9Mbits/sec,10.10
iperf3_result_20231019181051.txt,21.3Mbits/sec,21.6Mbits/sec,21.7Mbits/sec,24.6Mbits/sec,21.8Mbits/sec,22.0Mbits/sec,22.2Mbits/sec,22.1Mbits/sec,21.6Mbits/sec,21.8Mbits/sec,21.5Mbits/sec,10.06
iperf3_result_20231019183608.txt,20.0Mbits/sec,22.1Mbits/sec,21.2Mbits/sec,21.6Mbits/sec,21.4Mbits/sec,21.3Mbits/sec,21.4Mbits/sec,21.2Mbits/sec,21.8Mbits/sec,21.8Mbits/sec,22.1Mbits/sec,10.08
iperf3_result_20231019181235.txt,18.9Mbits/sec,20.4Mbits/sec,20.7Mbits/sec,26.9Mbits/sec,23.2Mbits/sec,21.6Mbits/sec,22.5Mbits/sec,22.1Mbits/sec,21.9Mbits/sec,21.7Mbits/sec,22.9Mbits/sec,10.10
iperf3_result_20231019181143.txt,19.2Mbits/sec,21.4Mbits/sec,20.4Mbits/sec,26.1Mbits/sec,21.4Mbits/sec,22.8Mbits/sec,21.9Mbits/sec,21.0Mbits/sec,21.5Mbits/sec,21.1Mbits/sec,22.6Mbits/sec,10.07
iperf3_result_20231019183812.txt,19.5Mbits/sec,21.4Mbits/sec,21.0Mbits/sec,20.3Mbits/sec,21.9Mbits/sec,21.4Mbits/sec,22.0Mbits/sec,21.8Mbits/sec,22.3Mbits/sec,20.9Mbits/sec,35.8Mbits/sec,10.08
iperf3_result_20231019183801.txt,21.8Mbits/sec,22.7Mbits/sec,22.5Mbits/sec,22.8Mbits/sec,22.8Mbits/sec,22.6Mbits/sec,22.5Mbits/sec,22.3Mbits/sec,22.7Mbits/sec,22.6Mbits/sec,19.5Mbits/sec,10.09
iperf3_result_20231019183751.txt,22.2Mbits/sec,22.2Mbits/sec,23.1Mbits/sec,23.0Mbits/sec,22.1Mbits/sec,22.3Mbits/sec,23.1Mbits/sec,22.9Mbits/sec,22.4Mbits/sec,22.9Mbits/sec,19.4Mbits/sec,10.10
iperf3_result_20231019181153.txt,19.0Mbits/sec,21.4Mbits/sec,20.7Mbits/sec,27.0Mbits/sec,22.2Mbits/sec,22.2Mbits/sec,22.2Mbits/sec,21.9Mbits/sec,22.6Mbits/sec,22.0Mbits/sec,20.3Mbits/sec,10.12
iperf3_result_20231019181225.txt,19.2Mbits/sec,20.6Mbits/sec,22.4Mbits/sec,26.8Mbits/sec,22.2Mbits/sec,20.2Mbits/sec,21.5Mbits/sec,22.2Mbits/sec,20.0Mbits/sec,21.6Mbits/sec,18.4Mbits/sec,10.12
iperf3_result_20231019183832.txt,21.0Mbits/sec,22.9Mbits/sec,22.6Mbits/sec,23.1Mbits/sec,23.3Mbits/sec,23.0Mbits/sec,23.1Mbits/sec,23.3Mbits/sec,23.5Mbits/sec,22.9Mbits/sec,31.4Mbits/sec,10.08
iperf3_result_20231019181214.txt,20.1Mbits/sec,21.0Mbits/sec,20.5Mbits/sec,26.5Mbits/sec,20.4Mbits/sec,21.4Mbits/sec,21.0Mbits/sec,21.6Mbits/sec,22.0Mbits/sec,21.6Mbits/sec,25.3Mbits/sec,10.06
iperf3_result_20231019183955.txt,22.5Mbits/sec,23.3Mbits/sec,23.0Mbits/sec,23.0Mbits/sec,23.9Mbits/sec,22.5Mbits/sec,23.0Mbits/sec,23.4Mbits/sec,23.8Mbits/sec,23.3Mbits/sec,20.7Mbits/sec,10.10
iperf3_result_20231019181204.txt,18.1Mbits/sec,20.5Mbits/sec,22.2Mbits/sec,26.7Mbits/sec,23.0Mbits/sec,22.2Mbits/sec,22.6Mbits/sec,21.3Mbits/sec,22.2Mbits/sec,22.7Mbits/sec,20.2Mbits/sec,10.12
iperf3_result_20231019183822.txt,20.2Mbits/sec,22.1Mbits/sec,21.8Mbits/sec,21.8Mbits/sec,22.0Mbits/sec,21.0Mbits/sec,22.5Mbits/sec,22.1Mbits/sec,20.8Mbits/sec,21.7Mbits/sec,38.2Mbits/sec,10.08
iperf3_result_20231019183639.txt,23.2Mbits/sec,22.4Mbits/sec,22.8Mbits/sec,22.5Mbits/sec,22.5Mbits/sec,22.5Mbits/sec,23.1Mbits/sec,22.9Mbits/sec,22.9Mbits/sec,22.2Mbits/sec,16.3Mbits/sec,10.05
