0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
23.8Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,30.2Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.1Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.3Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,30.3Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.6Mbits/sec
24.6Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,23.6Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.3Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.5Mbits/sec,23.3Mbits/sec,23.8Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,29.9Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,23.3Mbits/sec,23.4Mbits/sec
26.8Mbits/sec,24.3Mbits/sec,24.3Mbits/sec,24.2Mbits/sec,24.3Mbits/sec,24.3Mbits/sec,24.3Mbits/sec,24.3Mbits/sec,24.3Mbits/sec,24.3Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,30.5Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,23.3Mbits/sec,23.2Mbits/sec
23.7Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,32.1Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,30.5Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.5Mbits/sec
24.9Mbits/sec,23.2Mbits/sec,22.9Mbits/sec,22.9Mbits/sec,23.4Mbits/sec,23.5Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.1Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,30.8Mbits/sec,23.4Mbits/sec,23.1Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.2Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,30.3Mbits/sec,23.1Mbits/sec,23.4Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.4Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.9Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,24.0Mbits/sec
24.6Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.7Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.3Mbits/sec
24.6Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.7Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.3Mbits/sec
23.7Mbits/sec,23.1Mbits/sec,23.4Mbits/sec,30.9Mbits/sec,23.3Mbits/sec,23.1Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.2Mbits/sec
23.7Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,30.7Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,23.3Mbits/sec,23.1Mbits/sec,23.3Mbits/sec,23.4Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.5Mbits/sec,23.4Mbits/sec,23.3Mbits/sec,24.0Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,30.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.2Mbits/sec
24.6Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.7Mbits/sec,23.3Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,30.8Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.4Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.8Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,24.0Mbits/sec
24.7Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.7Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.2Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.6Mbits/sec,23.2Mbits/sec,23.6Mbits/sec
22.6Mbits/sec,22.5Mbits/sec,22.4Mbits/sec,22.4Mbits/sec,22.4Mbits/sec,23.5Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,23.4Mbits/sec,23.2Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,30.8Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.4Mbits/sec
24.6Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.5Mbits/sec,23.5Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.3Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,32.8Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.4Mbits/sec
24.6Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.3Mbits/sec,23.2Mbits/sec,23.7Mbits/sec,23.4Mbits/sec,23.2Mbits/sec,23.3Mbits/sec,23.3Mbits/sec
24.7Mbits/sec,24.3Mbits/sec,24.3Mbits/sec,24.3Mbits/sec,24.3Mbits/sec,24.3Mbits/sec,24.3Mbits/sec,24.3Mbits/sec,24.3Mbits/sec,24.3Mbits/sec
23.6Mbits/sec,23.2Mbits/sec,23.4Mbits/sec,23.3Mbits/sec,23.1Mbits/sec,23.3Mbits/sec,23.4Mbits/sec,23.6Mbits/sec,23.3Mbits/sec,23.5Mbits/sec
