file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019155013.txt,3.29Mbits/sec,1.08Mbits/sec,1.56Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,2.09Mbits/sec
iperf3_result_20231019154709.txt,5.79Mbits/sec,1.56Mbits/sec,1.56Mbits/sec,2.09Mbits/sec,0.00bits/sec,2.09Mbits/sec,0.00bits/sec,0.00bits/sec,1.56Mbits/sec,0.00bits/sec
iperf3_result_20231019154720.txt,5.74Mbits/sec,3.65Mbits/sec,0.00bits/sec,3.13Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019154647.txt,16.7Mbits/sec,12.5Mbits/sec,7.82Mbits/sec,8.86Mbits/sec,0.00bits/sec,9.39Mbits/sec,4.69Mbits/sec,4.69Mbits/sec,16.2Mbits/sec,0.00bits/sec
iperf3_result_20231019154929.txt,4.32Mbits/sec,2.08Mbits/sec,1.04Mbits/sec,0.00bits/sec,0.00bits/sec,3.15Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019154530.txt,3.72Mbits/sec,11.5Mbits/sec,11.5Mbits/sec,10.9Mbits/sec,8.86Mbits/sec,10.4Mbits/sec,11.5Mbits/sec,0.00bits/sec,0.00bits/sec,10.3Mbits/sec
iperf3_result_20231019154518.txt,2.92Mbits/sec,0.00bits/sec,2.55Mbits/sec,3.31Mbits/sec,1.27Mbits/sec,1.53Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019155002.txt,9.96Mbits/sec,4.17Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,6.28Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019154730.txt,6.58Mbits/sec,1.56Mbits/sec,0.00bits/sec,0.00bits/sec,2.61Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019155413.txt,7.39Mbits/sec,9.91Mbits/sec,8.86Mbits/sec,11.5Mbits/sec,14.6Mbits/sec,12.0Mbits/sec,14.6Mbits/sec,10.3Mbits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019154636.txt,15.0Mbits/sec,18.2Mbits/sec,14.1Mbits/sec,10.9Mbits/sec,8.34Mbits/sec,5.73Mbits/sec,0.00bits/sec,9.47Mbits/sec,5.65Mbits/sec,12.5Mbits/sec
iperf3_result_20231019154541.txt,4.77Mbits/sec,13.6Mbits/sec,14.1Mbits/sec,15.6Mbits/sec,15.6Mbits/sec,6.77Mbits/sec,5.73Mbits/sec,0.00bits/sec,0.00bits/sec,16.7Mbits/sec
iperf3_result_20231019154741.txt,5.53Mbits/sec,1.56Mbits/sec,0.00bits/sec,0.00bits/sec,3.13Mbits/sec,0.00bits/sec,0.00bits/sec,2.09Mbits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019154803.txt,3.73Mbits/sec,2.08Mbits/sec,1.56Mbits/sec,0.00bits/sec,1.56Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019154552.txt,18.3Mbits/sec,10.4Mbits/sec,13.5Mbits/sec,10.9Mbits/sec,6.25Mbits/sec,6.78Mbits/sec,0.00bits/sec,6.78Mbits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019154814.txt,6.05Mbits/sec,0.00bits/sec,0.00bits/sec,4.20Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019154752.txt,11.0Mbits/sec,7.30Mbits/sec,5.73Mbits/sec,3.13Mbits/sec,3.65Mbits/sec,0.00bits/sec,4.69Mbits/sec,3.65Mbits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019154626.txt,12.6Mbits/sec,12.5Mbits/sec,10.4Mbits/sec,13.6Mbits/sec,17.2Mbits/sec,6.26Mbits/sec,10.3Mbits/sec,0.00bits/sec,0.00bits/sec,6.89Mbits/sec
iperf3_result_20231019155510.txt,2.04Mbits/sec,3.58Mbits/sec,5.73Mbits/sec,31.8Mbits/sec,38.6Mbits/sec,27.1Mbits/sec,41.1Mbits/sec,31.5Mbits/sec,31.5Mbits/sec,31.5Mbits/sec
iperf3_result_20231019154951.txt,4.75Mbits/sec,1.56Mbits/sec,0.00bits/sec,1.56Mbits/sec,0.00bits/sec,1.56Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019154825.txt,8.88Mbits/sec,4.17Mbits/sec,5.21Mbits/sec,6.25Mbits/sec,12.0Mbits/sec,5.73Mbits/sec,5.21Mbits/sec,4.17Mbits/sec,4.69Mbits/sec,0.00bits/sec
iperf3_result_20231019155457.txt,7.39Mbits/sec,13.6Mbits/sec,20.3Mbits/sec,42.2Mbits/sec,36.0Mbits/sec,82.9Mbits/sec,94.4Mbits/sec,52.4Mbits/sec,41.9Mbits/sec,31.4Mbits/sec
iperf3_result_20231019154615.txt,5.33Mbits/sec,3.13Mbits/sec,1.56Mbits/sec,2.09Mbits/sec,1.56Mbits/sec,0.00bits/sec,2.08Mbits/sec,0.00bits/sec,1.56Mbits/sec,0.00bits/sec
iperf3_result_20231019154836.txt,3.80Mbits/sec,2.61Mbits/sec,1.56Mbits/sec,1.56Mbits/sec,3.13Mbits/sec,2.09Mbits/sec,0.00bits/sec,5.76Mbits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019154604.txt,2.13Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,1.67Mbits/sec,0.00bits/sec,4.17Mbits/sec,6.78Mbits/sec,5.73Mbits/sec,2.08Mbits/sec
iperf3_result_20231019154940.txt,10.9Mbits/sec,5.21Mbits/sec,0.00bits/sec,7.82Mbits/sec,0.00bits/sec,5.21Mbits/sec,5.21Mbits/sec,0.00bits/sec,0.00bits/sec,7.33Mbits/sec
iperf3_result_20231019154846.txt,4.39Mbits/sec,2.09Mbits/sec,1.56Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,3.15Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019155435.txt,11.0Mbits/sec,18.8Mbits/sec,25.0Mbits/sec,24.5Mbits/sec,20.3Mbits/sec,31.5Mbits/sec,31.5Mbits/sec,10.5Mbits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019154919.txt,6.29Mbits/sec,1.56Mbits/sec,2.08Mbits/sec,2.09Mbits/sec,0.00bits/sec,0.00bits/sec,5.24Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019155024.txt,4.75Mbits/sec,2.09Mbits/sec,2.09Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,2.61Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019155424.txt,2.69Mbits/sec,3.13Mbits/sec,5.73Mbits/sec,13.0Mbits/sec,8.86Mbits/sec,11.5Mbits/sec,10.9Mbits/sec,7.30Mbits/sec,10.9Mbits/sec,7.30Mbits/sec
iperf3_result_20231019154908.txt,3.80Mbits/sec,1.04Mbits/sec,1.04Mbits/sec,0.00bits/sec,2.09Mbits/sec,0.00bits/sec,1.04Mbits/sec,1.04Mbits/sec,1.56Mbits/sec,0.00bits/sec
iperf3_result_20231019155037.txt,1.39Mbits/sec,1.18Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019154857.txt,4.60Mbits/sec,1.04Mbits/sec,1.56Mbits/sec,0.00bits/sec,1.04Mbits/sec,1.04Mbits/sec,0.00bits/sec,1.04Mbits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019154658.txt,3.72Mbits/sec,0.00bits/sec,0.00bits/sec,1.18Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,2.72Mbits/sec,0.00bits/sec,1.04Mbits/sec
