file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.05,11.00-12.00,12.00-13.00,13.00-14.00,11.00-11.66,11.00-11.51,11.00-11.23,13.00-13.31,11.00-11.06,11.00-11.11
iperf3_result_20231019155013.txt,87.5Mbits/sec,77.5Mbits/sec,35.9Mbits/sec,25.9Mbits/sec,22.3Mbits/sec,19.2Mbits/sec,17.0Mbits/sec,19.2Mbits/sec,18.4Mbits/sec,57.3Mbits/sec,75.3Mbits/sec,10.85,,,,,,,,,,
iperf3_result_20231019154709.txt,64.3Mbits/sec,60.5Mbits/sec,58.8Mbits/sec,51.7Mbits/sec,65.3Mbits/sec,59.7Mbits/sec,73.6Mbits/sec,69.7Mbits/sec,58.1Mbits/sec,65.6Mbits/sec,81.2Mbits/sec,10.32,,,,,,,,,,
iperf3_result_20231019154720.txt,65.5Mbits/sec,85.9Mbits/sec,76.5Mbits/sec,74.0Mbits/sec,74.3Mbits/sec,84.0Mbits/sec,93.2Mbits/sec,91.3Mbits/sec,90.2Mbits/sec,89.5Mbits/sec,77.3Mbits/sec,10.31,,,,,,,,,,
iperf3_result_20231019154522.txt,68.1Mbits/sec,84.9Mbits/sec,86.8Mbits/sec,65.2Mbits/sec,87.4Mbits/sec,99.2Mbits/sec,97.4Mbits/sec,102Mbits/sec,100Mbits/sec,95.0Mbits/sec,109Mbits/sec,10.25,,,,,,,,,,
iperf3_result_20231019155548.txt,55.0Mbits/sec,25.1Mbits/sec,34.1Mbits/sec,29.5Mbits/sec,43.7Mbits/sec,92.7Mbits/sec,98.8Mbits/sec,97.7Mbits/sec,85.3Mbits/sec,19.7Mbits/sec,20.6Mbits/sec,10.51,,,,,,,,,,
iperf3_result_20231019154440.txt,90.7Mbits/sec,85.6Mbits/sec,80.4Mbits/sec,77.4Mbits/sec,77.5Mbits/sec,78.7Mbits/sec,78.7Mbits/sec,88.7Mbits/sec,82.4Mbits/sec,72.7Mbits/sec,84.9Mbits/sec,10.19,,,,,,,,,,
iperf3_result_20231019160134.txt,91.5Mbits/sec,86.4Mbits/sec,22.4Mbits/sec,53.6Mbits/sec,83.5Mbits/sec,108Mbits/sec,96.4Mbits/sec,68.0Mbits/sec,25.3Mbits/sec,24.7Mbits/sec,23.9Mbits/sec,10.09,,,,,,,,,,
iperf3_result_20231019155831.txt,41.6Mbits/sec,53.4Mbits/sec,52.0Mbits/sec,52.8Mbits/sec,54.5Mbits/sec,53.8Mbits/sec,49.6Mbits/sec,55.1Mbits/sec,44.8Mbits/sec,50.5Mbits/sec,43.3Mbits/sec,10.49,,,,,,,,,,
iperf3_result_20231019155617.txt,45.3Mbits/sec,101Mbits/sec,95.4Mbits/sec,36.3Mbits/sec,24.3Mbits/sec,23.6Mbits/sec,23.4Mbits/sec,21.7Mbits/sec,20.1Mbits/sec,17.9Mbits/sec,22.2Mbits/sec,10.49,,,,,,,,,,
iperf3_result_20231019155603.txt,53.1Mbits/sec,25.5Mbits/sec,57.9Mbits/sec,96.8Mbits/sec,101Mbits/sec,103Mbits/sec,83.0Mbits/sec,19.5Mbits/sec,14.0Mbits/sec,18.0Mbits/sec,21.4Mbits/sec,>= 11.00,6.20Mbits/sec,,,,,,,,,
iperf3_result_20231019154647.txt,81.9Mbits/sec,94.4Mbits/sec,82.4Mbits/sec,97.3Mbits/sec,101Mbits/sec,107Mbits/sec,89.9Mbits/sec,89.8Mbits/sec,82.4Mbits/sec,39.3Mbits/sec,34.4Mbits/sec,10.59,,,,,,,,,,
iperf3_result_20231019154451.txt,78.5Mbits/sec,79.6Mbits/sec,58.7Mbits/sec,63.9Mbits/sec,83.5Mbits/sec,84.7Mbits/sec,77.4Mbits/sec,78.6Mbits/sec,93.6Mbits/sec,105Mbits/sec,104Mbits/sec,10.28,,,,,,,,,,
iperf3_result_20231019160119.txt,91.8Mbits/sec,77.8Mbits/sec,26.1Mbits/sec,20.9Mbits/sec,17.7Mbits/sec,23.0Mbits/sec,69.3Mbits/sec,108Mbits/sec,108Mbits/sec,89.9Mbits/sec,0.00bits/sec,>= 11.00,,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,
iperf3_result_20231019155820.txt,90.9Mbits/sec,95.4Mbits/sec,61.8Mbits/sec,29.8Mbits/sec,27.1Mbits/sec,43.1Mbits/sec,25.5Mbits/sec,24.0Mbits/sec,19.2Mbits/sec,25.7Mbits/sec,23.3Mbits/sec,10.15,,,,,,,,,,
iperf3_result_20231019154929.txt,81.5Mbits/sec,78.1Mbits/sec,82.5Mbits/sec,82.5Mbits/sec,85.0Mbits/sec,86.5Mbits/sec,90.2Mbits/sec,78.4Mbits/sec,74.7Mbits/sec,90.7Mbits/sec,70.2Mbits/sec,10.44,,,,,,,,,,
iperf3_result_20231019155809.txt,23.6Mbits/sec,25.3Mbits/sec,13.9Mbits/sec,21.5Mbits/sec,15.5Mbits/sec,20.3Mbits/sec,26.6Mbits/sec,24.3Mbits/sec,22.8Mbits/sec,24.5Mbits/sec,72.6Mbits/sec,10.69,,,,,,,,,,
iperf3_result_20231019155002.txt,77.3Mbits/sec,76.2Mbits/sec,71.5Mbits/sec,85.0Mbits/sec,90.5Mbits/sec,79.9Mbits/sec,68.8Mbits/sec,69.4Mbits/sec,57.9Mbits/sec,70.1Mbits/sec,78.3Mbits/sec,10.40,,,,,,,,,,
iperf3_result_20231019154532.txt,83.0Mbits/sec,89.0Mbits/sec,86.2Mbits/sec,79.3Mbits/sec,87.0Mbits/sec,92.1Mbits/sec,99.2Mbits/sec,108Mbits/sec,107Mbits/sec,99.2Mbits/sec,101Mbits/sec,10.13,,,,,,,,,,
iperf3_result_20231019154730.txt,68.4Mbits/sec,77.7Mbits/sec,73.8Mbits/sec,62.0Mbits/sec,61.1Mbits/sec,72.6Mbits/sec,67.2Mbits/sec,64.4Mbits/sec,66.3Mbits/sec,64.0Mbits/sec,66.5Mbits/sec,10.38,,,,,,,,,,
iperf3_result_20231019155413.txt,62.2Mbits/sec,82.0Mbits/sec,82.8Mbits/sec,86.8Mbits/sec,82.5Mbits/sec,74.9Mbits/sec,77.1Mbits/sec,73.7Mbits/sec,86.3Mbits/sec,96.5Mbits/sec,87.4Mbits/sec,10.26,,,,,,,,,,
iperf3_result_20231019154636.txt,84.6Mbits/sec,95.4Mbits/sec,93.0Mbits/sec,77.0Mbits/sec,80.3Mbits/sec,103Mbits/sec,99.6Mbits/sec,108Mbits/sec,101Mbits/sec,89.2Mbits/sec,101Mbits/sec,10.27,,,,,,,,,,
iperf3_result_20231019154409.txt,77.9Mbits/sec,86.6Mbits/sec,89.3Mbits/sec,79.0Mbits/sec,76.1Mbits/sec,83.8Mbits/sec,90.5Mbits/sec,94.6Mbits/sec,92.4Mbits/sec,89.8Mbits/sec,81.4Mbits/sec,10.19,,,,,,,,,,
iperf3_result_20231019155703.txt,15.1Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,30.7Mbits/sec,49.3Mbits/sec,29.9Mbits/sec,>= 11.00,,,,,48.2Mbits/sec,,,,,
iperf3_result_20231019155715.txt,80.4Mbits/sec,52.4Mbits/sec,47.6Mbits/sec,56.1Mbits/sec,57.1Mbits/sec,57.1Mbits/sec,57.9Mbits/sec,56.1Mbits/sec,44.4Mbits/sec,24.1Mbits/sec,20.7Mbits/sec,>= 11.00,,,,,,25.1Mbits/sec,,,,
iperf3_result_20231019154543.txt,90.2Mbits/sec,94.5Mbits/sec,87.4Mbits/sec,96.0Mbits/sec,93.6Mbits/sec,84.6Mbits/sec,88.2Mbits/sec,95.8Mbits/sec,100Mbits/sec,95.8Mbits/sec,75.0Mbits/sec,10.30,,,,,,,,,,
iperf3_result_20231019154741.txt,43.9Mbits/sec,48.8Mbits/sec,48.0Mbits/sec,50.4Mbits/sec,46.8Mbits/sec,52.0Mbits/sec,51.8Mbits/sec,47.4Mbits/sec,45.4Mbits/sec,46.0Mbits/sec,41.0Mbits/sec,10.55,,,,,,,,,,
