file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-12.00,12.00-13.00,13.00-14.00,14.00-14.13,13.00-13.94,12.00-12.45,14.00-14.18,14.00-14.19,14.00-14.16,14.00-15.00,15.00-16.00,16.00-16.61,12.00-12.40
iperf3_result_20231019164755.txt,47.8Mbits/sec,52.3Mbits/sec,48.8Mbits/sec,53.1Mbits/sec,43.7Mbits/sec,42.8Mbits/sec,47.0Mbits/sec,42.9Mbits/sec,66.1Mbits/sec,91.0Mbits/sec,86.0Mbits/sec,10.29,,,,,,,,,,,,,
iperf3_result_20231019171614.txt,0.00bits/sec,9.46Mbits/sec,9.37Mbits/sec,7.92Mbits/sec,7.11Mbits/sec,6.64Mbits/sec,7.52Mbits/sec,7.55Mbits/sec,7.29Mbits/sec,7.12Mbits/sec,7.37Mbits/sec,>= 11.00,23.2Kbits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,,
iperf3_result_20231019161956.txt,87.9Mbits/sec,84.7Mbits/sec,86.2Mbits/sec,87.2Mbits/sec,92.2Mbits/sec,91.8Mbits/sec,92.1Mbits/sec,89.7Mbits/sec,95.1Mbits/sec,97.2Mbits/sec,95.5Mbits/sec,10.25,,,,,,,,,,,,,
iperf3_result_20231019164806.txt,63.8Mbits/sec,67.6Mbits/sec,86.7Mbits/sec,52.0Mbits/sec,49.3Mbits/sec,61.2Mbits/sec,57.0Mbits/sec,64.8Mbits/sec,76.3Mbits/sec,74.3Mbits/sec,78.5Mbits/sec,10.28,,,,,,,,,,,,,
iperf3_result_20231019172042.txt,0.00bits/sec,8.27Mbits/sec,5.83Mbits/sec,6.83Mbits/sec,5.97Mbits/sec,7.59Mbits/sec,6.37Mbits/sec,6.29Mbits/sec,6.95Mbits/sec,7.24Mbits/sec,7.04Mbits/sec,>= 11.00,23.2Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,,,,,,,,
iperf3_result_20231019162331.txt,94.2Mbits/sec,107Mbits/sec,104Mbits/sec,95.2Mbits/sec,92.7Mbits/sec,104Mbits/sec,87.7Mbits/sec,86.3Mbits/sec,86.9Mbits/sec,83.8Mbits/sec,84.6Mbits/sec,10.65,,,,,,,,,,,,,
iperf3_result_20231019165058.txt,66.4Mbits/sec,70.0Mbits/sec,79.7Mbits/sec,85.0Mbits/sec,65.3Mbits/sec,64.5Mbits/sec,83.8Mbits/sec,71.1Mbits/sec,71.1Mbits/sec,74.0Mbits/sec,83.7Mbits/sec,10.49,,,,,,,,,,,,,
iperf3_result_20231019155831.txt,53.5Mbits/sec,53.4Mbits/sec,52.0Mbits/sec,52.8Mbits/sec,54.5Mbits/sec,53.8Mbits/sec,49.6Mbits/sec,55.5Mbits/sec,44.8Mbits/sec,50.6Mbits/sec,43.8Mbits/sec,10.48,,,,,,,,,,,,,
iperf3_result_20231019164838.txt,73.3Mbits/sec,84.1Mbits/sec,76.4Mbits/sec,75.5Mbits/sec,89.9Mbits/sec,93.8Mbits/sec,85.1Mbits/sec,73.2Mbits/sec,84.1Mbits/sec,85.2Mbits/sec,70.9Mbits/sec,10.23,,,,,,,,,,,,,
iperf3_result_20231019171831.txt,0.00bits/sec,0.00bits/sec,9.15Mbits/sec,8.86Mbits/sec,8.29Mbits/sec,8.98Mbits/sec,8.51Mbits/sec,8.56Mbits/sec,7.63Mbits/sec,8.62Mbits/sec,9.02Mbits/sec,>= 11.00,0.00bits/sec,0.00bits/sec,,,0.00bits/sec,,,,,,,,
