file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,0.00-1.03,1.03-2.00
iperf3_result_20231019164755.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019171614.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019161956.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164806.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019172042.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019162331.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019165058.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019155831.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164838.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019171831.txt,,,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,11.2Kbits/sec,414Mbits/sec
iperf3_result_20231019161945.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164817.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164630.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019162320.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164745.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164911.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019162353.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019165004.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019161935.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019172020.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,198Mbits/sec,202Mbits/sec,,
iperf3_result_20231019164723.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164640.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164734.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164651.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019161852.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164900.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019162342.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019165015.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019161924.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019171505.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164849.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019171736.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019161914.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019172148.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164702.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019171709.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019162007.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019165026.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019161903.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164932.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019171446.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019165036.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164921.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019171525.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019165141.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164713.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164953.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019172116.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164827.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019160328.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019165047.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019165119.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019165131.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164616.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019165108.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019171550.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
iperf3_result_20231019164943.txt,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,,
