file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.24,11.00-12.00,12.00-12.84,11.00-11.22,12.00-13.00,13.00-14.00,14.00-14.11,11.00-11.04,13.00-13.37
iperf3_result_20231019164755.txt,4.76Mbits/sec,6.26Mbits/sec,7.82Mbits/sec,10.4Mbits/sec,10.4Mbits/sec,20.3Mbits/sec,28.7Mbits/sec,39.7Mbits/sec,41.9Mbits/sec,62.9Mbits/sec,81.0Mbits/sec,10.26,,,,,,,,,
iperf3_result_20231019155417.txt,7.57Mbits/sec,14.6Mbits/sec,38.0Mbits/sec,95.7Mbits/sec,189Mbits/sec,283Mbits/sec,178Mbits/sec,189Mbits/sec,168Mbits/sec,157Mbits/sec,186Mbits/sec,10.11,,,,,,,,,
iperf3_result_20231019164806.txt,5.95Mbits/sec,10.4Mbits/sec,33.4Mbits/sec,33.9Mbits/sec,60.1Mbits/sec,115Mbits/sec,94.4Mbits/sec,126Mbits/sec,178Mbits/sec,157Mbits/sec,235Mbits/sec,10.22,,,,,,,,,
iperf3_result_20231019160256.txt,2.11Mbits/sec,4.36Mbits/sec,6.26Mbits/sec,7.82Mbits/sec,8.86Mbits/sec,7.82Mbits/sec,9.90Mbits/sec,8.86Mbits/sec,8.86Mbits/sec,8.86Mbits/sec,54.2Mbits/sec,10.04,,,,,,,,,
iperf3_result_20231019165058.txt,7.31Mbits/sec,9.38Mbits/sec,27.6Mbits/sec,46.4Mbits/sec,48.1Mbits/sec,41.9Mbits/sec,52.4Mbits/sec,73.4Mbits/sec,62.9Mbits/sec,73.4Mbits/sec,123Mbits/sec,10.43,,,,,,,,,
iperf3_result_20231019155429.txt,21.4Mbits/sec,118Mbits/sec,178Mbits/sec,178Mbits/sec,199Mbits/sec,283Mbits/sec,178Mbits/sec,178Mbits/sec,168Mbits/sec,178Mbits/sec,201Mbits/sec,10.21,,,,,,,,,
iperf3_result_20231019164838.txt,6.94Mbits/sec,14.1Mbits/sec,34.9Mbits/sec,50.0Mbits/sec,62.9Mbits/sec,73.4Mbits/sec,62.9Mbits/sec,94.4Mbits/sec,94.4Mbits/sec,62.9Mbits/sec,148Mbits/sec,10.21,,,,,,,,,
iperf3_result_20231019155820.txt,811Kbits/sec,509Kbits/sec,545Kbits/sec,799Kbits/sec,1.82Mbits/sec,2.61Mbits/sec,2.61Mbits/sec,3.13Mbits/sec,0.00bits/sec,4.17Mbits/sec,0.00bits/sec,10.20,,,,,,,,,
iperf3_result_20231019160455.txt,2.86Mbits/sec,5.22Mbits/sec,10.4Mbits/sec,9.38Mbits/sec,13.6Mbits/sec,7.30Mbits/sec,7.30Mbits/sec,10.9Mbits/sec,7.30Mbits/sec,10.9Mbits/sec,105Mbits/sec,10.03,,,,,,,,,
iperf3_result_20231019160244.txt,7.84Mbits/sec,3.13Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,10.49,,,,,,,,,
iperf3_result_20231019164817.txt,5.78Mbits/sec,8.86Mbits/sec,22.9Mbits/sec,32.3Mbits/sec,61.6Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,62.9Mbits/sec,73.4Mbits/sec,73.4Mbits/sec,120Mbits/sec,10.26,,,,,,,,,
iperf3_result_20231019160443.txt,8.33Mbits/sec,33.4Mbits/sec,29.7Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,0.00bits/sec,,,,,,,,
iperf3_result_20231019155407.txt,11.0Mbits/sec,64.1Mbits/sec,138Mbits/sec,157Mbits/sec,136Mbits/sec,157Mbits/sec,115Mbits/sec,115Mbits/sec,115Mbits/sec,115Mbits/sec,111Mbits/sec,10.19,,,,,,,,,
iperf3_result_20231019160127.txt,810Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,10.48,,,,,,,,,
iperf3_result_20231019164745.txt,6.87Mbits/sec,11.5Mbits/sec,25.5Mbits/sec,57.3Mbits/sec,62.3Mbits/sec,52.4Mbits/sec,73.4Mbits/sec,62.9Mbits/sec,73.4Mbits/sec,52.4Mbits/sec,195Mbits/sec,10.27,,,,,,,,,
