0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,0.00-9.50,9.50-10.00
3.86Mbits/sec,4.36Mbits/sec,5.76Mbits/sec,9.07Mbits/sec,11.5Mbits/sec,15.7Mbits/sec,25.6Mbits/sec,27.0Mbits/sec,48.3Mbits/sec,62.0Mbits/sec,,
6.10Mbits/sec,12.0Mbits/sec,28.4Mbits/sec,81.0Mbits/sec,189Mbits/sec,284Mbits/sec,184Mbits/sec,180Mbits/sec,176Mbits/sec,152Mbits/sec,,
4.99Mbits/sec,8.64Mbits/sec,26.2Mbits/sec,31.8Mbits/sec,52.3Mbits/sec,117Mbits/sec,102Mbits/sec,137Mbits/sec,154Mbits/sec,163Mbits/sec,,
1.23Mbits/sec,3.87Mbits/sec,5.86Mbits/sec,7.40Mbits/sec,8.43Mbits/sec,8.17Mbits/sec,9.16Mbits/sec,8.02Mbits/sec,9.34Mbits/sec,9.88Mbits/sec,,
5.44Mbits/sec,8.84Mbits/sec,23.6Mbits/sec,32.6Mbits/sec,41.5Mbits/sec,48.6Mbits/sec,57.5Mbits/sec,71.1Mbits/sec,73.0Mbits/sec,78.2Mbits/sec,,
18.1Mbits/sec,100Mbits/sec,180Mbits/sec,180Mbits/sec,194Mbits/sec,285Mbits/sec,185Mbits/sec,165Mbits/sec,177Mbits/sec,177Mbits/sec,,
5.77Mbits/sec,12.2Mbits/sec,28.0Mbits/sec,39.1Mbits/sec,61.6Mbits/sec,73.1Mbits/sec,77.6Mbits/sec,88.9Mbits/sec,84.7Mbits/sec,73.5Mbits/sec,,
486Kbits/sec,266Kbits/sec,290Kbits/sec,301Kbits/sec,788Kbits/sec,1.46Mbits/sec,1.22Mbits/sec,1.09Mbits/sec,336Kbits/sec,1.09Mbits/sec,,
1.88Mbits/sec,4.52Mbits/sec,8.16Mbits/sec,9.02Mbits/sec,9.34Mbits/sec,8.09Mbits/sec,8.53Mbits/sec,9.00Mbits/sec,8.64Mbits/sec,12.0Mbits/sec,,
6.17Mbits/sec,1.81Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,521Kbits/sec,,
4.68Mbits/sec,7.84Mbits/sec,18.6Mbits/sec,28.1Mbits/sec,44.8Mbits/sec,46.8Mbits/sec,49.1Mbits/sec,70.5Mbits/sec,59.5Mbits/sec,71.1Mbits/sec,,
6.98Mbits/sec,26.4Mbits/sec,22.2Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,255Kbits/sec,,
8.99Mbits/sec,52.3Mbits/sec,129Mbits/sec,162Mbits/sec,136Mbits/sec,156Mbits/sec,122Mbits/sec,110Mbits/sec,117Mbits/sec,116Mbits/sec,,
127Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,
5.68Mbits/sec,9.35Mbits/sec,23.2Mbits/sec,50.5Mbits/sec,51.3Mbits/sec,62.6Mbits/sec,62.3Mbits/sec,76.2Mbits/sec,83.2Mbits/sec,52.2Mbits/sec,,
116Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,441Kbits/sec,486Kbits/sec,0.00bits/sec,0.00bits/sec,11.6Kbits/sec,,
3.10Mbits/sec,6.49Mbits/sec,12.4Mbits/sec,27.4Mbits/sec,43.1Mbits/sec,57.0Mbits/sec,68.3Mbits/sec,80.9Mbits/sec,89.8Mbits/sec,65.5Mbits/sec,,
3.27Mbits/sec,3.28Mbits/sec,4.93Mbits/sec,8.53Mbits/sec,7.77Mbits/sec,15.7Mbits/sec,20.3Mbits/sec,22.0Mbits/sec,31.0Mbits/sec,64.0Mbits/sec,,
11.2Mbits/sec,2.12Mbits/sec,730Kbits/sec,811Kbits/sec,556Kbits/sec,57.9Kbits/sec,232Kbits/sec,706Kbits/sec,0.00bits/sec,498Kbits/sec,,
6.00Mbits/sec,12.0Mbits/sec,17.2Mbits/sec,32.6Mbits/sec,36.5Mbits/sec,56.1Mbits/sec,70.2Mbits/sec,70.4Mbits/sec,75.8Mbits/sec,48.4Mbits/sec,,
695Kbits/sec,220Kbits/sec,81.1Kbits/sec,69.5Kbits/sec,57.9Kbits/sec,46.3Kbits/sec,46.3Kbits/sec,23.2Kbits/sec,0.00bits/sec,46.3Kbits/sec,,
2.76Mbits/sec,695Kbits/sec,2.42Mbits/sec,2.06Mbits/sec,1.20Mbits/sec,1.05Mbits/sec,753Kbits/sec,568Kbits/sec,2.04Mbits/sec,2.86Mbits/sec,,
3.92Mbits/sec,9.44Mbits/sec,23.9Mbits/sec,47.0Mbits/sec,65.6Mbits/sec,102Mbits/sec,85.8Mbits/sec,146Mbits/sec,103Mbits/sec,152Mbits/sec,,
927Kbits/sec,278Kbits/sec,0.00bits/sec,162Kbits/sec,151Kbits/sec,0.00bits/sec,127Kbits/sec,23.2Kbits/sec,0.00bits/sec,0.00bits/sec,,
625Kbits/sec,290Kbits/sec,174Kbits/sec,417Kbits/sec,892Kbits/sec,672Kbits/sec,2.03Mbits/sec,788Kbits/sec,139Kbits/sec,3.17Mbits/sec,,
6.93Mbits/sec,16.4Mbits/sec,44.0Mbits/sec,90.9Mbits/sec,137Mbits/sec,186Mbits/sec,153Mbits/sec,172Mbits/sec,177Mbits/sec,179Mbits/sec,,
521Kbits/sec,23.1Kbits/sec,0.00bits/sec,46.4Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,23.2Kbits/sec,0.00bits/sec,,
232Kbits/sec,185Kbits/sec,0.00bits/sec,46.4Kbits/sec,243Kbits/sec,1.23Mbits/sec,452Kbits/sec,162Kbits/sec,0.00bits/sec,290Kbits/sec,,
4.71Mbits/sec,11.0Mbits/sec,20.7Mbits/sec,55.7Mbits/sec,86.3Mbits/sec,133Mbits/sec,136Mbits/sec,140Mbits/sec,142Mbits/sec,170Mbits/sec,,
5.54Mbits/sec,14.5Mbits/sec,13.7Mbits/sec,20.8Mbits/sec,24.7Mbits/sec,37.3Mbits/sec,35.8Mbits/sec,43.5Mbits/sec,49.9Mbits/sec,59.3Mbits/sec,,
5.75Mbits/sec,15.1Mbits/sec,22.6Mbits/sec,39.7Mbits/sec,55.5Mbits/sec,60.8Mbits/sec,74.6Mbits/sec,72.2Mbits/sec,79.3Mbits/sec,73.3Mbits/sec,,
1.76Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,81.1Kbits/sec,,
5.62Mbits/sec,7.85Mbits/sec,16.8Mbits/sec,26.2Mbits/sec,43.8Mbits/sec,61.0Mbits/sec,56.8Mbits/sec,75.9Mbits/sec,84.7Mbits/sec,76.5Mbits/sec,,
3.42Mbits/sec,5.32Mbits/sec,1.85Mbits/sec,1.76Mbits/sec,1.56Mbits/sec,1.87Mbits/sec,3.22Mbits/sec,5.28Mbits/sec,8.64Mbits/sec,7.97Mbits/sec,,
1.03Mbits/sec,857Kbits/sec,463Kbits/sec,869Kbits/sec,1.39Mbits/sec,1.08Mbits/sec,324Kbits/sec,243Kbits/sec,185Kbits/sec,475Kbits/sec,,
3.22Mbits/sec,6.76Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,
5.40Mbits/sec,13.1Mbits/sec,26.6Mbits/sec,43.8Mbits/sec,83.1Mbits/sec,86.0Mbits/sec,91.5Mbits/sec,104Mbits/sec,100Mbits/sec,93.6Mbits/sec,,
6.25Mbits/sec,12.3Mbits/sec,25.4Mbits/sec,59.4Mbits/sec,67.9Mbits/sec,82.6Mbits/sec,92.5Mbits/sec,96.4Mbits/sec,90.5Mbits/sec,81.6Mbits/sec,,
1.60Mbits/sec,857Kbits/sec,336Kbits/sec,452Kbits/sec,151Kbits/sec,69.5Kbits/sec,34.8Kbits/sec,104Kbits/sec,429Kbits/sec,3.30Mbits/sec,,
4.82Mbits/sec,12.1Mbits/sec,19.0Mbits/sec,25.8Mbits/sec,55.6Mbits/sec,47.2Mbits/sec,72.3Mbits/sec,65.5Mbits/sec,71.8Mbits/sec,72.8Mbits/sec,,
6.02Mbits/sec,972Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,
359Kbits/sec,1.67Mbits/sec,1.83Mbits/sec,498Kbits/sec,220Kbits/sec,11.6Kbits/sec,69.5Kbits/sec,92.7Kbits/sec,0.00bits/sec,11.6Kbits/sec,,
5.80Mbits/sec,11.4Mbits/sec,26.1Mbits/sec,36.1Mbits/sec,43.8Mbits/sec,58.5Mbits/sec,75.5Mbits/sec,77.8Mbits/sec,84.3Mbits/sec,57.1Mbits/sec,,
5.69Mbits/sec,13.4Mbits/sec,26.1Mbits/sec,42.5Mbits/sec,67.8Mbits/sec,70.2Mbits/sec,77.9Mbits/sec,82.1Mbits/sec,69.6Mbits/sec,75.6Mbits/sec,,
6.17Mbits/sec,28.2Mbits/sec,50.1Mbits/sec,49.8Mbits/sec,51.2Mbits/sec,51.9Mbits/sec,50.6Mbits/sec,42.9Mbits/sec,44.7Mbits/sec,32.5Mbits/sec,,
5.29Mbits/sec,6.42Mbits/sec,14.8Mbits/sec,23.7Mbits/sec,41.7Mbits/sec,50.7Mbits/sec,53.8Mbits/sec,41.7Mbits/sec,49.7Mbits/sec,48.3Mbits/sec,,
6.63Mbits/sec,13.2Mbits/sec,26.6Mbits/sec,74.3Mbits/sec,108Mbits/sec,137Mbits/sec,124Mbits/sec,152Mbits/sec,95.7Mbits/sec,177Mbits/sec,,
2.99Mbits/sec,2.68Mbits/sec,4.61Mbits/sec,6.74Mbits/sec,9.88Mbits/sec,12.6Mbits/sec,17.1Mbits/sec,20.5Mbits/sec,32.5Mbits/sec,38.5Mbits/sec,,
116Kbits/sec,162Kbits/sec,69.5Kbits/sec,139Kbits/sec,104Kbits/sec,232Kbits/sec,185Kbits/sec,232Kbits/sec,162Kbits/sec,394Kbits/sec,,
371Kbits/sec,255Kbits/sec,174Kbits/sec,23.2Kbits/sec,0.00bits/sec,0.00bits/sec,139Kbits/sec,232Kbits/sec,452Kbits/sec,544Kbits/sec,,
602Kbits/sec,127Kbits/sec,151Kbits/sec,116Kbits/sec,0.00bits/sec,127Kbits/sec,92.7Kbits/sec,11.6Kbits/sec,92.7Kbits/sec,0.00bits/sec,,
486Kbits/sec,139Kbits/sec,313Kbits/sec,174Kbits/sec,185Kbits/sec,0.00bits/sec,197Kbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,
4.09Mbits/sec,5.47Mbits/sec,9.53Mbits/sec,21.4Mbits/sec,47.7Mbits/sec,68.6Mbits/sec,85.2Mbits/sec,115Mbits/sec,116Mbits/sec,166Mbits/sec,,
2.25Mbits/sec,2.11Mbits/sec,6.30Mbits/sec,13.8Mbits/sec,16.3Mbits/sec,28.5Mbits/sec,27.0Mbits/sec,35.7Mbits/sec,25.9Mbits/sec,16.5Mbits/sec,,
8.29Mbits/sec,12.8Mbits/sec,19.8Mbits/sec,35.3Mbits/sec,45.3Mbits/sec,51.7Mbits/sec,65.1Mbits/sec,67.8Mbits/sec,71.3Mbits/sec,82.5Mbits/sec,,
5.20Mbits/sec,10.0Mbits/sec,24.4Mbits/sec,39.1Mbits/sec,61.2Mbits/sec,60.6Mbits/sec,74.6Mbits/sec,79.4Mbits/sec,77.6Mbits/sec,77.9Mbits/sec,,
232Kbits/sec,0.00bits/sec,11.6Kbits/sec,104Kbits/sec,162Kbits/sec,243Kbits/sec,0.00bits/sec,0.00bits/sec,34.8Kbits/sec,788Kbits/sec,,
8.32Mbits/sec,37.7Mbits/sec,85.9Mbits/sec,82.9Mbits/sec,17.1Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,,
8.70Mbits/sec,15.6Mbits/sec,33.7Mbits/sec,76.9Mbits/sec,132Mbits/sec,140Mbits/sec,180Mbits/sec,150Mbits/sec,105Mbits/sec,162Mbits/sec,,
5.29Mbits/sec,14.4Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,232Kbits/sec,,
5.49Mbits/sec,9.14Mbits/sec,15.5Mbits/sec,29.9Mbits/sec,47.2Mbits/sec,48.5Mbits/sec,90.3Mbits/sec,79.1Mbits/sec,86.6Mbits/sec,103Mbits/sec,,
6.03Mbits/sec,13.5Mbits/sec,28.3Mbits/sec,46.1Mbits/sec,68.1Mbits/sec,81.5Mbits/sec,92.6Mbits/sec,92.3Mbits/sec,82.5Mbits/sec,81.9Mbits/sec,,
2.81Mbits/sec,4.15Mbits/sec,2.95Mbits/sec,2.93Mbits/sec,4.89Mbits/sec,7.90Mbits/sec,9.68Mbits/sec,8.58Mbits/sec,7.53Mbits/sec,8.68Mbits/sec,,
359Kbits/sec,243Kbits/sec,162Kbits/sec,255Kbits/sec,139Kbits/sec,0.00bits/sec,614Kbits/sec,869Kbits/sec,324Kbits/sec,336Kbits/sec,,
,,,,,,,,,,57.9Kbits/sec,0.00bits/sec
8.42Mbits/sec,35.4Mbits/sec,103Mbits/sec,154Mbits/sec,173Mbits/sec,174Mbits/sec,173Mbits/sec,171Mbits/sec,163Mbits/sec,168Mbits/sec,,
2.58Mbits/sec,3.17Mbits/sec,4.92Mbits/sec,4.63Mbits/sec,6.57Mbits/sec,9.57Mbits/sec,8.19Mbits/sec,8.21Mbits/sec,10.5Mbits/sec,9.02Mbits/sec,,
4.75Mbits/sec,7.87Mbits/sec,12.8Mbits/sec,23.5Mbits/sec,20.2Mbits/sec,42.9Mbits/sec,54.5Mbits/sec,54.6Mbits/sec,68.7Mbits/sec,58.5Mbits/sec,,
