file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019155013.txt,75.7Mbits/sec,64.2Mbits/sec,36.9Mbits/sec,36.7Mbits/sec,36.3Mbits/sec,36.2Mbits/sec,36.4Mbits/sec,36.9Mbits/sec,37.4Mbits/sec,35.6Mbits/sec
iperf3_result_20231019154907.txt,97.9Mbits/sec,101Mbits/sec,101Mbits/sec,97.4Mbits/sec,99.2Mbits/sec,101Mbits/sec,103Mbits/sec,96.5Mbits/sec,103Mbits/sec,99.8Mbits/sec
iperf3_result_20231019160256.txt,56.4Mbits/sec,84.3Mbits/sec,77.2Mbits/sec,66.0Mbits/sec,59.9Mbits/sec,50.7Mbits/sec,49.2Mbits/sec,50.9Mbits/sec,52.3Mbits/sec,49.6Mbits/sec
iperf3_result_20231019160134.txt,72.8Mbits/sec,74.2Mbits/sec,41.6Mbits/sec,78.4Mbits/sec,142Mbits/sec,100Mbits/sec,72.0Mbits/sec,81.5Mbits/sec,85.8Mbits/sec,86.1Mbits/sec
iperf3_result_20231019155831.txt,101Mbits/sec,100Mbits/sec,100Mbits/sec,100Mbits/sec,99.8Mbits/sec,99.9Mbits/sec,100Mbits/sec,99.3Mbits/sec,100Mbits/sec,99.2Mbits/sec
iperf3_result_20231019160119.txt,72.7Mbits/sec,75.6Mbits/sec,62.6Mbits/sec,91.4Mbits/sec,72.1Mbits/sec,83.8Mbits/sec,76.5Mbits/sec,187Mbits/sec,78.7Mbits/sec,51.0Mbits/sec
iperf3_result_20231019155820.txt,81.1Mbits/sec,79.6Mbits/sec,88.6Mbits/sec,94.6Mbits/sec,95.3Mbits/sec,90.9Mbits/sec,84.3Mbits/sec,101Mbits/sec,79.9Mbits/sec,80.4Mbits/sec
iperf3_result_20231019160455.txt,58.8Mbits/sec,59.9Mbits/sec,49.6Mbits/sec,47.7Mbits/sec,48.6Mbits/sec,49.5Mbits/sec,51.1Mbits/sec,50.1Mbits/sec,49.1Mbits/sec,75.1Mbits/sec
iperf3_result_20231019154929.txt,97.7Mbits/sec,103Mbits/sec,87.0Mbits/sec,110Mbits/sec,103Mbits/sec,100Mbits/sec,99.2Mbits/sec,101Mbits/sec,98.7Mbits/sec,101Mbits/sec
iperf3_result_20231019155002.txt,101Mbits/sec,99.7Mbits/sec,97.2Mbits/sec,103Mbits/sec,99.8Mbits/sec,97.7Mbits/sec,101Mbits/sec,98.7Mbits/sec,101Mbits/sec,75.5Mbits/sec
iperf3_result_20231019160443.txt,102Mbits/sec,99.3Mbits/sec,53.6Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,742Kbits/sec
iperf3_result_20231019160245.txt,95.9Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,14.9Mbits/sec,0.00bits/sec
iperf3_result_20231019155703.txt,10.9Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,313Kbits/sec,16.2Mbits/sec,4.92Mbits/sec,23.9Mbits/sec
iperf3_result_20231019155515.txt,74.8Mbits/sec,30.7Mbits/sec,24.5Mbits/sec,30.1Mbits/sec,29.3Mbits/sec,29.8Mbits/sec,30.7Mbits/sec,30.2Mbits/sec,36.0Mbits/sec,35.1Mbits/sec
iperf3_result_20231019155715.txt,79.5Mbits/sec,26.2Mbits/sec,23.2Mbits/sec,27.8Mbits/sec,29.0Mbits/sec,28.3Mbits/sec,29.5Mbits/sec,28.4Mbits/sec,27.7Mbits/sec,25.8Mbits/sec
iperf3_result_20231019160433.txt,46.6Mbits/sec,48.9Mbits/sec,45.8Mbits/sec,32.2Mbits/sec,44.9Mbits/sec,29.9Mbits/sec,37.5Mbits/sec,44.5Mbits/sec,45.6Mbits/sec,45.1Mbits/sec
iperf3_result_20231019155648.txt,72.1Mbits/sec,49.9Mbits/sec,27.7Mbits/sec,29.5Mbits/sec,29.1Mbits/sec,28.5Mbits/sec,30.8Mbits/sec,26.5Mbits/sec,5.19Mbits/sec,28.8Mbits/sec
iperf3_result_20231019155728.txt,51.3Mbits/sec,66.1Mbits/sec,102Mbits/sec,95.6Mbits/sec,94.6Mbits/sec,94.5Mbits/sec,94.0Mbits/sec,94.2Mbits/sec,94.5Mbits/sec,90.7Mbits/sec
iperf3_result_20231019160234.txt,101Mbits/sec,97.7Mbits/sec,102Mbits/sec,97.6Mbits/sec,99.3Mbits/sec,101Mbits/sec,99.5Mbits/sec,99.9Mbits/sec,100Mbits/sec,100Mbits/sec
iperf3_result_20231019160224.txt,35.3Mbits/sec,29.7Mbits/sec,34.1Mbits/sec,36.3Mbits/sec,36.7Mbits/sec,35.6Mbits/sec,37.1Mbits/sec,31.5Mbits/sec,36.0Mbits/sec,36.3Mbits/sec
