0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
201Mbits/sec,200Mbits/sec,200Mbits/sec,199Mbits/sec,201Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec
61.2Mbits/sec,84.3Mbits/sec,77.2Mbits/sec,66.0Mbits/sec,59.9Mbits/sec,50.7Mbits/sec,49.2Mbits/sec,50.9Mbits/sec,52.3Mbits/sec,49.6Mbits/sec
72.4Mbits/sec,202Mbits/sec,149Mbits/sec,50.8Mbits/sec,36.9Mbits/sec,36.3Mbits/sec,36.3Mbits/sec,36.3Mbits/sec,37.1Mbits/sec,36.9Mbits/sec
202Mbits/sec,199Mbits/sec,200Mbits/sec,201Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,201Mbits/sec,200Mbits/sec
67.6Mbits/sec,79.2Mbits/sec,76.4Mbits/sec,71.3Mbits/sec,80.4Mbits/sec,163Mbits/sec,110Mbits/sec,81.0Mbits/sec,141Mbits/sec,83.3Mbits/sec
160Mbits/sec,159Mbits/sec,179Mbits/sec,191Mbits/sec,190Mbits/sec,182Mbits/sec,138Mbits/sec,189Mbits/sec,147Mbits/sec,122Mbits/sec
60.5Mbits/sec,59.4Mbits/sec,50.1Mbits/sec,47.6Mbits/sec,48.6Mbits/sec,49.9Mbits/sec,50.8Mbits/sec,50.0Mbits/sec,49.9Mbits/sec,106Mbits/sec
200Mbits/sec,201Mbits/sec,200Mbits/sec,199Mbits/sec,199Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,199Mbits/sec,196Mbits/sec
146Mbits/sec,119Mbits/sec,114Mbits/sec,125Mbits/sec,119Mbits/sec,93.4Mbits/sec,223Mbits/sec,152Mbits/sec,95.4Mbits/sec,126Mbits/sec
202Mbits/sec,200Mbits/sec,198Mbits/sec,189Mbits/sec,192Mbits/sec,199Mbits/sec,205Mbits/sec,199Mbits/sec,201Mbits/sec,200Mbits/sec
201Mbits/sec,198Mbits/sec,81.1Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,974Kbits/sec
140Mbits/sec,46.1Mbits/sec,0.00bits/sec,0.00bits/sec,23.5Mbits/sec,54.8Mbits/sec,145Mbits/sec,142Mbits/sec,154Mbits/sec,45.4Mbits/sec
191Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,29.7Mbits/sec,0.00bits/sec
14.9Mbits/sec,3.31Mbits/sec,6.37Mbits/sec,9.58Mbits/sec,9.64Mbits/sec,11.1Mbits/sec,23.9Mbits/sec,10.5Mbits/sec,8.71Mbits/sec,9.22Mbits/sec
28.6Mbits/sec,22.3Mbits/sec,27.8Mbits/sec,29.1Mbits/sec,28.6Mbits/sec,29.0Mbits/sec,28.1Mbits/sec,28.7Mbits/sec,26.2Mbits/sec,25.1Mbits/sec
200Mbits/sec,201Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,199Mbits/sec,201Mbits/sec,199Mbits/sec,200Mbits/sec,201Mbits/sec
21.6Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,417Kbits/sec,17.7Mbits/sec,7.30Mbits/sec,23.9Mbits/sec
34.8Mbits/sec,25.8Mbits/sec,28.5Mbits/sec,29.2Mbits/sec,30.9Mbits/sec,30.2Mbits/sec,27.8Mbits/sec,36.3Mbits/sec,35.5Mbits/sec,34.8Mbits/sec
46.9Mbits/sec,48.5Mbits/sec,43.8Mbits/sec,32.4Mbits/sec,46.4Mbits/sec,29.2Mbits/sec,35.3Mbits/sec,46.3Mbits/sec,46.0Mbits/sec,47.6Mbits/sec
202Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,201Mbits/sec,199Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,201Mbits/sec
144Mbits/sec,75.2Mbits/sec,27.8Mbits/sec,29.5Mbits/sec,29.2Mbits/sec,28.5Mbits/sec,30.8Mbits/sec,26.2Mbits/sec,5.18Mbits/sec,29.5Mbits/sec
55.6Mbits/sec,94.3Mbits/sec,140Mbits/sec,190Mbits/sec,189Mbits/sec,189Mbits/sec,187Mbits/sec,189Mbits/sec,188Mbits/sec,181Mbits/sec
200Mbits/sec,196Mbits/sec,204Mbits/sec,195Mbits/sec,199Mbits/sec,201Mbits/sec,199Mbits/sec,200Mbits/sec,201Mbits/sec,200Mbits/sec
30.4Mbits/sec,29.3Mbits/sec,35.6Mbits/sec,36.0Mbits/sec,36.3Mbits/sec,37.4Mbits/sec,36.0Mbits/sec,31.4Mbits/sec,36.5Mbits/sec,39.7Mbits/sec
37.7Mbits/sec,30.0Mbits/sec,19.1Mbits/sec,31.5Mbits/sec,22.2Mbits/sec,29.4Mbits/sec,24.4Mbits/sec,27.0Mbits/sec,27.1Mbits/sec,25.6Mbits/sec
201Mbits/sec,199Mbits/sec,199Mbits/sec,201Mbits/sec,200Mbits/sec,197Mbits/sec,201Mbits/sec,200Mbits/sec,199Mbits/sec,201Mbits/sec
152Mbits/sec,178Mbits/sec,182Mbits/sec,196Mbits/sec,215Mbits/sec,173Mbits/sec,207Mbits/sec,180Mbits/sec,210Mbits/sec,210Mbits/sec
132Mbits/sec,149Mbits/sec,167Mbits/sec,159Mbits/sec,173Mbits/sec,210Mbits/sec,289Mbits/sec,142Mbits/sec,112Mbits/sec,41.4Mbits/sec
33.1Mbits/sec,21.4Mbits/sec,3.60Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
204Mbits/sec,198Mbits/sec,198Mbits/sec,192Mbits/sec,186Mbits/sec,199Mbits/sec,208Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec
202Mbits/sec,199Mbits/sec,201Mbits/sec,200Mbits/sec,200Mbits/sec,199Mbits/sec,176Mbits/sec,210Mbits/sec,187Mbits/sec,204Mbits/sec
98.0Mbits/sec,34.7Mbits/sec,47.2Mbits/sec,35.5Mbits/sec,38.1Mbits/sec,36.8Mbits/sec,37.1Mbits/sec,36.5Mbits/sec,35.4Mbits/sec,152Mbits/sec
52.5Mbits/sec,58.3Mbits/sec,64.1Mbits/sec,59.1Mbits/sec,73.3Mbits/sec,55.7Mbits/sec,64.8Mbits/sec,58.3Mbits/sec,58.7Mbits/sec,69.8Mbits/sec
16.8Mbits/sec,23.2Mbits/sec,16.9Mbits/sec,18.1Mbits/sec,19.3Mbits/sec,17.8Mbits/sec,17.8Mbits/sec,29.6Mbits/sec,63.7Mbits/sec,61.0Mbits/sec
179Mbits/sec,170Mbits/sec,177Mbits/sec,179Mbits/sec,185Mbits/sec,169Mbits/sec,169Mbits/sec,193Mbits/sec,226Mbits/sec,218Mbits/sec
201Mbits/sec,199Mbits/sec,201Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec
202Mbits/sec,199Mbits/sec,193Mbits/sec,191Mbits/sec,190Mbits/sec,190Mbits/sec,191Mbits/sec,184Mbits/sec,192Mbits/sec,182Mbits/sec
190Mbits/sec,192Mbits/sec,204Mbits/sec,202Mbits/sec,198Mbits/sec,199Mbits/sec,201Mbits/sec,199Mbits/sec,200Mbits/sec,201Mbits/sec
201Mbits/sec,200Mbits/sec,201Mbits/sec,200Mbits/sec,201Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,198Mbits/sec,200Mbits/sec
44.1Mbits/sec,52.4Mbits/sec,48.3Mbits/sec,50.8Mbits/sec,60.7Mbits/sec,102Mbits/sec,167Mbits/sec,8.65Mbits/sec,0.00bits/sec,0.00bits/sec
200Mbits/sec,196Mbits/sec,200Mbits/sec,147Mbits/sec,125Mbits/sec,126Mbits/sec,125Mbits/sec,122Mbits/sec,120Mbits/sec,85.5Mbits/sec
201Mbits/sec,199Mbits/sec,201Mbits/sec,200Mbits/sec,197Mbits/sec,201Mbits/sec,200Mbits/sec,200Mbits/sec,198Mbits/sec,202Mbits/sec
122Mbits/sec,167Mbits/sec,173Mbits/sec,186Mbits/sec,216Mbits/sec,216Mbits/sec,158Mbits/sec,173Mbits/sec,164Mbits/sec,173Mbits/sec
61.7Mbits/sec,55.9Mbits/sec,43.1Mbits/sec,43.2Mbits/sec,47.7Mbits/sec,52.6Mbits/sec,68.3Mbits/sec,57.6Mbits/sec,51.7Mbits/sec,56.9Mbits/sec
48.8Mbits/sec,46.6Mbits/sec,42.6Mbits/sec,42.7Mbits/sec,45.2Mbits/sec,45.5Mbits/sec,45.9Mbits/sec,30.7Mbits/sec,47.2Mbits/sec,33.1Mbits/sec
136Mbits/sec,153Mbits/sec,172Mbits/sec,173Mbits/sec,172Mbits/sec,158Mbits/sec,89.0Mbits/sec,124Mbits/sec,119Mbits/sec,171Mbits/sec
33.0Mbits/sec,29.5Mbits/sec,12.4Mbits/sec,12.4Mbits/sec,7.40Mbits/sec,8.98Mbits/sec,8.25Mbits/sec,10.9Mbits/sec,13.4Mbits/sec,12.6Mbits/sec
98.2Mbits/sec,140Mbits/sec,105Mbits/sec,178Mbits/sec,206Mbits/sec,215Mbits/sec,216Mbits/sec,204Mbits/sec,160Mbits/sec,168Mbits/sec
202Mbits/sec,200Mbits/sec,199Mbits/sec,200Mbits/sec,199Mbits/sec,201Mbits/sec,199Mbits/sec,201Mbits/sec,169Mbits/sec,130Mbits/sec
200Mbits/sec,199Mbits/sec,171Mbits/sec,178Mbits/sec,46.2Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
202Mbits/sec,200Mbits/sec,199Mbits/sec,199Mbits/sec,125Mbits/sec,148Mbits/sec,104Mbits/sec,134Mbits/sec,91.3Mbits/sec,159Mbits/sec
201Mbits/sec,201Mbits/sec,200Mbits/sec,200Mbits/sec,199Mbits/sec,199Mbits/sec,200Mbits/sec,201Mbits/sec,200Mbits/sec,200Mbits/sec
201Mbits/sec,163Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,15.6Mbits/sec
200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,198Mbits/sec
136Mbits/sec,86.1Mbits/sec,56.2Mbits/sec,164Mbits/sec,172Mbits/sec,167Mbits/sec,172Mbits/sec,172Mbits/sec,173Mbits/sec,172Mbits/sec
201Mbits/sec,199Mbits/sec,199Mbits/sec,201Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,199Mbits/sec
64.3Mbits/sec,51.8Mbits/sec,41.8Mbits/sec,45.2Mbits/sec,58.9Mbits/sec,89.7Mbits/sec,67.9Mbits/sec,74.3Mbits/sec,45.0Mbits/sec,67.5Mbits/sec
113Mbits/sec,156Mbits/sec,172Mbits/sec,172Mbits/sec,168Mbits/sec,42.2Mbits/sec,203Mbits/sec,142Mbits/sec,150Mbits/sec,172Mbits/sec
203Mbits/sec,199Mbits/sec,201Mbits/sec,201Mbits/sec,199Mbits/sec,201Mbits/sec,197Mbits/sec,202Mbits/sec,200Mbits/sec,200Mbits/sec
32.5Mbits/sec,28.6Mbits/sec,28.1Mbits/sec,15.1Mbits/sec,29.2Mbits/sec,19.8Mbits/sec,24.5Mbits/sec,22.2Mbits/sec,27.8Mbits/sec,25.9Mbits/sec
37.6Mbits/sec,20.1Mbits/sec,12.9Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec
55.6Mbits/sec,47.7Mbits/sec,55.3Mbits/sec,55.7Mbits/sec,53.9Mbits/sec,49.5Mbits/sec,50.5Mbits/sec,52.0Mbits/sec,48.3Mbits/sec,53.9Mbits/sec
202Mbits/sec,201Mbits/sec,200Mbits/sec,201Mbits/sec,199Mbits/sec,201Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec,200Mbits/sec
