file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.16,11.00-11.13,11.00-11.07,11.00-11.17,11.00-11.01,11.00-11.47,11.00-11.11,11.00-11.23
iperf3_result_20231019182039.txt,86.9Mbits/sec,102Mbits/sec,92.6Mbits/sec,99.8Mbits/sec,102Mbits/sec,99.4Mbits/sec,98.6Mbits/sec,99.6Mbits/sec,99.5Mbits/sec,98.1Mbits/sec,104Mbits/sec,10.14,,,,,,,,
iperf3_result_20231019182818.txt,18.9Mbits/sec,10.1Mbits/sec,5.95Mbits/sec,5.44Mbits/sec,4.45Mbits/sec,174Kbits/sec,34.8Kbits/sec,4.62Mbits/sec,2.55Mbits/sec,394Kbits/sec,3.59Mbits/sec,10.96,,,,,,,,
iperf3_result_20231019182401.txt,12.3Mbits/sec,12.0Mbits/sec,10.8Mbits/sec,8.46Mbits/sec,8.88Mbits/sec,9.26Mbits/sec,7.31Mbits/sec,7.85Mbits/sec,8.29Mbits/sec,1.75Mbits/sec,7.21Mbits/sec,>= 11.00,,,,,,,,
iperf3_result_20231019181646.txt,33.0Mbits/sec,102Mbits/sec,101Mbits/sec,104Mbits/sec,100Mbits/sec,96.9Mbits/sec,95.5Mbits/sec,102Mbits/sec,102Mbits/sec,99.0Mbits/sec,97.3Mbits/sec,10.22,,,,,,,,
iperf3_result_20231019181337.txt,91.6Mbits/sec,99.5Mbits/sec,103Mbits/sec,102Mbits/sec,98.3Mbits/sec,95.8Mbits/sec,97.7Mbits/sec,100Mbits/sec,96.6Mbits/sec,99.3Mbits/sec,94.8Mbits/sec,10.17,,,,,,,,
iperf3_result_20231019182616.txt,20.8Mbits/sec,10.1Mbits/sec,6.93Mbits/sec,5.28Mbits/sec,3.78Mbits/sec,1.01Mbits/sec,197Kbits/sec,0.00bits/sec,2.34Mbits/sec,6.27Mbits/sec,505Kbits/sec,10.96,,,,,,,,
iperf3_result_20231019183126.txt,21.2Mbits/sec,12.9Mbits/sec,8.73Mbits/sec,6.52Mbits/sec,5.35Mbits/sec,2.33Mbits/sec,2.63Mbits/sec,4.10Mbits/sec,2.81Mbits/sec,2.88Mbits/sec,3.47Mbits/sec,10.96,,,,,,,,
iperf3_result_20231019183244.txt,9.53Mbits/sec,8.25Mbits/sec,5.68Mbits/sec,3.98Mbits/sec,3.51Mbits/sec,3.16Mbits/sec,602Kbits/sec,1.45Mbits/sec,2.82Mbits/sec,2.51Mbits/sec,749Kbits/sec,10.97,,,,,,,,
iperf3_result_20231019183053.txt,14.4Mbits/sec,6.85Mbits/sec,4.62Mbits/sec,4.24Mbits/sec,2.29Mbits/sec,602Kbits/sec,475Kbits/sec,0.00bits/sec,6.79Mbits/sec,0.00bits/sec,0.00bits/sec,>= 11.00,,,,,,,,
iperf3_result_20231019182946.txt,9.09Mbits/sec,5.45Mbits/sec,4.00Mbits/sec,3.20Mbits/sec,1.42Mbits/sec,973Kbits/sec,2.48Mbits/sec,2.05Mbits/sec,0.00bits/sec,3.73Mbits/sec,829Kbits/sec,10.99,,,,,,,,
