file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019182039.txt,116Mbits/sec,105Mbits/sec,94.4Mbits/sec,94.4Mbits/sec,105Mbits/sec,94.4Mbits/sec,105Mbits/sec,94.4Mbits/sec,105Mbits/sec,94.4Mbits/sec
iperf3_result_20231019182818.txt,40.7Mbits/sec,8.86Mbits/sec,8.34Mbits/sec,0.00bits/sec,9.38Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,10.3Mbits/sec,0.00bits/sec
iperf3_result_20231019182401.txt,33.2Mbits/sec,19.8Mbits/sec,9.86Mbits/sec,10.5Mbits/sec,0.00bits/sec,10.5Mbits/sec,10.5Mbits/sec,10.5Mbits/sec,10.5Mbits/sec,0.00bits/sec
iperf3_result_20231019181646.txt,71.3Mbits/sec,105Mbits/sec,105Mbits/sec,105Mbits/sec,94.4Mbits/sec,94.3Mbits/sec,94.4Mbits/sec,105Mbits/sec,105Mbits/sec,94.4Mbits/sec
iperf3_result_20231019181337.txt,117Mbits/sec,105Mbits/sec,105Mbits/sec,94.4Mbits/sec,105Mbits/sec,94.4Mbits/sec,94.4Mbits/sec,105Mbits/sec,94.4Mbits/sec,105Mbits/sec
iperf3_result_20231019182616.txt,39.8Mbits/sec,7.82Mbits/sec,7.82Mbits/sec,8.34Mbits/sec,0.00bits/sec,8.86Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,9.91Mbits/sec
iperf3_result_20231019183126.txt,47.0Mbits/sec,9.65Mbits/sec,9.63Mbits/sec,10.3Mbits/sec,0.00bits/sec,10.5Mbits/sec,0.00bits/sec,0.00bits/sec,10.5Mbits/sec,0.00bits/sec
iperf3_result_20231019183244.txt,22.5Mbits/sec,10.4Mbits/sec,5.73Mbits/sec,6.26Mbits/sec,0.00bits/sec,6.78Mbits/sec,0.00bits/sec,0.00bits/sec,7.30Mbits/sec,0.00bits/sec
iperf3_result_20231019183053.txt,30.8Mbits/sec,6.77Mbits/sec,7.30Mbits/sec,0.00bits/sec,7.82Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,9.91Mbits/sec,0.00bits/sec
iperf3_result_20231019182946.txt,19.8Mbits/sec,5.21Mbits/sec,5.21Mbits/sec,5.74Mbits/sec,0.00bits/sec,0.00bits/sec,7.82Mbits/sec,0.00bits/sec,0.00bits/sec,6.26Mbits/sec
iperf3_result_20231019181917.txt,114Mbits/sec,94.4Mbits/sec,105Mbits/sec,105Mbits/sec,94.4Mbits/sec,105Mbits/sec,94.4Mbits/sec,105Mbits/sec,105Mbits/sec,94.4Mbits/sec
iperf3_result_20231019182211.txt,126Mbits/sec,94.4Mbits/sec,105Mbits/sec,94.4Mbits/sec,105Mbits/sec,105Mbits/sec,94.4Mbits/sec,94.3Mbits/sec,94.4Mbits/sec,94.4Mbits/sec
iperf3_result_20231019183137.txt,37.3Mbits/sec,7.30Mbits/sec,8.87Mbits/sec,8.86Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,8.87Mbits/sec,0.00bits/sec,0.00bits/sec
iperf3_result_20231019182201.txt,99.4Mbits/sec,112Mbits/sec,94.4Mbits/sec,105Mbits/sec,94.3Mbits/sec,94.4Mbits/sec,105Mbits/sec,105Mbits/sec,94.4Mbits/sec,105Mbits/sec
iperf3_result_20231019183255.txt,24.8Mbits/sec,5.21Mbits/sec,5.73Mbits/sec,6.26Mbits/sec,0.00bits/sec,6.78Mbits/sec,0.00bits/sec,0.00bits/sec,6.78Mbits/sec,0.00bits/sec
iperf3_result_20231019182605.txt,35.2Mbits/sec,6.77Mbits/sec,7.30Mbits/sec,7.82Mbits/sec,8.35Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,8.34Mbits/sec
iperf3_result_20231019182412.txt,29.2Mbits/sec,18.2Mbits/sec,14.6Mbits/sec,8.34Mbits/sec,8.86Mbits/sec,9.87Mbits/sec,10.5Mbits/sec,0.00bits/sec,9.46Mbits/sec,10.5Mbits/sec
iperf3_result_20231019183042.txt,25.5Mbits/sec,5.73Mbits/sec,6.25Mbits/sec,6.78Mbits/sec,0.00bits/sec,6.78Mbits/sec,0.00bits/sec,0.00bits/sec,0.00bits/sec,7.30Mbits/sec
