file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.05,11.00-11.06,11.00-11.26,11.00-11.16,11.00-11.13,11.00-11.01,11.00-11.07,11.00-11.03,11.00-11.17,11.00-11.04,11.00-11.51,11.00-11.36,11.00-11.47,11.00-11.23,11.00-11.02,11.00-11.09
iperf3_result_20231019182818.txt,40.9Mbits/sec,48.6Mbits/sec,50.4Mbits/sec,50.8Mbits/sec,52.0Mbits/sec,50.7Mbits/sec,53.2Mbits/sec,53.6Mbits/sec,54.6Mbits/sec,54.6Mbits/sec,55.8Mbits/sec,10.96,,,,,,,,,,,,,,,,
iperf3_result_20231019182401.txt,62.8Mbits/sec,92.3Mbits/sec,89.1Mbits/sec,87.2Mbits/sec,92.4Mbits/sec,94.5Mbits/sec,88.5Mbits/sec,95.0Mbits/sec,93.4Mbits/sec,93.1Mbits/sec,95.3Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,
iperf3_result_20231019182616.txt,37.2Mbits/sec,45.7Mbits/sec,47.6Mbits/sec,47.0Mbits/sec,43.7Mbits/sec,47.3Mbits/sec,46.7Mbits/sec,49.8Mbits/sec,53.4Mbits/sec,50.2Mbits/sec,51.6Mbits/sec,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019183126.txt,39.3Mbits/sec,44.7Mbits/sec,47.4Mbits/sec,48.6Mbits/sec,47.6Mbits/sec,38.6Mbits/sec,49.6Mbits/sec,52.3Mbits/sec,48.7Mbits/sec,52.2Mbits/sec,52.1Mbits/sec,10.97,,,,,,,,,,,,,,,,
iperf3_result_20231019183456.txt,52.0Mbits/sec,54.1Mbits/sec,53.8Mbits/sec,52.6Mbits/sec,53.9Mbits/sec,37.8Mbits/sec,53.2Mbits/sec,51.8Mbits/sec,49.9Mbits/sec,52.4Mbits/sec,48.4Mbits/sec,>= 11.00,61.6Mbits/sec,,,,,,,,,,,,,,,
iperf3_result_20231019183244.txt,44.0Mbits/sec,50.3Mbits/sec,48.2Mbits/sec,49.7Mbits/sec,49.6Mbits/sec,47.5Mbits/sec,49.1Mbits/sec,50.1Mbits/sec,50.9Mbits/sec,50.3Mbits/sec,52.5Mbits/sec,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019183053.txt,38.7Mbits/sec,45.8Mbits/sec,49.2Mbits/sec,50.2Mbits/sec,48.0Mbits/sec,47.9Mbits/sec,48.8Mbits/sec,43.5Mbits/sec,32.9Mbits/sec,49.0Mbits/sec,47.4Mbits/sec,>= 11.00,,55.0Mbits/sec,,,,,,,,,,,,,,
iperf3_result_20231019183721.txt,50.1Mbits/sec,54.0Mbits/sec,51.4Mbits/sec,52.1Mbits/sec,52.5Mbits/sec,51.3Mbits/sec,52.1Mbits/sec,51.4Mbits/sec,49.3Mbits/sec,53.2Mbits/sec,44.1Mbits/sec,>= 11.00,,,25.5Mbits/sec,,,,,,,,,,,,,
iperf3_result_20231019182946.txt,40.7Mbits/sec,48.6Mbits/sec,49.1Mbits/sec,50.5Mbits/sec,52.0Mbits/sec,51.5Mbits/sec,50.1Mbits/sec,50.9Mbits/sec,50.8Mbits/sec,50.2Mbits/sec,51.1Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,
iperf3_result_20231019183137.txt,39.9Mbits/sec,46.7Mbits/sec,43.6Mbits/sec,45.8Mbits/sec,45.7Mbits/sec,51.6Mbits/sec,52.2Mbits/sec,35.3Mbits/sec,19.7Mbits/sec,20.7Mbits/sec,51.7Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,
