file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.05,11.00-11.06,11.00-11.27,11.00-11.01,11.00-11.07,11.00-11.13,11.00-11.02,11.00-11.08,11.00-11.17,11.00-11.04,11.00-11.52,11.00-11.00,11.00-11.35,11.00-11.16,11.00-11.47,11.00-11.23,11.00-11.09,11.00-11.03
iperf3_result_20231019182818.txt,38.5Mbits/sec,44.1Mbits/sec,45.8Mbits/sec,45.7Mbits/sec,46.8Mbits/sec,46.3Mbits/sec,47.9Mbits/sec,49.4Mbits/sec,49.9Mbits/sec,49.6Mbits/sec,50.6Mbits/sec,10.96,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182616.txt,37.3Mbits/sec,48.3Mbits/sec,47.6Mbits/sec,47.5Mbits/sec,43.7Mbits/sec,45.7Mbits/sec,46.7Mbits/sec,49.0Mbits/sec,53.8Mbits/sec,51.2Mbits/sec,53.5Mbits/sec,10.97,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183126.txt,40.0Mbits/sec,45.2Mbits/sec,47.2Mbits/sec,48.2Mbits/sec,46.8Mbits/sec,38.3Mbits/sec,49.6Mbits/sec,52.7Mbits/sec,48.8Mbits/sec,52.5Mbits/sec,52.1Mbits/sec,10.97,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183456.txt,51.9Mbits/sec,53.4Mbits/sec,53.2Mbits/sec,50.3Mbits/sec,56.3Mbits/sec,41.6Mbits/sec,55.2Mbits/sec,48.1Mbits/sec,49.5Mbits/sec,52.1Mbits/sec,48.2Mbits/sec,>= 11.00,62.9Mbits/sec,,,,,,,,,,,,,,,,,
iperf3_result_20231019183244.txt,44.6Mbits/sec,50.7Mbits/sec,48.2Mbits/sec,49.6Mbits/sec,50.9Mbits/sec,47.0Mbits/sec,50.0Mbits/sec,50.3Mbits/sec,51.5Mbits/sec,48.8Mbits/sec,52.2Mbits/sec,10.98,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183053.txt,39.4Mbits/sec,45.5Mbits/sec,49.2Mbits/sec,49.0Mbits/sec,46.1Mbits/sec,47.8Mbits/sec,49.1Mbits/sec,43.3Mbits/sec,32.6Mbits/sec,49.4Mbits/sec,48.1Mbits/sec,>= 11.00,,52.7Mbits/sec,,,,,,,,,,,,,,,,
iperf3_result_20231019183721.txt,48.2Mbits/sec,56.1Mbits/sec,52.2Mbits/sec,54.2Mbits/sec,51.7Mbits/sec,51.1Mbits/sec,50.8Mbits/sec,52.4Mbits/sec,47.1Mbits/sec,51.8Mbits/sec,45.0Mbits/sec,>= 11.00,,,29.2Mbits/sec,,,,,,,,,,,,,,,
iperf3_result_20231019182946.txt,41.3Mbits/sec,48.6Mbits/sec,48.9Mbits/sec,50.4Mbits/sec,52.1Mbits/sec,51.4Mbits/sec,50.2Mbits/sec,50.5Mbits/sec,50.7Mbits/sec,50.1Mbits/sec,51.1Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183137.txt,39.7Mbits/sec,45.8Mbits/sec,42.4Mbits/sec,47.8Mbits/sec,47.8Mbits/sec,51.3Mbits/sec,52.7Mbits/sec,35.4Mbits/sec,19.1Mbits/sec,20.5Mbits/sec,50.5Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183255.txt,43.0Mbits/sec,48.6Mbits/sec,50.2Mbits/sec,47.3Mbits/sec,49.5Mbits/sec,47.1Mbits/sec,41.8Mbits/sec,52.3Mbits/sec,51.3Mbits/sec,51.1Mbits/sec,51.0Mbits/sec,10.97,,,,,,,,,,,,,,,,,,
