file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.43,11.00-11.31,11.00-11.30,11.00-11.80,11.00-11.21,11.00-11.79,11.00-11.60
iperf3_result_20231019144724.txt,48.5Mbits/sec,47.8Mbits/sec,52.6Mbits/sec,48.7Mbits/sec,49.9Mbits/sec,36.2Mbits/sec,47.8Mbits/sec,44.3Mbits/sec,41.8Mbits/sec,42.6Mbits/sec,45.1Mbits/sec,10.25,,,,,,,
iperf3_result_20231019150037.txt,22.3Mbits/sec,27.9Mbits/sec,27.8Mbits/sec,28.8Mbits/sec,26.7Mbits/sec,34.2Mbits/sec,37.5Mbits/sec,35.5Mbits/sec,34.4Mbits/sec,41.2Mbits/sec,42.5Mbits/sec,10.31,,,,,,,
iperf3_result_20231019144651.txt,20.6Mbits/sec,35.9Mbits/sec,66.1Mbits/sec,73.8Mbits/sec,76.4Mbits/sec,73.4Mbits/sec,64.6Mbits/sec,65.8Mbits/sec,50.8Mbits/sec,60.8Mbits/sec,59.4Mbits/sec,10.22,,,,,,,
iperf3_result_20231019145229.txt,25.8Mbits/sec,38.9Mbits/sec,42.9Mbits/sec,38.6Mbits/sec,36.9Mbits/sec,35.5Mbits/sec,37.0Mbits/sec,35.2Mbits/sec,36.7Mbits/sec,27.6Mbits/sec,48.3Mbits/sec,10.27,,,,,,,
iperf3_result_20231019150342.txt,32.8Mbits/sec,34.7Mbits/sec,33.7Mbits/sec,28.2Mbits/sec,31.8Mbits/sec,37.1Mbits/sec,36.5Mbits/sec,35.0Mbits/sec,30.7Mbits/sec,39.4Mbits/sec,36.2Mbits/sec,10.38,,,,,,,
iperf3_result_20231019144901.txt,30.4Mbits/sec,32.9Mbits/sec,27.1Mbits/sec,35.1Mbits/sec,36.2Mbits/sec,35.6Mbits/sec,33.1Mbits/sec,34.8Mbits/sec,40.1Mbits/sec,41.9Mbits/sec,44.4Mbits/sec,10.25,,,,,,,
iperf3_result_20231019150009.txt,5.06Mbits/sec,9.00Mbits/sec,10.5Mbits/sec,14.7Mbits/sec,17.5Mbits/sec,23.9Mbits/sec,24.1Mbits/sec,22.6Mbits/sec,34.7Mbits/sec,90.2Mbits/sec,89.4Mbits/sec,10.08,,,,,,,
iperf3_result_20231019145404.txt,24.3Mbits/sec,64.3Mbits/sec,77.9Mbits/sec,86.8Mbits/sec,87.1Mbits/sec,82.5Mbits/sec,83.9Mbits/sec,83.5Mbits/sec,83.7Mbits/sec,67.7Mbits/sec,94.7Mbits/sec,10.05,,,,,,,
iperf3_result_20231019145558.txt,67.0Mbits/sec,83.3Mbits/sec,68.0Mbits/sec,77.6Mbits/sec,76.4Mbits/sec,90.0Mbits/sec,89.3Mbits/sec,87.7Mbits/sec,82.9Mbits/sec,83.1Mbits/sec,88.0Mbits/sec,10.12,,,,,,,
iperf3_result_20231019145955.txt,1.38Mbits/sec,3.13Mbits/sec,18.4Mbits/sec,25.2Mbits/sec,16.3Mbits/sec,25.8Mbits/sec,24.0Mbits/sec,15.7Mbits/sec,6.64Mbits/sec,3.32Mbits/sec,116Kbits/sec,>= 11.00,,,,,,,
iperf3_result_20231019145010.txt,36.3Mbits/sec,34.8Mbits/sec,33.9Mbits/sec,28.9Mbits/sec,38.8Mbits/sec,38.3Mbits/sec,39.9Mbits/sec,37.3Mbits/sec,35.6Mbits/sec,31.2Mbits/sec,33.0Mbits/sec,10.40,,,,,,,
iperf3_result_20231019150353.txt,37.0Mbits/sec,37.2Mbits/sec,41.3Mbits/sec,40.0Mbits/sec,32.1Mbits/sec,35.7Mbits/sec,36.7Mbits/sec,25.6Mbits/sec,33.4Mbits/sec,36.9Mbits/sec,41.6Mbits/sec,10.33,,,,,,,
