file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.19,11.00-11.04,11.00-11.00,11.00-11.05,11.00-11.02,11.00-11.06,11.00-11.12,11.00-11.25,11.00-11.09,11.00-11.15,11.00-12.00,12.00-12.54,11.00-11.14,11.00-11.07,11.00-11.01,11.00-11.11,11.00-11.08,11.00-11.03,11.00-11.18,11.00-11.16,11.00-11.22,11.00-11.21,11.00-11.49,11.00-11.30,11.00-11.26,11.00-11.17,11.00-11.38,11.00-11.37,11.00-11.24,11.00-11.10,11.00-11.13,11.00-11.52
iperf3_result_20231019153847.txt,46.6Mbits/sec,44.7Mbits/sec,46.2Mbits/sec,48.3Mbits/sec,51.8Mbits/sec,51.2Mbits/sec,49.8Mbits/sec,51.2Mbits/sec,41.1Mbits/sec,43.8Mbits/sec,42.8Mbits/sec,>= 11.00,48.2Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154457.txt,46.7Mbits/sec,50.6Mbits/sec,38.5Mbits/sec,50.8Mbits/sec,50.7Mbits/sec,48.1Mbits/sec,50.3Mbits/sec,49.5Mbits/sec,47.6Mbits/sec,46.5Mbits/sec,49.6Mbits/sec,>= 11.00,,55.5Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153728.txt,43.7Mbits/sec,43.4Mbits/sec,45.0Mbits/sec,49.2Mbits/sec,46.5Mbits/sec,50.9Mbits/sec,50.8Mbits/sec,51.6Mbits/sec,50.9Mbits/sec,47.1Mbits/sec,51.8Mbits/sec,>= 11.00,,,39.8Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154913.txt,44.5Mbits/sec,43.3Mbits/sec,47.8Mbits/sec,45.3Mbits/sec,48.5Mbits/sec,51.4Mbits/sec,47.8Mbits/sec,45.9Mbits/sec,50.0Mbits/sec,50.0Mbits/sec,50.1Mbits/sec,>= 11.00,,54.7Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154244.txt,42.4Mbits/sec,51.3Mbits/sec,47.7Mbits/sec,49.2Mbits/sec,43.4Mbits/sec,50.5Mbits/sec,49.5Mbits/sec,35.1Mbits/sec,50.4Mbits/sec,49.0Mbits/sec,49.0Mbits/sec,>= 11.00,,,,53.8Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154508.txt,44.9Mbits/sec,50.3Mbits/sec,51.9Mbits/sec,49.7Mbits/sec,49.9Mbits/sec,45.7Mbits/sec,43.8Mbits/sec,48.4Mbits/sec,47.1Mbits/sec,50.1Mbits/sec,50.4Mbits/sec,>= 11.00,,61.5Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154722.txt,46.9Mbits/sec,47.2Mbits/sec,51.0Mbits/sec,50.8Mbits/sec,48.4Mbits/sec,51.0Mbits/sec,46.9Mbits/sec,48.1Mbits/sec,41.5Mbits/sec,51.7Mbits/sec,50.3Mbits/sec,>= 11.00,,,,,56.2Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153931.txt,42.7Mbits/sec,48.2Mbits/sec,44.6Mbits/sec,44.9Mbits/sec,41.0Mbits/sec,40.8Mbits/sec,46.8Mbits/sec,48.0Mbits/sec,48.0Mbits/sec,48.3Mbits/sec,48.2Mbits/sec,>= 11.00,,,,,,55.8Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153716.txt,45.0Mbits/sec,50.6Mbits/sec,50.1Mbits/sec,49.6Mbits/sec,50.5Mbits/sec,46.7Mbits/sec,44.8Mbits/sec,47.6Mbits/sec,41.6Mbits/sec,46.0Mbits/sec,50.1Mbits/sec,>= 11.00,,40.1Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153458.txt,81.8Mbits/sec,87.0Mbits/sec,65.6Mbits/sec,89.8Mbits/sec,87.2Mbits/sec,89.7Mbits/sec,87.4Mbits/sec,97.1Mbits/sec,95.6Mbits/sec,71.6Mbits/sec,87.0Mbits/sec,>= 11.00,,,,,,,90.2Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154519.txt,45.1Mbits/sec,45.5Mbits/sec,48.3Mbits/sec,47.5Mbits/sec,49.8Mbits/sec,46.5Mbits/sec,50.2Mbits/sec,48.9Mbits/sec,50.8Mbits/sec,48.4Mbits/sec,39.3Mbits/sec,>= 11.00,,,,,,,,46.7Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154733.txt,43.1Mbits/sec,48.1Mbits/sec,48.3Mbits/sec,48.6Mbits/sec,45.3Mbits/sec,49.2Mbits/sec,50.6Mbits/sec,47.4Mbits/sec,47.4Mbits/sec,33.0Mbits/sec,51.9Mbits/sec,>= 11.00,,,,,,,,,32.2Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153909.txt,44.8Mbits/sec,45.5Mbits/sec,50.7Mbits/sec,44.4Mbits/sec,39.2Mbits/sec,39.6Mbits/sec,45.2Mbits/sec,44.4Mbits/sec,45.7Mbits/sec,46.1Mbits/sec,44.8Mbits/sec,>= 11.00,,,,,,,54.4Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153920.txt,40.5Mbits/sec,51.5Mbits/sec,49.6Mbits/sec,46.9Mbits/sec,52.7Mbits/sec,47.4Mbits/sec,45.0Mbits/sec,41.5Mbits/sec,41.3Mbits/sec,33.0Mbits/sec,46.9Mbits/sec,>= 11.00,,,,,,,,,,35.8Mbits/sec,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154530.txt,43.4Mbits/sec,48.8Mbits/sec,44.9Mbits/sec,50.3Mbits/sec,47.8Mbits/sec,49.1Mbits/sec,48.3Mbits/sec,47.4Mbits/sec,48.0Mbits/sec,45.4Mbits/sec,49.4Mbits/sec,>= 11.00,,,,,,61.3Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154134.txt,47.1Mbits/sec,47.8Mbits/sec,46.4Mbits/sec,47.8Mbits/sec,51.2Mbits/sec,50.9Mbits/sec,47.6Mbits/sec,44.6Mbits/sec,47.0Mbits/sec,44.7Mbits/sec,17.7Mbits/sec,>= 11.00,,,,,,,,,,,17.6Mbits/sec,27.2Mbits/sec,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154446.txt,46.6Mbits/sec,47.0Mbits/sec,48.8Mbits/sec,48.8Mbits/sec,42.3Mbits/sec,51.0Mbits/sec,48.4Mbits/sec,49.6Mbits/sec,47.0Mbits/sec,51.1Mbits/sec,50.4Mbits/sec,>= 11.00,,39.9Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153705.txt,49.2Mbits/sec,41.5Mbits/sec,37.0Mbits/sec,51.5Mbits/sec,47.8Mbits/sec,45.5Mbits/sec,48.4Mbits/sec,49.0Mbits/sec,43.7Mbits/sec,42.5Mbits/sec,44.1Mbits/sec,>= 11.00,,,,,,,,,,,,,51.6Mbits/sec,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153739.txt,49.3Mbits/sec,49.6Mbits/sec,50.9Mbits/sec,50.4Mbits/sec,44.1Mbits/sec,46.2Mbits/sec,43.9Mbits/sec,47.2Mbits/sec,40.1Mbits/sec,49.8Mbits/sec,49.7Mbits/sec,>= 11.00,,,,,,44.0Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154902.txt,45.8Mbits/sec,50.9Mbits/sec,47.2Mbits/sec,49.9Mbits/sec,45.6Mbits/sec,42.7Mbits/sec,50.1Mbits/sec,48.6Mbits/sec,50.5Mbits/sec,48.2Mbits/sec,48.9Mbits/sec,>= 11.00,,,,,,,,,,,,,,41.1Mbits/sec,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154255.txt,47.7Mbits/sec,48.2Mbits/sec,51.7Mbits/sec,50.2Mbits/sec,39.3Mbits/sec,48.1Mbits/sec,47.0Mbits/sec,44.4Mbits/sec,44.5Mbits/sec,45.7Mbits/sec,50.9Mbits/sec,>= 11.00,,,,,,,,,,,,,,,70.6Mbits/sec,,,,,,,,,,,,,,,,,
iperf3_result_20231019154123.txt,43.1Mbits/sec,48.3Mbits/sec,49.7Mbits/sec,51.1Mbits/sec,49.3Mbits/sec,44.9Mbits/sec,21.4Mbits/sec,49.9Mbits/sec,48.4Mbits/sec,49.4Mbits/sec,44.6Mbits/sec,>= 11.00,,,,,,,,,,44.0Mbits/sec,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153824.txt,45.5Mbits/sec,49.4Mbits/sec,47.0Mbits/sec,44.4Mbits/sec,46.9Mbits/sec,40.7Mbits/sec,36.1Mbits/sec,49.1Mbits/sec,44.0Mbits/sec,42.5Mbits/sec,46.6Mbits/sec,>= 11.00,,,,,,,63.9Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153415.txt,92.2Mbits/sec,74.4Mbits/sec,84.6Mbits/sec,90.0Mbits/sec,94.7Mbits/sec,96.4Mbits/sec,97.5Mbits/sec,92.1Mbits/sec,93.7Mbits/sec,102Mbits/sec,82.7Mbits/sec,10.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154958.txt,48.4Mbits/sec,46.8Mbits/sec,31.9Mbits/sec,49.0Mbits/sec,45.6Mbits/sec,44.2Mbits/sec,45.9Mbits/sec,44.6Mbits/sec,39.5Mbits/sec,49.0Mbits/sec,47.4Mbits/sec,>= 11.00,,,,,,,,,,,,,,,,42.7Mbits/sec,,,,,,,,,,,,,,,,
iperf3_result_20231019154541.txt,46.0Mbits/sec,48.6Mbits/sec,52.3Mbits/sec,47.0Mbits/sec,49.1Mbits/sec,51.0Mbits/sec,49.4Mbits/sec,49.1Mbits/sec,47.9Mbits/sec,44.5Mbits/sec,45.3Mbits/sec,>= 11.00,,,,,,,49.8Mbits/sec,,,,,,,,,,,,,,,,,,,,,,,,,
