0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,4.00-5.01,5.01-6.00
65.2Mbits/sec,65.8Mbits/sec,65.2Mbits/sec,63.4Mbits/sec,58.4Mbits/sec,59.4Mbits/sec,58.4Mbits/sec,59.2Mbits/sec,58.1Mbits/sec,59.0Mbits/sec,,
66.0Mbits/sec,64.4Mbits/sec,63.6Mbits/sec,64.4Mbits/sec,65.2Mbits/sec,63.8Mbits/sec,65.0Mbits/sec,65.2Mbits/sec,65.2Mbits/sec,59.2Mbits/sec,,
64.6Mbits/sec,63.2Mbits/sec,65.0Mbits/sec,64.8Mbits/sec,59.0Mbits/sec,59.0Mbits/sec,59.1Mbits/sec,59.4Mbits/sec,59.3Mbits/sec,58.9Mbits/sec,,
64.5Mbits/sec,64.3Mbits/sec,63.5Mbits/sec,63.8Mbits/sec,61.7Mbits/sec,63.7Mbits/sec,63.6Mbits/sec,62.9Mbits/sec,64.1Mbits/sec,63.8Mbits/sec,,
65.1Mbits/sec,65.2Mbits/sec,65.5Mbits/sec,64.2Mbits/sec,59.4Mbits/sec,59.2Mbits/sec,59.4Mbits/sec,58.2Mbits/sec,58.7Mbits/sec,58.6Mbits/sec,,
128Mbits/sec,128Mbits/sec,130Mbits/sec,129Mbits/sec,129Mbits/sec,126Mbits/sec,129Mbits/sec,130Mbits/sec,129Mbits/sec,129Mbits/sec,,
65.2Mbits/sec,65.1Mbits/sec,63.2Mbits/sec,63.7Mbits/sec,61.3Mbits/sec,65.1Mbits/sec,63.9Mbits/sec,64.2Mbits/sec,64.3Mbits/sec,62.4Mbits/sec,,
65.4Mbits/sec,64.7Mbits/sec,61.3Mbits/sec,59.6Mbits/sec,64.7Mbits/sec,65.6Mbits/sec,65.1Mbits/sec,63.2Mbits/sec,62.9Mbits/sec,59.6Mbits/sec,,
67.1Mbits/sec,65.2Mbits/sec,66.5Mbits/sec,64.9Mbits/sec,60.0Mbits/sec,58.7Mbits/sec,59.2Mbits/sec,59.1Mbits/sec,59.1Mbits/sec,59.0Mbits/sec,,
65.4Mbits/sec,63.3Mbits/sec,62.6Mbits/sec,61.9Mbits/sec,59.2Mbits/sec,59.0Mbits/sec,59.1Mbits/sec,58.8Mbits/sec,59.0Mbits/sec,59.2Mbits/sec,,
66.7Mbits/sec,66.1Mbits/sec,64.1Mbits/sec,63.9Mbits/sec,59.4Mbits/sec,59.3Mbits/sec,59.9Mbits/sec,59.4Mbits/sec,60.1Mbits/sec,60.1Mbits/sec,,
66.5Mbits/sec,64.5Mbits/sec,63.8Mbits/sec,64.5Mbits/sec,59.5Mbits/sec,62.0Mbits/sec,65.1Mbits/sec,65.1Mbits/sec,64.3Mbits/sec,62.9Mbits/sec,,
64.8Mbits/sec,64.7Mbits/sec,65.2Mbits/sec,65.5Mbits/sec,59.1Mbits/sec,58.8Mbits/sec,58.8Mbits/sec,58.9Mbits/sec,58.3Mbits/sec,59.0Mbits/sec,,
65.7Mbits/sec,64.7Mbits/sec,65.3Mbits/sec,64.1Mbits/sec,59.3Mbits/sec,58.4Mbits/sec,58.8Mbits/sec,58.9Mbits/sec,58.9Mbits/sec,58.1Mbits/sec,,
65.3Mbits/sec,65.0Mbits/sec,63.9Mbits/sec,63.9Mbits/sec,59.0Mbits/sec,59.5Mbits/sec,59.8Mbits/sec,61.8Mbits/sec,63.4Mbits/sec,64.6Mbits/sec,,
66.4Mbits/sec,65.3Mbits/sec,64.8Mbits/sec,63.0Mbits/sec,59.1Mbits/sec,58.8Mbits/sec,59.0Mbits/sec,59.3Mbits/sec,58.5Mbits/sec,59.0Mbits/sec,,
65.7Mbits/sec,65.4Mbits/sec,64.5Mbits/sec,65.4Mbits/sec,62.7Mbits/sec,64.6Mbits/sec,62.3Mbits/sec,64.8Mbits/sec,64.3Mbits/sec,63.2Mbits/sec,,
65.5Mbits/sec,65.2Mbits/sec,64.0Mbits/sec,63.8Mbits/sec,59.3Mbits/sec,59.2Mbits/sec,59.2Mbits/sec,58.4Mbits/sec,58.6Mbits/sec,60.8Mbits/sec,,
64.3Mbits/sec,64.2Mbits/sec,65.0Mbits/sec,65.1Mbits/sec,59.5Mbits/sec,59.1Mbits/sec,58.7Mbits/sec,58.4Mbits/sec,59.1Mbits/sec,59.2Mbits/sec,,
64.2Mbits/sec,64.2Mbits/sec,64.2Mbits/sec,64.9Mbits/sec,61.1Mbits/sec,64.0Mbits/sec,63.7Mbits/sec,62.9Mbits/sec,63.7Mbits/sec,64.1Mbits/sec,,
66.8Mbits/sec,65.5Mbits/sec,65.9Mbits/sec,64.7Mbits/sec,59.0Mbits/sec,58.9Mbits/sec,58.5Mbits/sec,59.3Mbits/sec,59.2Mbits/sec,59.3Mbits/sec,,
65.3Mbits/sec,65.2Mbits/sec,64.9Mbits/sec,64.7Mbits/sec,58.8Mbits/sec,64.9Mbits/sec,65.1Mbits/sec,65.9Mbits/sec,65.2Mbits/sec,63.1Mbits/sec,,
122Mbits/sec,122Mbits/sec,130Mbits/sec,128Mbits/sec,129Mbits/sec,129Mbits/sec,130Mbits/sec,129Mbits/sec,125Mbits/sec,123Mbits/sec,,
69.6Mbits/sec,64.5Mbits/sec,63.8Mbits/sec,66.6Mbits/sec,59.6Mbits/sec,59.3Mbits/sec,58.1Mbits/sec,59.3Mbits/sec,58.6Mbits/sec,58.8Mbits/sec,,
64.5Mbits/sec,63.5Mbits/sec,63.3Mbits/sec,60.7Mbits/sec,64.2Mbits/sec,63.5Mbits/sec,64.3Mbits/sec,64.1Mbits/sec,61.8Mbits/sec,60.3Mbits/sec,,
121Mbits/sec,127Mbits/sec,125Mbits/sec,127Mbits/sec,128Mbits/sec,128Mbits/sec,130Mbits/sec,127Mbits/sec,127Mbits/sec,130Mbits/sec,,
65.0Mbits/sec,60.6Mbits/sec,59.4Mbits/sec,59.2Mbits/sec,58.9Mbits/sec,60.3Mbits/sec,60.6Mbits/sec,59.9Mbits/sec,59.8Mbits/sec,59.8Mbits/sec,,
130Mbits/sec,130Mbits/sec,130Mbits/sec,130Mbits/sec,128Mbits/sec,128Mbits/sec,130Mbits/sec,129Mbits/sec,128Mbits/sec,129Mbits/sec,,
66.3Mbits/sec,63.8Mbits/sec,65.8Mbits/sec,65.3Mbits/sec,57.3Mbits/sec,58.5Mbits/sec,58.9Mbits/sec,58.2Mbits/sec,59.2Mbits/sec,59.0Mbits/sec,,
64.2Mbits/sec,64.9Mbits/sec,64.6Mbits/sec,64.0Mbits/sec,63.8Mbits/sec,62.4Mbits/sec,63.7Mbits/sec,63.5Mbits/sec,63.7Mbits/sec,63.8Mbits/sec,,
66.0Mbits/sec,62.1Mbits/sec,61.7Mbits/sec,62.9Mbits/sec,58.6Mbits/sec,59.1Mbits/sec,57.9Mbits/sec,59.0Mbits/sec,57.0Mbits/sec,60.3Mbits/sec,,
68.6Mbits/sec,65.4Mbits/sec,63.9Mbits/sec,65.8Mbits/sec,65.6Mbits/sec,66.2Mbits/sec,66.7Mbits/sec,62.5Mbits/sec,59.4Mbits/sec,58.8Mbits/sec,,
65.1Mbits/sec,60.5Mbits/sec,59.5Mbits/sec,59.8Mbits/sec,64.4Mbits/sec,68.3Mbits/sec,66.2Mbits/sec,65.9Mbits/sec,65.3Mbits/sec,59.7Mbits/sec,,
65.5Mbits/sec,66.3Mbits/sec,64.5Mbits/sec,62.8Mbits/sec,58.4Mbits/sec,58.7Mbits/sec,58.4Mbits/sec,59.2Mbits/sec,57.6Mbits/sec,57.8Mbits/sec,,
65.3Mbits/sec,58.6Mbits/sec,57.9Mbits/sec,59.5Mbits/sec,58.7Mbits/sec,58.4Mbits/sec,57.7Mbits/sec,62.9Mbits/sec,63.9Mbits/sec,61.5Mbits/sec,,
66.2Mbits/sec,65.8Mbits/sec,64.4Mbits/sec,65.5Mbits/sec,59.6Mbits/sec,60.1Mbits/sec,60.5Mbits/sec,59.5Mbits/sec,58.6Mbits/sec,58.9Mbits/sec,,
63.6Mbits/sec,64.8Mbits/sec,65.1Mbits/sec,66.4Mbits/sec,60.4Mbits/sec,59.8Mbits/sec,59.3Mbits/sec,64.8Mbits/sec,64.7Mbits/sec,63.5Mbits/sec,,
125Mbits/sec,123Mbits/sec,124Mbits/sec,126Mbits/sec,,,126Mbits/sec,128Mbits/sec,126Mbits/sec,124Mbits/sec,123Mbits/sec,126Mbits/sec
66.1Mbits/sec,63.8Mbits/sec,64.1Mbits/sec,64.2Mbits/sec,61.0Mbits/sec,60.6Mbits/sec,59.3Mbits/sec,64.6Mbits/sec,63.8Mbits/sec,65.0Mbits/sec,,
65.7Mbits/sec,64.9Mbits/sec,64.5Mbits/sec,64.4Mbits/sec,58.5Mbits/sec,59.4Mbits/sec,59.3Mbits/sec,58.4Mbits/sec,58.6Mbits/sec,58.4Mbits/sec,,
65.9Mbits/sec,64.6Mbits/sec,65.0Mbits/sec,63.1Mbits/sec,59.2Mbits/sec,59.0Mbits/sec,59.4Mbits/sec,58.3Mbits/sec,59.1Mbits/sec,60.3Mbits/sec,,
66.2Mbits/sec,65.8Mbits/sec,64.4Mbits/sec,65.5Mbits/sec,59.4Mbits/sec,58.7Mbits/sec,59.1Mbits/sec,59.4Mbits/sec,59.0Mbits/sec,58.9Mbits/sec,,
64.7Mbits/sec,43.2Mbits/sec,33.3Mbits/sec,54.6Mbits/sec,58.4Mbits/sec,59.3Mbits/sec,58.9Mbits/sec,59.2Mbits/sec,59.2Mbits/sec,57.9Mbits/sec,,
65.5Mbits/sec,65.2Mbits/sec,64.4Mbits/sec,64.0Mbits/sec,59.2Mbits/sec,58.8Mbits/sec,58.7Mbits/sec,58.6Mbits/sec,59.4Mbits/sec,59.3Mbits/sec,,
64.9Mbits/sec,65.4Mbits/sec,63.7Mbits/sec,61.7Mbits/sec,58.2Mbits/sec,58.7Mbits/sec,58.6Mbits/sec,58.9Mbits/sec,58.4Mbits/sec,57.6Mbits/sec,,
66.0Mbits/sec,64.8Mbits/sec,65.0Mbits/sec,65.0Mbits/sec,60.2Mbits/sec,59.9Mbits/sec,63.6Mbits/sec,64.4Mbits/sec,63.5Mbits/sec,63.3Mbits/sec,,
60.2Mbits/sec,64.3Mbits/sec,63.1Mbits/sec,64.1Mbits/sec,63.3Mbits/sec,64.8Mbits/sec,63.1Mbits/sec,63.9Mbits/sec,64.1Mbits/sec,64.4Mbits/sec,,
64.5Mbits/sec,63.3Mbits/sec,64.6Mbits/sec,64.1Mbits/sec,59.5Mbits/sec,59.7Mbits/sec,59.3Mbits/sec,59.6Mbits/sec,59.6Mbits/sec,59.9Mbits/sec,,
64.8Mbits/sec,64.6Mbits/sec,65.1Mbits/sec,61.0Mbits/sec,59.5Mbits/sec,60.1Mbits/sec,59.9Mbits/sec,62.9Mbits/sec,64.2Mbits/sec,64.3Mbits/sec,,
65.7Mbits/sec,65.3Mbits/sec,63.4Mbits/sec,64.2Mbits/sec,59.2Mbits/sec,59.4Mbits/sec,59.3Mbits/sec,59.3Mbits/sec,59.0Mbits/sec,58.6Mbits/sec,,
65.8Mbits/sec,64.6Mbits/sec,65.3Mbits/sec,64.5Mbits/sec,57.7Mbits/sec,58.7Mbits/sec,58.4Mbits/sec,58.7Mbits/sec,57.5Mbits/sec,58.3Mbits/sec,,
64.2Mbits/sec,64.3Mbits/sec,64.2Mbits/sec,63.5Mbits/sec,58.6Mbits/sec,58.9Mbits/sec,57.3Mbits/sec,64.6Mbits/sec,65.0Mbits/sec,63.6Mbits/sec,,
66.2Mbits/sec,65.6Mbits/sec,65.3Mbits/sec,65.3Mbits/sec,59.4Mbits/sec,59.0Mbits/sec,59.0Mbits/sec,58.5Mbits/sec,59.2Mbits/sec,59.0Mbits/sec,,
65.8Mbits/sec,67.1Mbits/sec,64.2Mbits/sec,64.3Mbits/sec,59.3Mbits/sec,62.0Mbits/sec,63.3Mbits/sec,63.9Mbits/sec,63.3Mbits/sec,65.6Mbits/sec,,
58.9Mbits/sec,56.6Mbits/sec,58.3Mbits/sec,57.8Mbits/sec,57.8Mbits/sec,59.0Mbits/sec,58.6Mbits/sec,58.5Mbits/sec,59.3Mbits/sec,59.7Mbits/sec,,
63.9Mbits/sec,63.4Mbits/sec,63.6Mbits/sec,63.5Mbits/sec,62.8Mbits/sec,63.3Mbits/sec,63.8Mbits/sec,63.8Mbits/sec,56.4Mbits/sec,63.7Mbits/sec,,
127Mbits/sec,128Mbits/sec,130Mbits/sec,130Mbits/sec,129Mbits/sec,128Mbits/sec,130Mbits/sec,129Mbits/sec,128Mbits/sec,130Mbits/sec,,
66.1Mbits/sec,65.2Mbits/sec,64.7Mbits/sec,63.8Mbits/sec,59.0Mbits/sec,58.8Mbits/sec,59.0Mbits/sec,58.8Mbits/sec,60.0Mbits/sec,58.8Mbits/sec,,
65.9Mbits/sec,63.2Mbits/sec,61.5Mbits/sec,64.8Mbits/sec,60.2Mbits/sec,59.1Mbits/sec,59.5Mbits/sec,59.8Mbits/sec,59.3Mbits/sec,58.6Mbits/sec,,
67.2Mbits/sec,63.0Mbits/sec,63.7Mbits/sec,62.9Mbits/sec,64.5Mbits/sec,62.1Mbits/sec,62.5Mbits/sec,62.9Mbits/sec,64.5Mbits/sec,64.4Mbits/sec,,
66.0Mbits/sec,65.3Mbits/sec,65.2Mbits/sec,64.8Mbits/sec,59.6Mbits/sec,58.6Mbits/sec,58.3Mbits/sec,59.1Mbits/sec,59.2Mbits/sec,58.9Mbits/sec,,
65.9Mbits/sec,65.4Mbits/sec,63.9Mbits/sec,59.1Mbits/sec,59.3Mbits/sec,59.3Mbits/sec,59.8Mbits/sec,59.3Mbits/sec,75.9Mbits/sec,131Mbits/sec,,
65.7Mbits/sec,63.6Mbits/sec,64.9Mbits/sec,64.9Mbits/sec,58.5Mbits/sec,59.6Mbits/sec,59.0Mbits/sec,58.7Mbits/sec,59.0Mbits/sec,59.3Mbits/sec,,
66.6Mbits/sec,61.5Mbits/sec,59.8Mbits/sec,63.6Mbits/sec,66.3Mbits/sec,64.3Mbits/sec,65.7Mbits/sec,65.8Mbits/sec,60.5Mbits/sec,60.3Mbits/sec,,
63.5Mbits/sec,65.3Mbits/sec,62.9Mbits/sec,59.0Mbits/sec,60.0Mbits/sec,58.9Mbits/sec,58.7Mbits/sec,59.4Mbits/sec,59.1Mbits/sec,59.4Mbits/sec,,
64.7Mbits/sec,64.7Mbits/sec,64.6Mbits/sec,64.4Mbits/sec,60.1Mbits/sec,59.8Mbits/sec,59.1Mbits/sec,60.0Mbits/sec,59.3Mbits/sec,59.9Mbits/sec,,
129Mbits/sec,130Mbits/sec,130Mbits/sec,128Mbits/sec,127Mbits/sec,127Mbits/sec,124Mbits/sec,126Mbits/sec,126Mbits/sec,126Mbits/sec,,
65.7Mbits/sec,64.5Mbits/sec,64.7Mbits/sec,63.7Mbits/sec,60.5Mbits/sec,58.5Mbits/sec,59.5Mbits/sec,59.2Mbits/sec,59.5Mbits/sec,59.3Mbits/sec,,
66.3Mbits/sec,64.9Mbits/sec,65.2Mbits/sec,65.1Mbits/sec,59.5Mbits/sec,58.8Mbits/sec,58.8Mbits/sec,58.9Mbits/sec,58.6Mbits/sec,59.1Mbits/sec,,
129Mbits/sec,128Mbits/sec,127Mbits/sec,128Mbits/sec,129Mbits/sec,125Mbits/sec,129Mbits/sec,124Mbits/sec,130Mbits/sec,129Mbits/sec,,
67.9Mbits/sec,63.0Mbits/sec,62.5Mbits/sec,60.9Mbits/sec,58.9Mbits/sec,59.3Mbits/sec,59.7Mbits/sec,59.8Mbits/sec,58.8Mbits/sec,64.1Mbits/sec,,
65.4Mbits/sec,64.2Mbits/sec,63.6Mbits/sec,67.1Mbits/sec,60.8Mbits/sec,59.1Mbits/sec,58.7Mbits/sec,60.1Mbits/sec,58.9Mbits/sec,59.5Mbits/sec,,
66.2Mbits/sec,65.5Mbits/sec,65.2Mbits/sec,64.0Mbits/sec,58.9Mbits/sec,65.0Mbits/sec,65.2Mbits/sec,66.1Mbits/sec,66.1Mbits/sec,64.2Mbits/sec,,
65.5Mbits/sec,64.7Mbits/sec,63.8Mbits/sec,64.8Mbits/sec,59.8Mbits/sec,57.8Mbits/sec,59.4Mbits/sec,59.2Mbits/sec,58.7Mbits/sec,59.0Mbits/sec,,
63.9Mbits/sec,62.8Mbits/sec,62.8Mbits/sec,61.7Mbits/sec,60.3Mbits/sec,64.4Mbits/sec,64.2Mbits/sec,64.4Mbits/sec,64.0Mbits/sec,64.3Mbits/sec,,
65.3Mbits/sec,64.5Mbits/sec,64.2Mbits/sec,62.7Mbits/sec,60.7Mbits/sec,62.1Mbits/sec,64.3Mbits/sec,64.4Mbits/sec,64.2Mbits/sec,63.7Mbits/sec,,
125Mbits/sec,126Mbits/sec,128Mbits/sec,129Mbits/sec,130Mbits/sec,125Mbits/sec,128Mbits/sec,128Mbits/sec,130Mbits/sec,125Mbits/sec,,
65.6Mbits/sec,65.1Mbits/sec,64.6Mbits/sec,62.8Mbits/sec,60.1Mbits/sec,59.2Mbits/sec,59.1Mbits/sec,59.1Mbits/sec,59.2Mbits/sec,59.0Mbits/sec,,
65.5Mbits/sec,64.4Mbits/sec,65.5Mbits/sec,61.6Mbits/sec,59.1Mbits/sec,59.2Mbits/sec,59.2Mbits/sec,59.3Mbits/sec,59.2Mbits/sec,60.7Mbits/sec,,
65.3Mbits/sec,59.0Mbits/sec,59.4Mbits/sec,60.6Mbits/sec,58.4Mbits/sec,60.8Mbits/sec,63.4Mbits/sec,64.6Mbits/sec,63.4Mbits/sec,63.7Mbits/sec,,
66.3Mbits/sec,64.0Mbits/sec,65.7Mbits/sec,65.1Mbits/sec,58.9Mbits/sec,59.1Mbits/sec,59.3Mbits/sec,59.0Mbits/sec,59.2Mbits/sec,58.6Mbits/sec,,
130Mbits/sec,130Mbits/sec,129Mbits/sec,131Mbits/sec,129Mbits/sec,120Mbits/sec,121Mbits/sec,121Mbits/sec,121Mbits/sec,127Mbits/sec,,
62.4Mbits/sec,61.4Mbits/sec,59.8Mbits/sec,64.5Mbits/sec,62.5Mbits/sec,61.7Mbits/sec,60.9Mbits/sec,62.1Mbits/sec,61.9Mbits/sec,60.9Mbits/sec,,
64.3Mbits/sec,64.3Mbits/sec,64.8Mbits/sec,62.4Mbits/sec,63.5Mbits/sec,63.7Mbits/sec,64.4Mbits/sec,63.8Mbits/sec,63.0Mbits/sec,60.6Mbits/sec,,
69.9Mbits/sec,65.1Mbits/sec,63.9Mbits/sec,65.3Mbits/sec,59.0Mbits/sec,58.9Mbits/sec,59.1Mbits/sec,58.7Mbits/sec,64.6Mbits/sec,66.1Mbits/sec,,
59.8Mbits/sec,56.7Mbits/sec,58.7Mbits/sec,59.2Mbits/sec,59.1Mbits/sec,107Mbits/sec,132Mbits/sec,131Mbits/sec,131Mbits/sec,131Mbits/sec,,
64.3Mbits/sec,64.1Mbits/sec,64.0Mbits/sec,62.2Mbits/sec,62.3Mbits/sec,63.0Mbits/sec,64.4Mbits/sec,65.3Mbits/sec,61.0Mbits/sec,58.1Mbits/sec,,
63.2Mbits/sec,64.9Mbits/sec,65.4Mbits/sec,64.6Mbits/sec,63.6Mbits/sec,63.7Mbits/sec,63.9Mbits/sec,65.5Mbits/sec,65.2Mbits/sec,59.6Mbits/sec,,
59.5Mbits/sec,60.8Mbits/sec,64.9Mbits/sec,64.2Mbits/sec,64.0Mbits/sec,64.1Mbits/sec,62.6Mbits/sec,63.9Mbits/sec,65.3Mbits/sec,65.2Mbits/sec,,
66.7Mbits/sec,62.5Mbits/sec,58.7Mbits/sec,58.8Mbits/sec,58.7Mbits/sec,58.9Mbits/sec,58.9Mbits/sec,59.0Mbits/sec,59.1Mbits/sec,58.7Mbits/sec,,
64.8Mbits/sec,65.0Mbits/sec,63.4Mbits/sec,66.5Mbits/sec,64.5Mbits/sec,64.5Mbits/sec,63.7Mbits/sec,62.0Mbits/sec,60.6Mbits/sec,63.9Mbits/sec,,
126Mbits/sec,126Mbits/sec,124Mbits/sec,127Mbits/sec,128Mbits/sec,125Mbits/sec,127Mbits/sec,125Mbits/sec,127Mbits/sec,126Mbits/sec,,
65.2Mbits/sec,64.9Mbits/sec,63.3Mbits/sec,59.6Mbits/sec,59.4Mbits/sec,59.9Mbits/sec,59.3Mbits/sec,59.4Mbits/sec,62.3Mbits/sec,65.8Mbits/sec,,
66.4Mbits/sec,64.0Mbits/sec,64.9Mbits/sec,64.4Mbits/sec,58.0Mbits/sec,58.4Mbits/sec,57.2Mbits/sec,58.7Mbits/sec,59.0Mbits/sec,59.4Mbits/sec,,
