file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time
iperf3_result_20231019174036.txt,54.4Mbits/sec,39.6Mbits/sec,47.4Mbits/sec,50.6Mbits/sec,40.7Mbits/sec,52.4Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,52.4Mbits/sec,52.4Mbits/sec,,
iperf3_result_20231019173822.txt,35.8Mbits/sec,54.7Mbits/sec,69.9Mbits/sec,61.8Mbits/sec,62.9Mbits/sec,62.9Mbits/sec,73.4Mbits/sec,62.9Mbits/sec,52.4Mbits/sec,62.9Mbits/sec,,
iperf3_result_20231019174433.txt,38.1Mbits/sec,48.0Mbits/sec,46.4Mbits/sec,49.5Mbits/sec,42.7Mbits/sec,48.0Mbits/sec,50.0Mbits/sec,39.6Mbits/sec,52.4Mbits/sec,52.4Mbits/sec,,
iperf3_result_20231019174341.txt,46.6Mbits/sec,36.5Mbits/sec,39.7Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,52.4Mbits/sec,52.4Mbits/sec,,
iperf3_result_20231019174802.txt,15.0Mbits/sec,19.8Mbits/sec,16.2Mbits/sec,13.0Mbits/sec,24.0Mbits/sec,9.38Mbits/sec,20.4Mbits/sec,21.0Mbits/sec,21.0Mbits/sec,31.5Mbits/sec,0.00bits/sec,10.17
iperf3_result_20231019174751.txt,11.0Mbits/sec,44.8Mbits/sec,51.1Mbits/sec,34.9Mbits/sec,42.7Mbits/sec,36.0Mbits/sec,45.9Mbits/sec,30.9Mbits/sec,31.5Mbits/sec,21.0Mbits/sec,0.00bits/sec,10.53
iperf3_result_20231019174209.txt,32.1Mbits/sec,35.4Mbits/sec,44.8Mbits/sec,43.8Mbits/sec,46.9Mbits/sec,44.3Mbits/sec,46.4Mbits/sec,39.6Mbits/sec,59.0Mbits/sec,41.9Mbits/sec,,
iperf3_result_20231019174545.txt,32.2Mbits/sec,51.6Mbits/sec,43.3Mbits/sec,55.3Mbits/sec,40.7Mbits/sec,20.3Mbits/sec,31.5Mbits/sec,10.5Mbits/sec,21.0Mbits/sec,31.5Mbits/sec,,
iperf3_result_20231019173954.txt,31.5Mbits/sec,52.7Mbits/sec,47.4Mbits/sec,44.3Mbits/sec,52.1Mbits/sec,41.7Mbits/sec,41.9Mbits/sec,52.4Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,251Mbits/sec,10.04
iperf3_result_20231019173944.txt,41.2Mbits/sec,52.6Mbits/sec,38.1Mbits/sec,51.6Mbits/sec,48.0Mbits/sec,40.7Mbits/sec,41.7Mbits/sec,51.7Mbits/sec,52.4Mbits/sec,41.9Mbits/sec,,
iperf3_result_20231019174352.txt,24.3Mbits/sec,37.5Mbits/sec,43.3Mbits/sec,53.2Mbits/sec,29.2Mbits/sec,40.1Mbits/sec,50.6Mbits/sec,50.6Mbits/sec,41.2Mbits/sec,41.9Mbits/sec,59.8Mbits/sec,10.18
iperf3_result_20231019174025.txt,47.2Mbits/sec,50.6Mbits/sec,43.8Mbits/sec,45.4Mbits/sec,38.6Mbits/sec,41.2Mbits/sec,41.8Mbits/sec,41.6Mbits/sec,41.7Mbits/sec,41.8Mbits/sec,96.2Mbits/sec,10.11
iperf3_result_20231019174219.txt,38.2Mbits/sec,46.4Mbits/sec,46.5Mbits/sec,41.1Mbits/sec,41.7Mbits/sec,52.1Mbits/sec,41.9Mbits/sec,52.4Mbits/sec,41.9Mbits/sec,52.4Mbits/sec,,
iperf3_result_20231019174423.txt,24.6Mbits/sec,49.5Mbits/sec,49.0Mbits/sec,47.5Mbits/sec,52.1Mbits/sec,41.8Mbits/sec,52.0Mbits/sec,41.8Mbits/sec,41.9Mbits/sec,51.8Mbits/sec,,
iperf3_result_20231019173832.txt,33.1Mbits/sec,56.8Mbits/sec,53.2Mbits/sec,52.4Mbits/sec,62.9Mbits/sec,62.9Mbits/sec,52.4Mbits/sec,73.4Mbits/sec,62.9Mbits/sec,62.9Mbits/sec,,
iperf3_result_20231019174813.txt,34.3Mbits/sec,46.9Mbits/sec,45.3Mbits/sec,41.7Mbits/sec,48.0Mbits/sec,40.7Mbits/sec,31.5Mbits/sec,21.0Mbits/sec,31.5Mbits/sec,31.5Mbits/sec,,
iperf3_result_20231019174740.txt,37.8Mbits/sec,58.4Mbits/sec,50.6Mbits/sec,41.9Mbits/sec,41.9Mbits/sec,31.5Mbits/sec,41.9Mbits/sec,31.5Mbits/sec,31.4Mbits/sec,31.5Mbits/sec,29.4Mbits/sec,10.36
iperf3_result_20231019174556.txt,12.8Mbits/sec,12.5Mbits/sec,12.5Mbits/sec,21.9Mbits/sec,20.9Mbits/sec,45.4Mbits/sec,41.9Mbits/sec,21.0Mbits/sec,10.5Mbits/sec,10.5Mbits/sec,41.9Mbits/sec,10.25
iperf3_result_20231019174525.txt,55.3Mbits/sec,47.4Mbits/sec,54.2Mbits/sec,38.0Mbits/sec,48.5Mbits/sec,39.1Mbits/sec,41.2Mbits/sec,52.1Mbits/sec,41.7Mbits/sec,52.4Mbits/sec,,
iperf3_result_20231019174240.txt,34.4Mbits/sec,51.6Mbits/sec,44.3Mbits/sec,45.9Mbits/sec,48.9Mbits/sec,40.7Mbits/sec,52.2Mbits/sec,41.6Mbits/sec,52.1Mbits/sec,41.7Mbits/sec,,
iperf3_result_20231019174056.txt,61.0Mbits/sec,49.5Mbits/sec,47.4Mbits/sec,39.6Mbits/sec,41.3Mbits/sec,52.4Mbits/sec,41.9Mbits/sec,52.4Mbits/sec,41.9Mbits/sec,52.4Mbits/sec,,
