file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019180438.txt,2.02MBytes,1.99MBytes,2.24MBytes,2.80MBytes,3.67MBytes,4.54MBytes,5.34MBytes,5.47MBytes,5.90MBytes,5.72MBytes
iperf3_result_20231019181256.txt,348KBytes,255KBytes,255KBytes,382KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019183737.txt,464KBytes,255KBytes,255KBytes,636KBytes,127KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019183911.txt,345KBytes,255KBytes,700KBytes,255KBytes,255KBytes,127KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019181041.txt,561KBytes,255KBytes,255KBytes,255KBytes,382KBytes,127KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019180407.txt,1.81MBytes,1.12MBytes,1.49MBytes,1.68MBytes,1.93MBytes,2.49MBytes,2.92MBytes,3.79MBytes,5.10MBytes,5.65MBytes
iperf3_result_20231019180611.txt,5.75MBytes,6.03MBytes,5.90MBytes,6.28MBytes,5.41MBytes,5.72MBytes,6.15MBytes,5.16MBytes,5.97MBytes,5.10MBytes
iperf3_result_20231019180836.txt,711KBytes,382KBytes,509KBytes,509KBytes,1018KBytes,1.24MBytes,318KBytes,636KBytes,636KBytes,318KBytes
iperf3_result_20231019181122.txt,576KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019183655.txt,469KBytes,127KBytes,255KBytes,255KBytes,573KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019181133.txt,474KBytes,198KBytes,297KBytes,339KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019180826.txt,673KBytes,382KBytes,509KBytes,509KBytes,509KBytes,1.24MBytes,509KBytes,509KBytes,509KBytes,255KBytes
iperf3_result_20231019180601.txt,5.17MBytes,5.59MBytes,5.84MBytes,5.72MBytes,5.97MBytes,5.59MBytes,5.59MBytes,5.65MBytes,6.34MBytes,5.47MBytes
iperf3_result_20231019181245.txt,438KBytes,226KBytes,226KBytes,297KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019183644.txt,458KBytes,255KBytes,255KBytes,255KBytes,2.67MBytes,573KBytes,573KBytes,573KBytes,0.00Bytes,573KBytes
iperf3_result_20231019181051.txt,576KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019183726.txt,472KBytes,127KBytes,255KBytes,764KBytes,573KBytes,191KBytes,191KBytes,382KBytes,191KBytes,191KBytes
iperf3_result_20231019183900.txt,472KBytes,255KBytes,509KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019180428.txt,6.21MBytes,5.47MBytes,5.90MBytes,6.15MBytes,5.47MBytes,5.72MBytes,5.65MBytes,5.47MBytes,5.59MBytes,6.28MBytes
iperf3_result_20231019183634.txt,469KBytes,127KBytes,255KBytes,255KBytes,636KBytes,127KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019181235.txt,404KBytes,331KBytes,221KBytes,356KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019184013.txt,489KBytes,573KBytes,255KBytes,127KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019181143.txt,523KBytes,255KBytes,127KBytes,382KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019180857.txt,703KBytes,509KBytes,382KBytes,509KBytes,954KBytes,382KBytes,573KBytes,382KBytes,573KBytes,382KBytes
iperf3_result_20231019180316.txt,3.31MBytes,3.17MBytes,4.04MBytes,4.60MBytes,5.03MBytes,5.72MBytes,6.03MBytes,5.78MBytes,5.84MBytes,5.84MBytes
iperf3_result_20231019181020.txt,588KBytes,509KBytes,509KBytes,700KBytes,954KBytes,382KBytes,636KBytes,445KBytes,445KBytes,445KBytes
iperf3_result_20231019183623.txt,370KBytes,255KBytes,255KBytes,255KBytes,700KBytes,255KBytes,255KBytes,127KBytes,255KBytes,255KBytes
iperf3_result_20231019183757.txt,354KBytes,255KBytes,255KBytes,636KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019180713.txt,5.50MBytes,6.46MBytes,5.03MBytes,6.34MBytes,5.72MBytes,5.47MBytes,5.47MBytes,6.03MBytes,5.97MBytes,5.34MBytes
iperf3_result_20231019183839.txt,457KBytes,226KBytes,803KBytes,1.43MBytes,382KBytes,0.00Bytes,382KBytes,382KBytes,382KBytes,0.00Bytes
iperf3_result_20231019180459.txt,6.38MBytes,5.78MBytes,5.72MBytes,5.47MBytes,6.28MBytes,5.65MBytes,5.78MBytes,5.84MBytes,5.28MBytes,6.15MBytes
iperf3_result_20231019183829.txt,362KBytes,255KBytes,255KBytes,573KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019180703.txt,773KBytes,1.06MBytes,1.62MBytes,1.99MBytes,2.36MBytes,2.98MBytes,3.67MBytes,4.72MBytes,5.65MBytes,6.09MBytes
iperf3_result_20231019180918.txt,649KBytes,573KBytes,382KBytes,509KBytes,1018KBytes,382KBytes,573KBytes,382KBytes,573KBytes,382KBytes
iperf3_result_20231019180529.txt,2.17MBytes,2.42MBytes,2.86MBytes,3.54MBytes,4.78MBytes,5.53MBytes,5.84MBytes,5.78MBytes,5.72MBytes,6.09MBytes
iperf3_result_20231019183747.txt,481KBytes,255KBytes,127KBytes,700KBytes,255KBytes,255KBytes,255KBytes,255KBytes,127KBytes,255KBytes
iperf3_result_20231019181030.txt,707KBytes,509KBytes,382KBytes,700KBytes,827KBytes,573KBytes,382KBytes,573KBytes,382KBytes,573KBytes
iperf3_result_20231019180448.txt,5.24MBytes,6.21MBytes,5.72MBytes,5.90MBytes,5.41MBytes,5.72MBytes,5.84MBytes,6.09MBytes,5.34MBytes,6.21MBytes
iperf3_result_20231019180847.txt,659KBytes,509KBytes,509KBytes,509KBytes,827KBytes,636KBytes,382KBytes,573KBytes,382KBytes,573KBytes
iperf3_result_20231019184003.txt,436KBytes,491KBytes,382KBytes,127KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019181153.txt,474KBytes,255KBytes,127KBytes,382KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019181225.txt,496KBytes,221KBytes,221KBytes,530KBytes,191KBytes,191KBytes,382KBytes,191KBytes,191KBytes,382KBytes
iperf3_result_20231019180305.txt,4.84MBytes,6.34MBytes,5.53MBytes,5.72MBytes,6.15MBytes,5.03MBytes,6.46MBytes,6.09MBytes,4.97MBytes,5.97MBytes
iperf3_result_20231019181214.txt,481KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019183952.txt,356KBytes,382KBytes,382KBytes,255KBytes,127KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019183602.txt,475KBytes,255KBytes,255KBytes,255KBytes,255KBytes,1.99MBytes,445KBytes,445KBytes,0.00Bytes,445KBytes
iperf3_result_20231019180928.txt,642KBytes,509KBytes,509KBytes,382KBytes,1.49MBytes,509KBytes,255KBytes,509KBytes,509KBytes,509KBytes
iperf3_result_20231019180519.txt,773KBytes,1.18MBytes,1.55MBytes,1.99MBytes,2.73MBytes,3.04MBytes,3.73MBytes,5.03MBytes,5.53MBytes,5.97MBytes
iperf3_result_20231019180652.txt,2.36MBytes,3.36MBytes,3.54MBytes,4.04MBytes,2.98MBytes,4.91MBytes,5.97MBytes,5.59MBytes,6.09MBytes,5.90MBytes
iperf3_result_20231019183818.txt,464KBytes,255KBytes,255KBytes,445KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019180336.txt,3.08MBytes,3.04MBytes,3.29MBytes,4.72MBytes,5.78MBytes,5.47MBytes,6.28MBytes,5.78MBytes,5.72MBytes,5.53MBytes
iperf3_result_20231019183613.txt,489KBytes,127KBytes,255KBytes,255KBytes,382KBytes,509KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019181010.txt,672KBytes,509KBytes,509KBytes,509KBytes,1018KBytes,382KBytes,573KBytes,382KBytes,573KBytes,382KBytes
iperf3_result_20231019180326.txt,3.07MBytes,3.11MBytes,3.23MBytes,4.16MBytes,4.97MBytes,5.65MBytes,5.65MBytes,5.97MBytes,5.47MBytes,6.15MBytes
iperf3_result_20231019183808.txt,362KBytes,255KBytes,255KBytes,636KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019180642.txt,837KBytes,1018KBytes,1.62MBytes,2.05MBytes,2.30MBytes,2.86MBytes,3.48MBytes,4.29MBytes,4.72MBytes,5.22MBytes
iperf3_result_20231019180939.txt,703KBytes,509KBytes,382KBytes,509KBytes,1.06MBytes,382KBytes,573KBytes,382KBytes,573KBytes,382KBytes
iperf3_result_20231019180509.txt,5.62MBytes,6.15MBytes,5.78MBytes,5.41MBytes,6.03MBytes,5.28MBytes,6.77MBytes,5.53MBytes,5.47MBytes,5.53MBytes
iperf3_result_20231019180723.txt,884KBytes,1.18MBytes,1.68MBytes,2.11MBytes,2.49MBytes,2.98MBytes,4.04MBytes,4.60MBytes,5.53MBytes,5.97MBytes
iperf3_result_20231019183942.txt,467KBytes,255KBytes,573KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,127KBytes
iperf3_result_20231019180907.txt,703KBytes,509KBytes,382KBytes,509KBytes,1018KBytes,573KBytes,382KBytes,573KBytes,382KBytes,573KBytes
iperf3_result_20231019180734.txt,837KBytes,1.12MBytes,1.62MBytes,1.93MBytes,2.55MBytes,2.92MBytes,3.98MBytes,4.85MBytes,5.53MBytes,5.72MBytes
iperf3_result_20231019181204.txt,549KBytes,255KBytes,255KBytes,255KBytes,382KBytes,127KBytes,318KBytes,255KBytes,318KBytes,127KBytes
iperf3_result_20231019180357.txt,5.99MBytes,6.21MBytes,5.34MBytes,5.41MBytes,6.28MBytes,5.47MBytes,5.47MBytes,5.78MBytes,5.65MBytes,5.65MBytes
iperf3_result_20231019181101.txt,544KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019183716.txt,467KBytes,255KBytes,127KBytes,445KBytes,764KBytes,191KBytes,382KBytes,191KBytes,191KBytes,382KBytes
iperf3_result_20231019183931.txt,351KBytes,255KBytes,636KBytes,127KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019180550.txt,6.22MBytes,6.03MBytes,5.65MBytes,5.53MBytes,5.59MBytes,5.59MBytes,5.65MBytes,5.72MBytes,6.15MBytes,5.16MBytes
iperf3_result_20231019180949.txt,734KBytes,445KBytes,509KBytes,382KBytes,1.12MBytes,382KBytes,573KBytes,382KBytes,573KBytes,382KBytes
iperf3_result_20231019180632.txt,5.88MBytes,6.28MBytes,5.16MBytes,5.65MBytes,6.34MBytes,5.47MBytes,6.09MBytes,5.34MBytes,5.41MBytes,6.77MBytes
iperf3_result_20231019183850.txt,362KBytes,255KBytes,509KBytes,318KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019180418.txt,836KBytes,891KBytes,1.18MBytes,1.74MBytes,1.24MBytes,1.18MBytes,1.55MBytes,1.68MBytes,1.74MBytes,1.24MBytes
iperf3_result_20231019180744.txt,1.93MBytes,2.17MBytes,2.49MBytes,3.36MBytes,3.36MBytes,5.03MBytes,5.41MBytes,6.03MBytes,5.72MBytes,5.78MBytes
iperf3_result_20231019180816.txt,655KBytes,573KBytes,382KBytes,509KBytes,509KBytes,954KBytes,573KBytes,382KBytes,382KBytes,573KBytes
iperf3_result_20231019180755.txt,4.46MBytes,4.47MBytes,5.84MBytes,5.47MBytes,5.97MBytes,5.84MBytes,5.41MBytes,5.78MBytes,6.09MBytes,5.78MBytes
iperf3_result_20231019181112.txt,525KBytes,255KBytes,255KBytes,255KBytes,382KBytes,255KBytes,255KBytes,255KBytes,127KBytes,255KBytes
iperf3_result_20231019183705.txt,485KBytes,127KBytes,255KBytes,255KBytes,573KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019180622.txt,1.99MBytes,2.24MBytes,3.11MBytes,3.54MBytes,4.35MBytes,3.67MBytes,5.72MBytes,6.03MBytes,5.97MBytes,5.34MBytes
iperf3_result_20231019180805.txt,2.29MBytes,2.73MBytes,3.29MBytes,3.79MBytes,4.66MBytes,2.86MBytes,764KBytes,382KBytes,764KBytes,764KBytes
iperf3_result_20231019180959.txt,608KBytes,509KBytes,509KBytes,509KBytes,891KBytes,382KBytes,573KBytes,382KBytes,573KBytes,382KBytes
iperf3_result_20231019180540.txt,6.15MBytes,5.59MBytes,5.65MBytes,5.78MBytes,6.03MBytes,5.65MBytes,5.53MBytes,5.59MBytes,5.72MBytes,5.59MBytes
iperf3_result_20231019183921.txt,351KBytes,255KBytes,573KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes,255KBytes
iperf3_result_20231019180347.txt,2.02MBytes,1.86MBytes,2.30MBytes,2.92MBytes,3.85MBytes,4.23MBytes,5.65MBytes,5.34MBytes,5.78MBytes,5.72MBytes
