file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019180821.txt,5.52MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.46MBytes,5.34MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes
iperf3_result_20231019181055.txt,2.81MBytes,2.77MBytes,2.79MBytes,2.77MBytes,2.77MBytes,2.78MBytes,3.70MBytes,2.78MBytes,2.79MBytes,2.76MBytes
iperf3_result_20231019181137.txt,2.81MBytes,2.77MBytes,2.79MBytes,2.77MBytes,2.77MBytes,2.78MBytes,3.73MBytes,2.76MBytes,2.77MBytes,2.78MBytes
iperf3_result_20231019180943.txt,5.52MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.50MBytes,5.33MBytes,5.32MBytes,5.32MBytes,5.32MBytes
iperf3_result_20231019180953.txt,5.52MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.48MBytes,5.35MBytes,5.32MBytes,5.32MBytes,5.32MBytes
iperf3_result_20231019181126.txt,2.81MBytes,2.77MBytes,2.79MBytes,2.77MBytes,2.77MBytes,2.78MBytes,3.71MBytes,2.76MBytes,2.78MBytes,2.79MBytes
iperf3_result_20231019181045.txt,2.81MBytes,2.77MBytes,2.79MBytes,2.77MBytes,2.77MBytes,2.78MBytes,3.71MBytes,2.79MBytes,2.78MBytes,2.76MBytes
iperf3_result_20231019180831.txt,5.52MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.44MBytes,5.42MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes
iperf3_result_20231019180842.txt,5.34MBytes,5.25MBytes,5.26MBytes,5.24MBytes,5.26MBytes,5.48MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes
iperf3_result_20231019181157.txt,2.81MBytes,2.77MBytes,2.79MBytes,2.77MBytes,2.77MBytes,2.78MBytes,4.04MBytes,2.79MBytes,2.76MBytes,2.76MBytes
iperf3_result_20231019180923.txt,5.52MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.48MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes
iperf3_result_20231019181208.txt,2.81MBytes,2.77MBytes,2.79MBytes,2.77MBytes,2.77MBytes,2.78MBytes,3.80MBytes,2.78MBytes,2.79MBytes,2.76MBytes
iperf3_result_20231019181035.txt,5.52MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.37MBytes,4.29MBytes,2.77MBytes,2.79MBytes,2.78MBytes
iperf3_result_20231019181024.txt,5.51MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.40MBytes,5.40MBytes,5.32MBytes,5.32MBytes,5.32MBytes
iperf3_result_20231019181218.txt,2.81MBytes,2.77MBytes,2.79MBytes,2.77MBytes,2.77MBytes,2.78MBytes,3.79MBytes,2.79MBytes,2.77MBytes,2.76MBytes
iperf3_result_20231019180933.txt,5.49MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.53MBytes,5.33MBytes,5.32MBytes,5.32MBytes,5.32MBytes
iperf3_result_20231019181147.txt,2.81MBytes,2.77MBytes,2.79MBytes,2.77MBytes,2.77MBytes,2.78MBytes,3.78MBytes,2.78MBytes,2.79MBytes,2.76MBytes
iperf3_result_20231019180852.txt,5.51MBytes,5.32MBytes,5.33MBytes,5.32MBytes,5.32MBytes,5.50MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes
iperf3_result_20231019181228.txt,2.81MBytes,2.77MBytes,2.79MBytes,2.77MBytes,2.77MBytes,2.78MBytes,3.78MBytes,2.78MBytes,2.79MBytes,2.76MBytes
iperf3_result_20231019180902.txt,5.48MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.49MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes
iperf3_result_20231019181014.txt,5.53MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.41MBytes,5.40MBytes,5.32MBytes,5.32MBytes,5.32MBytes
iperf3_result_20231019181004.txt,5.53MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.41MBytes,5.38MBytes,5.32MBytes,5.32MBytes,5.32MBytes
iperf3_result_20231019181239.txt,2.81MBytes,2.77MBytes,2.79MBytes,2.77MBytes,2.77MBytes,2.78MBytes,3.77MBytes,2.77MBytes,2.79MBytes,2.78MBytes
iperf3_result_20231019180912.txt,5.51MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.48MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes
iperf3_result_20231019181300.txt,2.81MBytes,2.77MBytes,2.79MBytes,2.77MBytes,2.77MBytes,2.78MBytes,3.65MBytes,2.77MBytes,2.76MBytes,2.78MBytes
iperf3_result_20231019181116.txt,2.81MBytes,2.77MBytes,2.79MBytes,2.77MBytes,2.77MBytes,2.78MBytes,3.83MBytes,2.79MBytes,2.77MBytes,2.76MBytes
iperf3_result_20231019181249.txt,2.81MBytes,2.77MBytes,2.79MBytes,2.77MBytes,2.77MBytes,2.78MBytes,3.86MBytes,2.76MBytes,2.77MBytes,2.78MBytes
iperf3_result_20231019181106.txt,2.81MBytes,2.77MBytes,2.78MBytes,2.77MBytes,2.77MBytes,2.78MBytes,3.75MBytes,2.76MBytes,2.77MBytes,2.79MBytes
iperf3_result_20231019180811.txt,5.23MBytes,5.13MBytes,5.13MBytes,5.11MBytes,5.34MBytes,5.34MBytes,5.32MBytes,5.32MBytes,5.32MBytes,5.32MBytes
