file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019181256.txt,2.84MBytes,2.76MBytes,2.77MBytes,3.60MBytes,2.78MBytes,2.78MBytes,2.76MBytes,2.78MBytes,2.78MBytes,2.78MBytes
iperf3_result_20231019181041.txt,2.82MBytes,2.76MBytes,2.79MBytes,3.61MBytes,2.77MBytes,2.76MBytes,2.78MBytes,2.78MBytes,2.77MBytes,2.81MBytes
iperf3_result_20231019183720.txt,2.93MBytes,2.77MBytes,2.77MBytes,2.77MBytes,2.77MBytes,2.79MBytes,2.81MBytes,2.77MBytes,2.77MBytes,2.77MBytes
iperf3_result_20231019183913.txt,2.81MBytes,2.77MBytes,2.79MBytes,2.77MBytes,2.76MBytes,2.78MBytes,2.79MBytes,2.80MBytes,2.78MBytes,2.84MBytes
iperf3_result_20231019181122.txt,2.82MBytes,2.76MBytes,2.79MBytes,3.57MBytes,2.78MBytes,2.77MBytes,2.77MBytes,2.78MBytes,2.78MBytes,2.79MBytes
iperf3_result_20231019183523.txt,3.19MBytes,2.90MBytes,2.90MBytes,2.89MBytes,2.90MBytes,2.90MBytes,2.89MBytes,2.90MBytes,2.89MBytes,2.90MBytes
iperf3_result_20231019181133.txt,2.81MBytes,2.77MBytes,2.79MBytes,3.63MBytes,2.78MBytes,2.76MBytes,2.77MBytes,2.78MBytes,2.78MBytes,2.76MBytes
iperf3_result_20231019181245.txt,2.82MBytes,2.76MBytes,2.79MBytes,3.82MBytes,2.76MBytes,2.78MBytes,2.78MBytes,2.77MBytes,2.77MBytes,2.78MBytes
iperf3_result_20231019181051.txt,2.82MBytes,2.76MBytes,2.79MBytes,3.63MBytes,2.78MBytes,2.76MBytes,2.78MBytes,2.78MBytes,2.77MBytes,2.80MBytes
iperf3_result_20231019183608.txt,2.97MBytes,2.76MBytes,2.73MBytes,2.73MBytes,2.79MBytes,2.81MBytes,2.77MBytes,2.78MBytes,2.77MBytes,2.76MBytes
iperf3_result_20231019181235.txt,2.82MBytes,2.76MBytes,2.79MBytes,3.68MBytes,2.78MBytes,2.76MBytes,2.78MBytes,2.78MBytes,2.78MBytes,2.76MBytes
iperf3_result_20231019181143.txt,2.81MBytes,2.77MBytes,2.79MBytes,3.61MBytes,2.76MBytes,2.78MBytes,2.78MBytes,2.77MBytes,2.76MBytes,2.79MBytes
iperf3_result_20231019183812.txt,2.82MBytes,2.77MBytes,2.79MBytes,2.77MBytes,2.76MBytes,2.77MBytes,2.84MBytes,2.77MBytes,2.76MBytes,2.86MBytes
iperf3_result_20231019183801.txt,2.94MBytes,2.77MBytes,2.77MBytes,2.77MBytes,2.77MBytes,2.77MBytes,2.82MBytes,2.77MBytes,2.77MBytes,2.77MBytes
iperf3_result_20231019183751.txt,2.93MBytes,2.77MBytes,2.78MBytes,2.77MBytes,2.77MBytes,2.78MBytes,2.82MBytes,2.78MBytes,2.77MBytes,2.78MBytes
