file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.24
iperf3_result_20231019155013.txt,216KBytes,102KBytes,29.7KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,177KBytes,1.41KBytes,0.00Bytes,10.81,
iperf3_result_20231019154709.txt,318KBytes,157KBytes,269KBytes,103KBytes,180KBytes,120KBytes,105KBytes,19.8KBytes,0.00Bytes,67.9KBytes,12.7KBytes,10.29,
iperf3_result_20231019154720.txt,389KBytes,240KBytes,0.00Bytes,395KBytes,2.83KBytes,1.41KBytes,1.41KBytes,4.24KBytes,1.41KBytes,4.24KBytes,0.00Bytes,10.28,
iperf3_result_20231019154647.txt,1.36MBytes,1.05MBytes,940KBytes,744KBytes,0.00Bytes,993KBytes,847KBytes,894KBytes,1.13MBytes,554KBytes,0.00Bytes,10.57,
iperf3_result_20231019154929.txt,322KBytes,208KBytes,106KBytes,0.00Bytes,0.00Bytes,273KBytes,0.00Bytes,1.41KBytes,4.24KBytes,0.00Bytes,0.00Bytes,10.44,
iperf3_result_20231019154530.txt,163KBytes,1.15MBytes,1.16MBytes,874KBytes,1.04MBytes,1.17MBytes,697KBytes,249KBytes,0.00Bytes,1.70MBytes,5.66KBytes,10.16,
iperf3_result_20231019154518.txt,42.4KBytes,56.6KBytes,337KBytes,266KBytes,266KBytes,62.2KBytes,66.5KBytes,4.24KBytes,4.24KBytes,14.1KBytes,5.66KBytes,10.16,
iperf3_result_20231019155002.txt,744KBytes,362KBytes,122KBytes,0.00Bytes,0.00Bytes,501KBytes,4.24KBytes,2.83KBytes,0.00Bytes,1.41KBytes,0.00Bytes,10.39,
iperf3_result_20231019154730.txt,386KBytes,150KBytes,0.00Bytes,0.00Bytes,339KBytes,11.3KBytes,14.1KBytes,1.41KBytes,9.90KBytes,11.3KBytes,0.00Bytes,10.37,
iperf3_result_20231019155413.txt,488KBytes,885KBytes,974KBytes,1.05MBytes,1.33MBytes,1.33MBytes,1.70MBytes,469KBytes,626KBytes,11.3KBytes,5.66KBytes,10.23,
