file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019155013.txt,9.03MBytes,7.65MBytes,4.40MBytes,4.38MBytes,4.33MBytes,4.31MBytes,4.34MBytes,4.40MBytes,4.46MBytes,4.24MBytes
iperf3_result_20231019154907.txt,11.7MBytes,12.1MBytes,12.1MBytes,11.6MBytes,11.8MBytes,12.0MBytes,12.2MBytes,11.5MBytes,12.3MBytes,11.9MBytes
iperf3_result_20231019160256.txt,6.73MBytes,10.0MBytes,9.20MBytes,7.87MBytes,7.14MBytes,6.04MBytes,5.86MBytes,6.07MBytes,6.23MBytes,5.91MBytes
iperf3_result_20231019160134.txt,8.68MBytes,8.85MBytes,4.96MBytes,9.35MBytes,16.9MBytes,11.9MBytes,8.58MBytes,9.72MBytes,10.2MBytes,10.3MBytes
iperf3_result_20231019155831.txt,12.1MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.8MBytes,11.9MBytes,11.8MBytes
iperf3_result_20231019160119.txt,8.66MBytes,9.01MBytes,7.46MBytes,10.9MBytes,8.60MBytes,9.99MBytes,9.11MBytes,22.3MBytes,9.38MBytes,6.09MBytes
iperf3_result_20231019155820.txt,9.67MBytes,9.49MBytes,10.6MBytes,11.3MBytes,11.4MBytes,10.8MBytes,10.0MBytes,12.1MBytes,9.52MBytes,9.59MBytes
iperf3_result_20231019160455.txt,7.01MBytes,7.14MBytes,5.92MBytes,5.69MBytes,5.80MBytes,5.90MBytes,6.09MBytes,5.97MBytes,5.86MBytes,8.95MBytes
iperf3_result_20231019154929.txt,11.7MBytes,12.3MBytes,10.4MBytes,13.2MBytes,12.2MBytes,11.9MBytes,11.8MBytes,12.0MBytes,11.8MBytes,12.1MBytes
iperf3_result_20231019155002.txt,12.0MBytes,11.9MBytes,11.6MBytes,12.3MBytes,11.9MBytes,11.6MBytes,12.0MBytes,11.8MBytes,12.1MBytes,9.00MBytes
iperf3_result_20231019160443.txt,12.1MBytes,11.8MBytes,6.39MBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,90.5KBytes
iperf3_result_20231019160245.txt,11.4MBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,1.77MBytes,0.00Bytes
iperf3_result_20231019155703.txt,1.30MBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,38.2KBytes,1.93MBytes,601KBytes,2.85MBytes
iperf3_result_20231019155515.txt,8.91MBytes,3.66MBytes,2.92MBytes,3.59MBytes,3.50MBytes,3.55MBytes,3.65MBytes,3.61MBytes,4.29MBytes,4.18MBytes
iperf3_result_20231019155715.txt,9.47MBytes,3.13MBytes,2.76MBytes,3.31MBytes,3.46MBytes,3.37MBytes,3.52MBytes,3.39MBytes,3.30MBytes,3.08MBytes
iperf3_result_20231019160433.txt,5.55MBytes,5.83MBytes,5.45MBytes,3.84MBytes,5.35MBytes,3.56MBytes,4.47MBytes,5.31MBytes,5.44MBytes,5.37MBytes
iperf3_result_20231019155648.txt,8.59MBytes,5.95MBytes,3.30MBytes,3.51MBytes,3.47MBytes,3.39MBytes,3.67MBytes,3.16MBytes,634KBytes,3.43MBytes
iperf3_result_20231019155728.txt,6.12MBytes,7.88MBytes,12.1MBytes,11.4MBytes,11.3MBytes,11.3MBytes,11.2MBytes,11.2MBytes,11.3MBytes,10.8MBytes
iperf3_result_20231019160234.txt,12.0MBytes,11.6MBytes,12.2MBytes,11.6MBytes,11.8MBytes,12.0MBytes,11.9MBytes,11.9MBytes,12.0MBytes,11.9MBytes
iperf3_result_20231019160224.txt,4.21MBytes,3.54MBytes,4.07MBytes,4.33MBytes,4.37MBytes,4.24MBytes,4.42MBytes,3.76MBytes,4.29MBytes,4.33MBytes
iperf3_result_20231019155738.txt,3.86MBytes,3.58MBytes,2.19MBytes,3.93MBytes,2.52MBytes,3.55MBytes,2.95MBytes,3.22MBytes,3.15MBytes,3.14MBytes
iperf3_result_20231019160147.txt,8.55MBytes,9.02MBytes,10.2MBytes,9.68MBytes,20.5MBytes,8.26MBytes,8.79MBytes,9.92MBytes,9.57MBytes,10.2MBytes
iperf3_result_20231019160420.txt,4.37MBytes,2.26MBytes,789KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes
iperf3_result_20231019154829.txt,11.6MBytes,12.3MBytes,11.8MBytes,12.0MBytes,12.0MBytes,10.7MBytes,12.0MBytes,13.0MBytes,11.8MBytes,11.8MBytes
iperf3_result_20231019155504.txt,12.0MBytes,9.63MBytes,10.5MBytes,10.8MBytes,11.5MBytes,12.8MBytes,11.8MBytes,12.6MBytes,11.3MBytes,12.1MBytes
iperf3_result_20231019154951.txt,12.1MBytes,11.7MBytes,11.6MBytes,12.4MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.4MBytes,12.5MBytes,11.8MBytes
iperf3_result_20231019160410.txt,6.23MBytes,7.31MBytes,7.02MBytes,7.06MBytes,8.87MBytes,6.55MBytes,7.83MBytes,7.00MBytes,6.62MBytes,8.39MBytes
iperf3_result_20231019155442.txt,3.22MBytes,1.68MBytes,3.05MBytes,1.97MBytes,2.16MBytes,2.25MBytes,2.21MBytes,2.08MBytes,3.23MBytes,3.75MBytes
iperf3_result_20231019160349.txt,10.7MBytes,10.2MBytes,10.9MBytes,11.2MBytes,11.5MBytes,11.0MBytes,10.8MBytes,12.0MBytes,13.5MBytes,13.0MBytes
iperf3_result_20231019155527.txt,8.18MBytes,488KBytes,451KBytes,1.02MBytes,1.14MBytes,1.37MBytes,1.66MBytes,2.46MBytes,979KBytes,1.17MBytes
iperf3_result_20231019155453.txt,8.66MBytes,9.47MBytes,5.17MBytes,5.44MBytes,4.23MBytes,4.56MBytes,4.39MBytes,4.46MBytes,4.41MBytes,4.16MBytes
iperf3_result_20231019160359.txt,12.1MBytes,11.9MBytes,11.5MBytes,11.4MBytes,11.3MBytes,11.4MBytes,11.4MBytes,11.4MBytes,11.1MBytes,12.0MBytes
iperf3_result_20231019160212.txt,2.27MBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,235KBytes
iperf3_result_20231019160158.txt,8.56MBytes,8.09MBytes,4.99MBytes,4.86MBytes,8.19MBytes,11.5MBytes,10.1MBytes,3.01MBytes,3.20MBytes,2.57MBytes
iperf3_result_20231019154940.txt,12.1MBytes,11.9MBytes,12.0MBytes,11.7MBytes,12.2MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.7MBytes,12.2MBytes
iperf3_result_20231019155542.txt,7.43MBytes,10.0MBytes,10.3MBytes,11.4MBytes,12.9MBytes,12.7MBytes,9.26MBytes,10.3MBytes,9.71MBytes,10.4MBytes
iperf3_result_20231019155608.txt,5.11MBytes,3.66MBytes,2.27MBytes,2.60MBytes,2.99MBytes,2.86MBytes,4.00MBytes,3.52MBytes,3.12MBytes,3.45MBytes
iperf3_result_20231019155620.txt,8.64MBytes,8.93MBytes,10.3MBytes,10.3MBytes,10.3MBytes,9.86MBytes,8.38MBytes,8.36MBytes,9.27MBytes,10.1MBytes
iperf3_result_20231019155807.txt,3.86MBytes,3.55MBytes,1.44MBytes,1.47MBytes,905KBytes,1.10MBytes,980KBytes,1.34MBytes,1.59MBytes,1.50MBytes
iperf3_result_20231019160328.txt,12.0MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.7MBytes,12.1MBytes,11.9MBytes,11.5MBytes,12.1MBytes,12.0MBytes
iperf3_result_20231019155555.txt,7.17MBytes,6.82MBytes,9.92MBytes,8.47MBytes,10.4MBytes,12.3MBytes,12.8MBytes,12.9MBytes,12.4MBytes,9.44MBytes
