file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.05,11.00-11.06,11.00-11.26,11.00-11.16,11.00-11.13,11.00-11.01,11.00-11.07,11.00-11.03,11.00-11.17,11.00-11.04,11.00-11.51,11.00-11.36,11.00-11.47,11.00-11.23,11.00-11.02,11.00-11.09
iperf3_result_20231019182818.txt,4.88MBytes,5.79MBytes,6.01MBytes,6.06MBytes,6.20MBytes,6.04MBytes,6.34MBytes,6.39MBytes,6.51MBytes,6.50MBytes,6.35MBytes,10.96,,,,,,,,,,,,,,,,
iperf3_result_20231019182401.txt,7.49MBytes,11.0MBytes,10.6MBytes,10.4MBytes,11.0MBytes,11.3MBytes,10.6MBytes,11.3MBytes,11.1MBytes,11.1MBytes,11.4MBytes,>= 11.00,,,,,,,,,,,,,,,,
iperf3_result_20231019182616.txt,4.43MBytes,5.44MBytes,5.68MBytes,5.60MBytes,5.21MBytes,5.64MBytes,5.57MBytes,5.94MBytes,6.37MBytes,5.99MBytes,6.02MBytes,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019183126.txt,4.69MBytes,5.33MBytes,5.65MBytes,5.80MBytes,5.67MBytes,4.60MBytes,5.91MBytes,6.23MBytes,5.80MBytes,6.22MBytes,6.04MBytes,10.97,,,,,,,,,,,,,,,,
iperf3_result_20231019183456.txt,6.20MBytes,6.44MBytes,6.41MBytes,6.28MBytes,6.42MBytes,4.50MBytes,6.34MBytes,6.17MBytes,5.95MBytes,6.25MBytes,5.77MBytes,>= 11.00,392KBytes,,,,,,,,,,,,,,,
iperf3_result_20231019183244.txt,5.25MBytes,6.00MBytes,5.74MBytes,5.92MBytes,5.92MBytes,5.67MBytes,5.85MBytes,5.97MBytes,6.07MBytes,5.99MBytes,6.13MBytes,10.98,,,,,,,,,,,,,,,,
iperf3_result_20231019183053.txt,4.61MBytes,5.46MBytes,5.86MBytes,5.98MBytes,5.72MBytes,5.71MBytes,5.82MBytes,5.18MBytes,3.92MBytes,5.84MBytes,5.65MBytes,>= 11.00,,399KBytes,,,,,,,,,,,,,,
iperf3_result_20231019183721.txt,5.97MBytes,6.44MBytes,6.13MBytes,6.21MBytes,6.25MBytes,6.12MBytes,6.21MBytes,6.12MBytes,5.88MBytes,6.35MBytes,5.26MBytes,>= 11.00,,,820KBytes,,,,,,,,,,,,,
iperf3_result_20231019182946.txt,4.85MBytes,5.79MBytes,5.86MBytes,6.02MBytes,6.20MBytes,6.14MBytes,5.97MBytes,6.06MBytes,6.06MBytes,5.98MBytes,6.09MBytes,>= 11.00,,,,,,,,,,,,,,,,
iperf3_result_20231019183137.txt,4.76MBytes,5.57MBytes,5.20MBytes,5.46MBytes,5.44MBytes,6.15MBytes,6.22MBytes,4.20MBytes,2.35MBytes,2.47MBytes,6.16MBytes,>= 11.00,,,,,,,,,,,,,,,,
