file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019144724.txt,8.24MBytes,6.13MBytes,6.25MBytes,6.25MBytes,5.00MBytes,5.00MBytes,6.25MBytes,5.00MBytes,5.00MBytes,5.00MBytes
iperf3_result_20231019150037.txt,4.40MBytes,4.41MBytes,3.57MBytes,3.75MBytes,2.50MBytes,5.00MBytes,3.75MBytes,5.00MBytes,3.75MBytes,5.00MBytes
iperf3_result_20231019144651.txt,4.00MBytes,5.00MBytes,8.62MBytes,8.75MBytes,8.75MBytes,8.75MBytes,8.75MBytes,7.50MBytes,6.25MBytes,7.50MBytes
iperf3_result_20231019145229.txt,5.13MBytes,4.91MBytes,6.09MBytes,5.00MBytes,3.75MBytes,5.00MBytes,3.75MBytes,3.75MBytes,5.00MBytes,3.75MBytes
iperf3_result_20231019150342.txt,6.55MBytes,4.82MBytes,3.75MBytes,3.75MBytes,3.75MBytes,5.00MBytes,3.75MBytes,3.75MBytes,3.75MBytes,5.00MBytes
iperf3_result_20231019144901.txt,6.88MBytes,3.62MBytes,3.75MBytes,3.75MBytes,5.00MBytes,3.75MBytes,3.75MBytes,5.00MBytes,3.75MBytes,5.00MBytes
iperf3_result_20231019150009.txt,1.24MBytes,1.80MBytes,1.18MBytes,2.05MBytes,2.67MBytes,3.18MBytes,3.62MBytes,2.50MBytes,3.75MBytes,11.2MBytes
iperf3_result_20231019145404.txt,4.84MBytes,8.66MBytes,10.0MBytes,10.0MBytes,10.0MBytes,10.0MBytes,10.0MBytes,8.75MBytes,11.2MBytes,8.75MBytes
iperf3_result_20231019145558.txt,10.4MBytes,11.1MBytes,7.50MBytes,10.0MBytes,8.75MBytes,11.2MBytes,10.0MBytes,10.0MBytes,11.2MBytes,10.0MBytes
iperf3_result_20231019145955.txt,382KBytes,573KBytes,2.67MBytes,3.54MBytes,2.24MBytes,3.79MBytes,3.58MBytes,1.25MBytes,1.25MBytes,0.00Bytes
iperf3_result_20231019145010.txt,6.99MBytes,4.88MBytes,3.75MBytes,3.75MBytes,5.00MBytes,3.75MBytes,5.00MBytes,5.00MBytes,3.75MBytes,3.75MBytes
iperf3_result_20231019150353.txt,8.12MBytes,3.75MBytes,5.00MBytes,5.00MBytes,3.75MBytes,3.75MBytes,5.00MBytes,2.50MBytes,3.75MBytes,5.00MBytes
iperf3_result_20231019145548.txt,11.8MBytes,8.75MBytes,7.50MBytes,10.0MBytes,8.75MBytes,10.0MBytes,7.50MBytes,8.75MBytes,8.75MBytes,10.0MBytes
iperf3_result_20231019144736.txt,7.72MBytes,7.28MBytes,5.00MBytes,6.25MBytes,6.25MBytes,5.00MBytes,5.00MBytes,5.00MBytes,5.00MBytes,5.00MBytes
