file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.18,11.00-11.04,11.00-11.00,11.00-11.05,11.00-11.22,11.00-11.02,11.00-11.07,11.00-11.24,11.00-11.12,11.00-11.10,11.00-12.00,12.00-12.54,11.00-11.17,11.00-11.77,11.00-11.01,11.00-11.15,11.00-11.11,11.00-11.13,11.00-11.14,11.00-11.08,11.00-11.21,11.00-11.03,11.00-11.16,11.00-11.23,11.00-11.20,11.00-11.09,11.00-11.48,11.00-11.06,11.00-11.19,11.00-11.26,11.00-11.32,11.00-11.34,11.00-11.52
iperf3_result_20231019153847.txt,5.48MBytes,5.56MBytes,5.49MBytes,5.71MBytes,6.11MBytes,6.04MBytes,5.94MBytes,6.16MBytes,4.94MBytes,5.12MBytes,5.03MBytes,>= 11.00,938KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154457.txt,5.66MBytes,6.03MBytes,4.53MBytes,5.99MBytes,5.93MBytes,5.80MBytes,5.89MBytes,5.97MBytes,5.82MBytes,5.77MBytes,5.88MBytes,>= 11.00,,288KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153728.txt,5.15MBytes,5.08MBytes,5.21MBytes,5.71MBytes,5.48MBytes,6.05MBytes,6.10MBytes,6.16MBytes,6.10MBytes,5.62MBytes,6.09MBytes,>= 11.00,,,1.41KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154913.txt,5.02MBytes,5.25MBytes,5.79MBytes,5.33MBytes,5.86MBytes,6.14MBytes,5.69MBytes,5.34MBytes,5.92MBytes,5.91MBytes,5.91MBytes,>= 11.00,,,,346KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154244.txt,5.17MBytes,5.74MBytes,5.96MBytes,5.81MBytes,5.11MBytes,6.07MBytes,5.88MBytes,4.25MBytes,5.95MBytes,5.78MBytes,5.75MBytes,>= 11.00,,356KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019155212.txt,10.1MBytes,10.6MBytes,11.5MBytes,10.9MBytes,10.6MBytes,10.8MBytes,11.3MBytes,10.1MBytes,11.1MBytes,10.5MBytes,10.2MBytes,>= 11.00,,,,,1.70MBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154508.txt,5.26MBytes,6.06MBytes,6.14MBytes,5.61MBytes,5.84MBytes,5.60MBytes,5.28MBytes,5.69MBytes,5.52MBytes,5.97MBytes,5.81MBytes,>= 11.00,,,,307KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154722.txt,5.58MBytes,5.70MBytes,6.00MBytes,5.99MBytes,5.69MBytes,5.97MBytes,5.71MBytes,5.80MBytes,5.01MBytes,5.97MBytes,5.86MBytes,>= 11.00,,,,,,127KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153931.txt,5.42MBytes,5.80MBytes,5.32MBytes,5.64MBytes,4.84MBytes,5.12MBytes,5.65MBytes,5.71MBytes,5.74MBytes,5.79MBytes,5.69MBytes,>= 11.00,,,,,,,464KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153716.txt,5.37MBytes,5.90MBytes,5.71MBytes,5.61MBytes,5.66MBytes,5.57MBytes,5.36MBytes,5.65MBytes,5.00MBytes,5.44MBytes,6.02MBytes,>= 11.00,,198KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
