file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019174036.txt,5.05MBytes,4.55MBytes,5.15MBytes,5.39MBytes,5.28MBytes,5.34MBytes,5.77MBytes,5.11MBytes,6.00MBytes,5.77MBytes
iperf3_result_20231019173822.txt,3.54MBytes,5.70MBytes,6.87MBytes,7.17MBytes,7.78MBytes,7.96MBytes,7.59MBytes,8.01MBytes,6.09MBytes,7.24MBytes
iperf3_result_20231019174433.txt,3.42MBytes,4.99MBytes,5.44MBytes,5.54MBytes,5.26MBytes,5.43MBytes,5.53MBytes,5.34MBytes,5.65MBytes,6.21MBytes
iperf3_result_20231019174341.txt,3.69MBytes,3.90MBytes,3.87MBytes,4.79MBytes,4.84MBytes,5.22MBytes,5.53MBytes,5.16MBytes,5.89MBytes,5.94MBytes
iperf3_result_20231019174802.txt,1.59MBytes,1.47MBytes,1.88MBytes,1.42MBytes,1.99MBytes,1.58MBytes,1.79MBytes,1.68MBytes,3.21MBytes,3.50MBytes
iperf3_result_20231019174751.txt,810KBytes,4.49MBytes,5.03MBytes,4.60MBytes,4.60MBytes,5.08MBytes,4.58MBytes,4.14MBytes,3.33MBytes,1.97MBytes
iperf3_result_20231019174209.txt,2.92MBytes,4.02MBytes,4.78MBytes,4.42MBytes,5.33MBytes,5.16MBytes,5.47MBytes,5.59MBytes,5.72MBytes,5.47MBytes
iperf3_result_20231019174545.txt,2.88MBytes,4.95MBytes,5.29MBytes,5.51MBytes,5.78MBytes,2.42MBytes,2.80MBytes,2.42MBytes,1.93MBytes,3.42MBytes
iperf3_result_20231019173954.txt,2.98MBytes,5.08MBytes,5.32MBytes,5.21MBytes,5.54MBytes,5.65MBytes,4.16MBytes,5.79MBytes,6.07MBytes,5.24MBytes
iperf3_result_20231019173944.txt,3.58MBytes,5.26MBytes,5.05MBytes,5.45MBytes,5.42MBytes,4.52MBytes,5.72MBytes,5.52MBytes,6.16MBytes,5.55MBytes
iperf3_result_20231019174352.txt,2.71MBytes,3.98MBytes,5.09MBytes,4.98MBytes,4.01MBytes,4.76MBytes,5.53MBytes,5.84MBytes,4.62MBytes,5.76MBytes
iperf3_result_20231019174025.txt,4.45MBytes,4.85MBytes,5.34MBytes,4.94MBytes,4.23MBytes,5.43MBytes,4.89MBytes,4.92MBytes,5.19MBytes,5.00MBytes
iperf3_result_20231019174219.txt,3.25MBytes,4.86MBytes,4.71MBytes,5.16MBytes,5.18MBytes,5.26MBytes,5.53MBytes,5.59MBytes,5.90MBytes,5.72MBytes
iperf3_result_20231019174423.txt,2.29MBytes,4.80MBytes,5.32MBytes,5.68MBytes,5.53MBytes,5.47MBytes,5.90MBytes,4.66MBytes,5.32MBytes,5.77MBytes
iperf3_result_20231019173832.txt,2.88MBytes,5.60MBytes,6.78MBytes,5.26MBytes,7.58MBytes,6.96MBytes,6.99MBytes,7.93MBytes,7.88MBytes,7.51MBytes
iperf3_result_20231019174813.txt,3.28MBytes,4.73MBytes,5.34MBytes,4.35MBytes,5.47MBytes,4.35MBytes,3.98MBytes,2.67MBytes,3.23MBytes,4.23MBytes
iperf3_result_20231019174740.txt,3.27MBytes,6.05MBytes,5.39MBytes,5.21MBytes,4.21MBytes,4.18MBytes,4.43MBytes,4.55MBytes,4.60MBytes,3.53MBytes
iperf3_result_20231019174556.txt,909KBytes,1.18MBytes,1.52MBytes,1.93MBytes,1.91MBytes,5.18MBytes,5.12MBytes,2.85MBytes,911KBytes,1.10MBytes
iperf3_result_20231019174525.txt,4.92MBytes,5.34MBytes,5.54MBytes,5.33MBytes,5.52MBytes,4.24MBytes,5.43MBytes,5.46MBytes,5.36MBytes,6.00MBytes
iperf3_result_20231019174240.txt,3.30MBytes,4.65MBytes,5.58MBytes,5.49MBytes,5.38MBytes,4.82MBytes,5.65MBytes,5.28MBytes,5.72MBytes,5.24MBytes
iperf3_result_20231019174056.txt,5.26MBytes,5.30MBytes,5.59MBytes,4.35MBytes,5.41MBytes,5.61MBytes,5.64MBytes,5.60MBytes,5.68MBytes,5.92MBytes
iperf3_result_20231019173842.txt,4.02MBytes,6.59MBytes,6.52MBytes,6.46MBytes,6.04MBytes,7.02MBytes,7.51MBytes,8.26MBytes,7.90MBytes,7.70MBytes
iperf3_result_20231019174321.txt,2.63MBytes,4.71MBytes,5.50MBytes,5.03MBytes,4.61MBytes,5.68MBytes,5.00MBytes,4.55MBytes,5.38MBytes,3.10MBytes
iperf3_result_20231019173923.txt,5.02MBytes,5.15MBytes,4.04MBytes,5.58MBytes,4.43MBytes,5.55MBytes,4.70MBytes,4.79MBytes,6.37MBytes,6.10MBytes
iperf3_result_20231019174906.txt,4.91MBytes,5.19MBytes,5.53MBytes,6.15MBytes,5.43MBytes,2.51MBytes,1.59MBytes,4.62MBytes,1.96MBytes,4.98MBytes
iperf3_result_20231019173933.txt,3.24MBytes,4.90MBytes,5.08MBytes,5.08MBytes,5.33MBytes,5.69MBytes,5.71MBytes,5.62MBytes,6.13MBytes,5.59MBytes
iperf3_result_20231019174721.txt,3.63MBytes,5.02MBytes,1.97MBytes,1.14MBytes,3.27MBytes,2.32MBytes,1.32MBytes,1.57MBytes,2.13MBytes,2.65MBytes
iperf3_result_20231019174127.txt,3.83MBytes,5.12MBytes,4.08MBytes,5.10MBytes,5.65MBytes,5.17MBytes,5.71MBytes,5.26MBytes,5.12MBytes,5.61MBytes
iperf3_result_20231019174331.txt,1.87MBytes,3.81MBytes,5.08MBytes,5.18MBytes,5.57MBytes,4.91MBytes,4.78MBytes,5.22MBytes,4.97MBytes,5.34MBytes
iperf3_result_20231019174443.txt,2.33MBytes,4.24MBytes,5.34MBytes,5.58MBytes,5.62MBytes,5.45MBytes,5.51MBytes,5.37MBytes,4.70MBytes,5.79MBytes
iperf3_result_20231019173852.txt,5.26MBytes,7.02MBytes,7.08MBytes,6.73MBytes,7.57MBytes,7.49MBytes,7.43MBytes,5.92MBytes,8.26MBytes,7.99MBytes
