file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,0.00-1.01,1.01-2.00
iperf3_result_20231019173942.txt,2.92MBytes,3.57MBytes,4.07MBytes,2.90MBytes,2.67MBytes,2.89MBytes,2.75MBytes,3.28MBytes,2.89MBytes,2.99MBytes,,
iperf3_result_20231019173759.txt,3.33MBytes,2.59MBytes,6.12MBytes,4.36MBytes,3.63MBytes,4.05MBytes,3.34MBytes,3.18MBytes,3.38MBytes,3.33MBytes,,
iperf3_result_20231019174803.txt,5.23MBytes,4.70MBytes,5.07MBytes,4.63MBytes,4.84MBytes,4.79MBytes,4.59MBytes,4.24MBytes,3.61MBytes,4.96MBytes,,
iperf3_result_20231019174340.txt,3.52MBytes,2.57MBytes,2.54MBytes,2.59MBytes,2.45MBytes,2.50MBytes,2.63MBytes,2.73MBytes,2.65MBytes,2.82MBytes,,
iperf3_result_20231019174432.txt,4.87MBytes,3.27MBytes,2.93MBytes,2.85MBytes,2.74MBytes,2.85MBytes,2.85MBytes,2.78MBytes,2.94MBytes,2.88MBytes,,
iperf3_result_20231019174157.txt,2.92MBytes,4.70MBytes,2.99MBytes,2.35MBytes,2.83MBytes,3.49MBytes,2.81MBytes,2.67MBytes,2.72MBytes,2.87MBytes,,
iperf3_result_20231019174023.txt,2.78MBytes,2.87MBytes,3.30MBytes,2.69MBytes,2.83MBytes,2.75MBytes,2.28MBytes,2.88MBytes,2.44MBytes,2.58MBytes,,
iperf3_result_20231019174545.txt,5.46MBytes,3.13MBytes,3.04MBytes,2.82MBytes,2.99MBytes,4.04MBytes,4.78MBytes,4.17MBytes,4.92MBytes,4.27MBytes,,
iperf3_result_20231019174948.txt,11.5MBytes,11.1MBytes,10.8MBytes,10.9MBytes,11.1MBytes,11.1MBytes,10.8MBytes,11.1MBytes,10.8MBytes,11.3MBytes,,
iperf3_result_20231019174753.txt,2.73MBytes,3.08MBytes,2.33MBytes,2.68MBytes,2.49MBytes,3.27MBytes,3.31MBytes,3.74MBytes,4.15MBytes,5.37MBytes,,
iperf3_result_20231019173809.txt,3.03MBytes,3.17MBytes,5.24MBytes,3.81MBytes,3.70MBytes,3.51MBytes,3.52MBytes,3.25MBytes,3.29MBytes,3.15MBytes,,
iperf3_result_20231019175049.txt,5.53MBytes,4.88MBytes,5.54MBytes,5.40MBytes,5.29MBytes,1.57MBytes,1.67MBytes,5.47MBytes,5.88MBytes,5.68MBytes,,
iperf3_result_20231019173607.txt,11.1MBytes,10.9MBytes,10.5MBytes,10.8MBytes,11.2MBytes,10.6MBytes,10.2MBytes,11.2MBytes,10.6MBytes,11.1MBytes,,
iperf3_result_20231019174034.txt,2.56MBytes,3.30MBytes,3.11MBytes,3.14MBytes,2.70MBytes,2.76MBytes,2.86MBytes,2.71MBytes,2.89MBytes,2.67MBytes,,
iperf3_result_20231019175100.txt,5.32MBytes,5.65MBytes,6.02MBytes,5.32MBytes,5.58MBytes,5.25MBytes,5.48MBytes,5.75MBytes,5.83MBytes,5.85MBytes,,
iperf3_result_20231019175110.txt,6.11MBytes,5.77MBytes,5.74MBytes,5.83MBytes,5.80MBytes,5.74MBytes,5.85MBytes,5.77MBytes,5.83MBytes,5.74MBytes,,
iperf3_result_20231019174742.txt,2.86MBytes,2.61MBytes,2.15MBytes,2.21MBytes,2.20MBytes,2.49MBytes,2.79MBytes,3.65MBytes,4.75MBytes,4.39MBytes,,
iperf3_result_20231019173830.txt,2.63MBytes,3.06MBytes,5.95MBytes,4.06MBytes,3.50MBytes,5.69MBytes,3.60MBytes,3.22MBytes,3.08MBytes,2.98MBytes,,
iperf3_result_20231019173617.txt,12.1MBytes,11.0MBytes,10.5MBytes,10.7MBytes,10.6MBytes,10.1MBytes,11.2MBytes,10.7MBytes,10.5MBytes,11.3MBytes,,
iperf3_result_20231019173819.txt,4.00MBytes,3.24MBytes,6.94MBytes,5.08MBytes,3.58MBytes,3.85MBytes,3.58MBytes,3.66MBytes,3.42MBytes,3.22MBytes,,
iperf3_result_20231019174958.txt,6.61MBytes,5.42MBytes,4.30MBytes,5.60MBytes,5.82MBytes,5.54MBytes,5.75MBytes,5.58MBytes,5.83MBytes,5.69MBytes,,
iperf3_result_20231019174555.txt,6.74MBytes,5.20MBytes,5.11MBytes,4.78MBytes,4.27MBytes,2.87MBytes,3.05MBytes,4.14MBytes,4.76MBytes,5.26MBytes,,
iperf3_result_20231019173748.txt,3.07MBytes,2.87MBytes,5.54MBytes,4.06MBytes,3.66MBytes,3.43MBytes,3.52MBytes,3.34MBytes,3.53MBytes,3.18MBytes,,
iperf3_result_20231019174351.txt,4.49MBytes,3.33MBytes,3.48MBytes,2.66MBytes,2.89MBytes,3.06MBytes,2.56MBytes,2.82MBytes,2.94MBytes,2.57MBytes,,
iperf3_result_20231019174422.txt,4.40MBytes,4.12MBytes,2.96MBytes,2.80MBytes,2.95MBytes,2.75MBytes,2.94MBytes,3.02MBytes,2.47MBytes,2.69MBytes,,
iperf3_result_20231019174146.txt,2.22MBytes,3.45MBytes,2.82MBytes,2.67MBytes,2.35MBytes,2.91MBytes,2.74MBytes,2.67MBytes,2.74MBytes,2.75MBytes,,
iperf3_result_20231019174813.txt,3.90MBytes,2.89MBytes,2.84MBytes,3.29MBytes,2.78MBytes,3.31MBytes,2.98MBytes,4.58MBytes,3.31MBytes,2.89MBytes,,
iperf3_result_20231019173952.txt,2.97MBytes,3.78MBytes,4.84MBytes,3.14MBytes,3.11MBytes,2.92MBytes,2.94MBytes,2.60MBytes,2.69MBytes,2.86MBytes,,
iperf3_result_20231019173921.txt,2.88MBytes,3.42MBytes,3.50MBytes,2.75MBytes,3.12MBytes,2.92MBytes,2.70MBytes,2.79MBytes,2.12MBytes,2.85MBytes,,
iperf3_result_20231019174928.txt,3.06MBytes,3.10MBytes,2.41MBytes,10.3MBytes,10.5MBytes,11.1MBytes,11.0MBytes,11.3MBytes,10.9MBytes,10.6MBytes,,
iperf3_result_20231019175029.txt,5.83MBytes,4.46MBytes,5.49MBytes,5.39MBytes,5.72MBytes,5.45MBytes,5.09MBytes,5.69MBytes,5.58MBytes,5.74MBytes,,
iperf3_result_20231019173840.txt,3.21MBytes,3.16MBytes,6.47MBytes,4.05MBytes,3.35MBytes,3.17MBytes,3.63MBytes,3.39MBytes,3.15MBytes,3.20MBytes,,
iperf3_result_20231019174054.txt,2.87MBytes,3.48MBytes,3.52MBytes,2.93MBytes,2.86MBytes,2.51MBytes,2.71MBytes,2.79MBytes,2.84MBytes,2.81MBytes,,
iperf3_result_20231019174732.txt,3.39MBytes,2.95MBytes,3.74MBytes,4.38MBytes,4.19MBytes,4.05MBytes,4.68MBytes,3.80MBytes,4.83MBytes,3.05MBytes,,
iperf3_result_20231019174524.txt,4.17MBytes,2.85MBytes,2.81MBytes,2.76MBytes,2.90MBytes,2.79MBytes,2.46MBytes,2.88MBytes,2.73MBytes,3.06MBytes,,
iperf3_result_20231019174917.txt,4.83MBytes,4.68MBytes,6.99MBytes,8.14MBytes,5.55MBytes,4.15MBytes,8.71MBytes,4.94MBytes,3.95MBytes,4.13MBytes,,
iperf3_result_20231019174136.txt,3.02MBytes,4.28MBytes,2.72MBytes,2.91MBytes,2.61MBytes,2.38MBytes,3.38MBytes,2.57MBytes,2.04MBytes,1.81MBytes,,
iperf3_result_20231019174320.txt,2.82MBytes,4.62MBytes,3.47MBytes,3.00MBytes,2.64MBytes,2.57MBytes,2.84MBytes,2.84MBytes,2.39MBytes,2.47MBytes,,
iperf3_result_20231019174309.txt,,,3.73MBytes,2.96MBytes,2.96MBytes,2.55MBytes,2.48MBytes,2.50MBytes,2.83MBytes,2.87MBytes,3.17MBytes,5.45MBytes
iperf3_result_20231019174453.txt,4.75MBytes,3.50MBytes,2.93MBytes,2.84MBytes,2.76MBytes,2.82MBytes,2.80MBytes,2.56MBytes,2.86MBytes,2.68MBytes,,
iperf3_result_20231019175201.txt,5.99MBytes,6.15MBytes,5.91MBytes,5.63MBytes,5.58MBytes,5.07MBytes,5.50MBytes,5.53MBytes,5.87MBytes,5.85MBytes,,
iperf3_result_20231019173658.txt,10.9MBytes,10.9MBytes,8.81MBytes,11.1MBytes,10.4MBytes,11.2MBytes,11.4MBytes,11.0MBytes,10.8MBytes,11.1MBytes,,
iperf3_result_20231019173738.txt,11.0MBytes,11.0MBytes,10.1MBytes,4.63MBytes,3.73MBytes,3.62MBytes,3.46MBytes,3.51MBytes,3.06MBytes,3.13MBytes,,
iperf3_result_20231019174906.txt,3.36MBytes,3.73MBytes,2.81MBytes,3.06MBytes,3.09MBytes,4.34MBytes,4.87MBytes,2.85MBytes,4.60MBytes,2.44MBytes,,
iperf3_result_20231019174721.txt,3.48MBytes,2.83MBytes,4.68MBytes,5.20MBytes,3.81MBytes,4.53MBytes,5.09MBytes,4.91MBytes,4.69MBytes,4.33MBytes,,
iperf3_result_20231019173728.txt,10.9MBytes,11.1MBytes,8.67MBytes,10.9MBytes,11.3MBytes,11.2MBytes,11.6MBytes,11.0MBytes,11.4MBytes,10.8MBytes,,
iperf3_result_20231019175211.txt,5.79MBytes,5.93MBytes,5.80MBytes,4.85MBytes,5.11MBytes,5.08MBytes,5.32MBytes,4.86MBytes,5.41MBytes,4.41MBytes,,
iperf3_result_20231019174443.txt,4.96MBytes,4.08MBytes,2.95MBytes,3.08MBytes,2.85MBytes,2.93MBytes,2.80MBytes,2.86MBytes,2.50MBytes,2.55MBytes,,
iperf3_result_20231019174330.txt,3.58MBytes,3.68MBytes,3.46MBytes,3.27MBytes,2.87MBytes,2.88MBytes,2.53MBytes,2.45MBytes,2.78MBytes,2.55MBytes,,
iperf3_result_20231019174126.txt,2.93MBytes,4.06MBytes,3.47MBytes,3.07MBytes,2.47MBytes,2.71MBytes,3.00MBytes,2.90MBytes,2.94MBytes,2.93MBytes,,
iperf3_result_20231019173932.txt,2.92MBytes,3.79MBytes,4.35MBytes,3.26MBytes,2.85MBytes,2.67MBytes,2.79MBytes,2.97MBytes,2.99MBytes,2.86MBytes,,
iperf3_result_20231019174534.txt,4.68MBytes,3.77MBytes,3.13MBytes,5.06MBytes,5.33MBytes,4.20MBytes,3.34MBytes,4.74MBytes,3.93MBytes,3.05MBytes,,
iperf3_result_20231019174044.txt,3.10MBytes,3.26MBytes,4.76MBytes,3.46MBytes,2.90MBytes,2.94MBytes,2.95MBytes,2.76MBytes,2.81MBytes,2.70MBytes,,
iperf3_result_20231019173850.txt,3.34MBytes,3.12MBytes,4.99MBytes,4.07MBytes,3.52MBytes,3.43MBytes,3.72MBytes,3.35MBytes,3.29MBytes,3.20MBytes,,
iperf3_result_20231019175039.txt,6.04MBytes,5.78MBytes,5.72MBytes,5.60MBytes,5.63MBytes,5.74MBytes,5.93MBytes,5.84MBytes,5.68MBytes,5.88MBytes,,
iperf3_result_20231019174938.txt,11.4MBytes,11.0MBytes,11.3MBytes,11.0MBytes,11.1MBytes,11.0MBytes,10.5MBytes,10.6MBytes,10.7MBytes,10.6MBytes,,
iperf3_result_20231019174855.txt,3.80MBytes,3.17MBytes,2.82MBytes,2.61MBytes,2.66MBytes,3.78MBytes,4.01MBytes,4.11MBytes,4.01MBytes,3.68MBytes,,
iperf3_result_20231019175222.txt,5.00MBytes,4.62MBytes,5.48MBytes,5.49MBytes,5.69MBytes,5.48MBytes,5.57MBytes,4.94MBytes,4.86MBytes,5.66MBytes,,
iperf3_result_20231019173647.txt,7.91MBytes,8.38MBytes,8.08MBytes,7.48MBytes,10.9MBytes,10.8MBytes,10.8MBytes,11.3MBytes,10.4MBytes,10.6MBytes,,
