file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time
iperf3_result_20231019174036.txt,2.65MBytes,3.06MBytes,2.81MBytes,2.73MBytes,2.93MBytes,2.72MBytes,2.76MBytes,3.03MBytes,2.96MBytes,3.10MBytes,368KBytes,10.06
iperf3_result_20231019174803.txt,5.38MBytes,4.74MBytes,4.91MBytes,4.87MBytes,4.76MBytes,4.72MBytes,4.55MBytes,4.13MBytes,3.66MBytes,4.77MBytes,331KBytes,10.07
iperf3_result_20231019174433.txt,4.09MBytes,3.05MBytes,2.95MBytes,2.88MBytes,2.72MBytes,2.94MBytes,2.88MBytes,2.92MBytes,2.90MBytes,3.09MBytes,255KBytes,10.08
iperf3_result_20231019174341.txt,3.24MBytes,2.31MBytes,2.80MBytes,2.42MBytes,2.55MBytes,2.47MBytes,2.81MBytes,2.59MBytes,2.73MBytes,2.88MBytes,211KBytes,10.08
iperf3_result_20231019174209.txt,3.80MBytes,2.97MBytes,2.55MBytes,2.37MBytes,2.67MBytes,2.76MBytes,2.82MBytes,2.85MBytes,3.30MBytes,2.74MBytes,218KBytes,10.07
iperf3_result_20231019174545.txt,4.37MBytes,3.02MBytes,3.02MBytes,2.82MBytes,2.91MBytes,4.64MBytes,4.01MBytes,4.50MBytes,4.75MBytes,4.18MBytes,354KBytes,10.09
iperf3_result_20231019173955.txt,3.55MBytes,3.15MBytes,2.90MBytes,2.89MBytes,2.96MBytes,2.42MBytes,2.86MBytes,2.93MBytes,2.69MBytes,4.32MBytes,274KBytes,10.07
iperf3_result_20231019175459.txt,11.0MBytes,9.39MBytes,11.2MBytes,11.3MBytes,11.2MBytes,11.4MBytes,11.3MBytes,10.8MBytes,11.2MBytes,10.6MBytes,741KBytes,10.06
iperf3_result_20231019174753.txt,2.74MBytes,3.01MBytes,2.39MBytes,2.61MBytes,2.49MBytes,3.19MBytes,3.23MBytes,3.95MBytes,4.25MBytes,5.73MBytes,682KBytes,10.12
iperf3_result_20231019175539.txt,9.04MBytes,9.88MBytes,10.4MBytes,10.1MBytes,10.4MBytes,11.2MBytes,11.2MBytes,10.4MBytes,11.2MBytes,11.2MBytes,996KBytes,10.09
iperf3_result_20231019175049.txt,5.24MBytes,5.13MBytes,5.51MBytes,5.67MBytes,5.82MBytes,5.63MBytes,5.86MBytes,5.84MBytes,5.47MBytes,5.35MBytes,407KBytes,10.08
iperf3_result_20231019175302.txt,11.2MBytes,10.9MBytes,11.3MBytes,11.4MBytes,11.2MBytes,11.0MBytes,10.4MBytes,11.0MBytes,11.2MBytes,8.82MBytes,499KBytes,10.07
iperf3_result_20231019175100.txt,5.56MBytes,5.20MBytes,5.95MBytes,5.24MBytes,5.90MBytes,5.35MBytes,5.55MBytes,5.71MBytes,6.00MBytes,5.79MBytes,612KBytes,10.09
iperf3_result_20231019175845.txt,11.4MBytes,11.7MBytes,11.1MBytes,11.3MBytes,11.4MBytes,11.2MBytes,10.6MBytes,11.5MBytes,10.8MBytes,11.0MBytes,766KBytes,10.07
iperf3_result_20231019175110.txt,6.04MBytes,5.74MBytes,5.85MBytes,5.87MBytes,5.83MBytes,5.56MBytes,5.94MBytes,6.02MBytes,5.79MBytes,6.22MBytes,1.32MBytes,10.24
iperf3_result_20231019175312.txt,10.2MBytes,8.98MBytes,9.04MBytes,10.5MBytes,11.0MBytes,9.07MBytes,9.70MBytes,11.2MBytes,10.4MBytes,10.8MBytes,925KBytes,10.08
iperf3_result_20231019174742.txt,2.75MBytes,2.59MBytes,2.17MBytes,2.22MBytes,2.28MBytes,2.46MBytes,2.69MBytes,3.69MBytes,4.56MBytes,4.55MBytes,255KBytes,10.07
iperf3_result_20231019174352.txt,3.91MBytes,3.54MBytes,2.91MBytes,2.93MBytes,3.14MBytes,2.42MBytes,2.85MBytes,2.91MBytes,2.67MBytes,2.90MBytes,544KBytes,10.19
iperf3_result_20231019175529.txt,10.8MBytes,8.72MBytes,8.76MBytes,8.42MBytes,10.9MBytes,10.1MBytes,9.71MBytes,10.6MBytes,10.7MBytes,11.0MBytes,583KBytes,10.06
iperf3_result_20231019175449.txt,11.4MBytes,10.9MBytes,10.8MBytes,11.5MBytes,10.9MBytes,11.2MBytes,10.8MBytes,11.0MBytes,11.0MBytes,11.4MBytes,600KBytes,10.07
iperf3_result_20231019173945.txt,3.11MBytes,2.68MBytes,2.84MBytes,2.81MBytes,3.31MBytes,2.90MBytes,2.87MBytes,3.16MBytes,2.88MBytes,4.48MBytes,403KBytes,10.08
iperf3_result_20231019174958.txt,5.76MBytes,5.49MBytes,4.34MBytes,5.78MBytes,5.72MBytes,5.89MBytes,5.66MBytes,5.78MBytes,5.87MBytes,6.08MBytes,959KBytes,10.08
iperf3_result_20231019174219.txt,3.90MBytes,2.84MBytes,3.29MBytes,2.64MBytes,2.62MBytes,2.70MBytes,2.82MBytes,2.92MBytes,2.90MBytes,2.83MBytes,257KBytes,10.07
iperf3_result_20231019174423.txt,4.48MBytes,3.52MBytes,2.76MBytes,3.02MBytes,2.84MBytes,2.78MBytes,2.96MBytes,2.61MBytes,2.72MBytes,2.99MBytes,245KBytes,10.10
iperf3_result_20231019175714.txt,10.9MBytes,11.5MBytes,10.2MBytes,10.9MBytes,11.2MBytes,11.0MBytes,10.8MBytes,10.3MBytes,11.0MBytes,11.0MBytes,745KBytes,10.07
iperf3_result_20231019175700.txt,8.81MBytes,10.8MBytes,11.7MBytes,11.6MBytes,11.3MBytes,11.2MBytes,11.0MBytes,11.3MBytes,11.2MBytes,11.0MBytes,2.46MBytes,10.24
iperf3_result_20231019174813.txt,3.97MBytes,2.92MBytes,2.80MBytes,3.23MBytes,2.85MBytes,3.21MBytes,2.99MBytes,4.75MBytes,3.28MBytes,3.12MBytes,570KBytes,10.12
iperf3_result_20231019174026.txt,2.58MBytes,2.75MBytes,2.83MBytes,2.82MBytes,2.34MBytes,2.70MBytes,2.55MBytes,2.63MBytes,2.57MBytes,3.44MBytes,387KBytes,10.09
iperf3_result_20231019174556.txt,5.59MBytes,5.20MBytes,4.84MBytes,4.81MBytes,3.72MBytes,2.93MBytes,3.22MBytes,4.29MBytes,5.38MBytes,5.25MBytes,1.21MBytes,10.29
iperf3_result_20231019175439.txt,11.2MBytes,10.2MBytes,10.6MBytes,10.9MBytes,11.1MBytes,10.7MBytes,10.2MBytes,10.8MBytes,10.5MBytes,10.8MBytes,823KBytes,10.08
iperf3_result_20231019175029.txt,5.68MBytes,4.29MBytes,5.69MBytes,5.48MBytes,5.52MBytes,5.45MBytes,5.27MBytes,5.76MBytes,5.65MBytes,5.66MBytes,1.04MBytes,10.11
iperf3_result_20231019174732.txt,3.47MBytes,2.94MBytes,3.58MBytes,4.37MBytes,4.30MBytes,4.08MBytes,4.68MBytes,3.81MBytes,4.95MBytes,3.06MBytes,334KBytes,10.10
iperf3_result_20231019173934.txt,3.35MBytes,3.01MBytes,2.59MBytes,2.84MBytes,2.97MBytes,2.95MBytes,2.88MBytes,2.89MBytes,2.76MBytes,4.02MBytes,468KBytes,10.09
iperf3_result_20231019174524.txt,3.43MBytes,2.76MBytes,2.88MBytes,2.78MBytes,2.79MBytes,2.42MBytes,2.88MBytes,2.81MBytes,2.80MBytes,3.00MBytes,174KBytes,10.06
iperf3_result_20231019175835.txt,10.7MBytes,11.5MBytes,10.3MBytes,10.8MBytes,10.9MBytes,11.5MBytes,11.9MBytes,11.1MBytes,10.9MBytes,10.8MBytes,993KBytes,10.07
iperf3_result_20231019174240.txt,4.04MBytes,3.37MBytes,2.93MBytes,2.79MBytes,3.06MBytes,2.84MBytes,2.88MBytes,2.65MBytes,2.86MBytes,2.72MBytes,165KBytes,10.07
iperf3_result_20231019175610.txt,10.7MBytes,11.2MBytes,10.9MBytes,10.8MBytes,11.0MBytes,11.4MBytes,10.9MBytes,11.0MBytes,11.2MBytes,11.1MBytes,701KBytes,10.07
iperf3_result_20231019174321.txt,4.17MBytes,3.29MBytes,2.94MBytes,2.67MBytes,2.64MBytes,2.85MBytes,2.74MBytes,2.36MBytes,2.67MBytes,3.68MBytes,194KBytes,10.07
iperf3_result_20231019175201.txt,5.86MBytes,6.21MBytes,6.04MBytes,5.67MBytes,5.46MBytes,5.07MBytes,5.68MBytes,5.87MBytes,5.68MBytes,6.01MBytes,445KBytes,10.08
iperf3_result_20231019174057.txt,3.31MBytes,2.92MBytes,2.90MBytes,2.50MBytes,2.76MBytes,2.78MBytes,2.85MBytes,2.81MBytes,2.84MBytes,3.13MBytes,542KBytes,10.10
iperf3_result_20231019174721.txt,3.52MBytes,2.77MBytes,4.88MBytes,5.19MBytes,4.01MBytes,4.81MBytes,5.38MBytes,4.81MBytes,4.72MBytes,3.53MBytes,3.62MBytes,10.74
iperf3_result_20231019175211.txt,5.95MBytes,5.70MBytes,5.77MBytes,4.94MBytes,5.16MBytes,5.07MBytes,5.31MBytes,4.80MBytes,5.24MBytes,4.54MBytes,298KBytes,10.07
iperf3_result_20231019174331.txt,3.65MBytes,3.63MBytes,3.37MBytes,2.86MBytes,2.87MBytes,2.59MBytes,2.49MBytes,2.85MBytes,2.42MBytes,2.72MBytes,120KBytes,10.09
iperf3_result_20231019174443.txt,4.59MBytes,3.57MBytes,3.05MBytes,2.90MBytes,2.95MBytes,2.82MBytes,2.76MBytes,2.80MBytes,2.46MBytes,2.80MBytes,267KBytes,10.09
iperf3_result_20231019174046.txt,4.02MBytes,3.34MBytes,2.91MBytes,2.91MBytes,2.89MBytes,2.76MBytes,2.75MBytes,2.85MBytes,2.88MBytes,2.88MBytes,479KBytes,10.08
iperf3_result_20231019174250.txt,3.86MBytes,2.89MBytes,2.96MBytes,2.85MBytes,2.96MBytes,2.71MBytes,2.95MBytes,2.64MBytes,2.76MBytes,2.89MBytes,228KBytes,10.08
iperf3_result_20231019175600.txt,9.15MBytes,10.1MBytes,11.3MBytes,11.0MBytes,11.1MBytes,10.9MBytes,11.4MBytes,11.2MBytes,11.7MBytes,10.9MBytes,625KBytes,10.06
iperf3_result_20231019175825.txt,11.4MBytes,11.5MBytes,11.3MBytes,11.2MBytes,10.8MBytes,9.51MBytes,11.0MBytes,11.6MBytes,11.2MBytes,11.2MBytes,977KBytes,10.07
iperf3_result_20231019173924.txt,2.73MBytes,3.17MBytes,2.86MBytes,2.80MBytes,2.68MBytes,2.63MBytes,2.36MBytes,3.11MBytes,2.98MBytes,4.27MBytes,317KBytes,10.08
iperf3_result_20231019175428.txt,11.3MBytes,10.5MBytes,9.69MBytes,9.60MBytes,11.1MBytes,10.6MBytes,11.0MBytes,11.0MBytes,10.8MBytes,11.1MBytes,812KBytes,10.07
iperf3_result_20231019174454.txt,4.02MBytes,3.21MBytes,2.79MBytes,2.91MBytes,2.67MBytes,2.81MBytes,2.40MBytes,2.85MBytes,2.81MBytes,3.07MBytes,332KBytes,10.10
iperf3_result_20231019175039.txt,5.93MBytes,5.90MBytes,5.63MBytes,5.87MBytes,5.75MBytes,5.92MBytes,5.67MBytes,5.83MBytes,5.60MBytes,5.73MBytes,454KBytes,10.08
iperf3_result_20231019175549.txt,11.3MBytes,11.0MBytes,11.4MBytes,10.7MBytes,11.4MBytes,11.1MBytes,10.8MBytes,10.5MBytes,10.8MBytes,10.8MBytes,576KBytes,10.07
iperf3_result_20231019174535.txt,4.31MBytes,3.70MBytes,3.89MBytes,5.07MBytes,5.17MBytes,3.36MBytes,3.95MBytes,4.72MBytes,3.46MBytes,3.15MBytes,325KBytes,10.08
iperf3_result_20231019175815.txt,10.8MBytes,11.2MBytes,11.6MBytes,11.4MBytes,9.89MBytes,10.6MBytes,10.7MBytes,10.9MBytes,11.4MBytes,11.0MBytes,974KBytes,10.07
iperf3_result_20231019174504.txt,3.79MBytes,2.84MBytes,2.71MBytes,3.02MBytes,2.92MBytes,2.74MBytes,2.71MBytes,2.86MBytes,2.79MBytes,3.05MBytes,209KBytes,10.08
iperf3_result_20231019173914.txt,2.93MBytes,3.00MBytes,2.81MBytes,2.92MBytes,3.08MBytes,2.89MBytes,2.65MBytes,3.02MBytes,2.71MBytes,3.68MBytes,337KBytes,10.10
iperf3_result_20231019175418.txt,11.1MBytes,10.5MBytes,9.65MBytes,10.3MBytes,10.1MBytes,10.3MBytes,9.93MBytes,10.4MBytes,10.7MBytes,10.5MBytes,779KBytes,10.07
iperf3_result_20231019174855.txt,4.05MBytes,3.20MBytes,2.83MBytes,2.59MBytes,2.82MBytes,3.84MBytes,4.14MBytes,4.20MBytes,4.18MBytes,3.59MBytes,3.05MBytes,10.65
iperf3_result_20231019175222.txt,4.67MBytes,4.54MBytes,5.53MBytes,5.54MBytes,5.70MBytes,5.72MBytes,5.65MBytes,4.77MBytes,5.19MBytes,5.50MBytes,486KBytes,10.08
