file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-,total_time
iperf3_result_20231019180438.txt,1.40MBytes,1.93MBytes,2.36MBytes,2.89MBytes,3.34MBytes,4.52MBytes,5.14MBytes,5.65MBytes,5.50MBytes,5.68MBytes,252KBytes,10.03
iperf3_result_20231019181256.txt,216KBytes,249KBytes,255KBytes,313KBytes,252KBytes,246KBytes,249KBytes,249KBytes,243KBytes,249KBytes,17.0KBytes,10.03
iperf3_result_20231019183737.txt,229KBytes,240KBytes,247KBytes,544KBytes,238KBytes,249KBytes,242KBytes,252KBytes,249KBytes,240KBytes,11.3KBytes,10.05
iperf3_result_20231019183911.txt,218KBytes,247KBytes,512KBytes,252KBytes,246KBytes,249KBytes,243KBytes,249KBytes,249KBytes,249KBytes,9.90KBytes,10.06
iperf3_result_20231019181041.txt,303KBytes,242KBytes,253KBytes,266KBytes,301KBytes,243KBytes,249KBytes,249KBytes,243KBytes,247KBytes,12.7KBytes,10.06
iperf3_result_20231019180407.txt,1.31MBytes,1.18MBytes,1.44MBytes,1.55MBytes,1.98MBytes,2.43MBytes,2.88MBytes,3.58MBytes,5.23MBytes,5.44MBytes,325KBytes,10.05
iperf3_result_20231019180611.txt,4.35MBytes,5.66MBytes,5.66MBytes,5.79MBytes,5.57MBytes,5.58MBytes,5.77MBytes,5.63MBytes,5.70MBytes,5.61MBytes,489KBytes,10.08
iperf3_result_20231019180836.txt,430KBytes,475KBytes,468KBytes,474KBytes,648KBytes,1010KBytes,532KBytes,526KBytes,583KBytes,567KBytes,17.0KBytes,10.05
iperf3_result_20231019181122.txt,252KBytes,247KBytes,249KBytes,290KBytes,277KBytes,243KBytes,249KBytes,246KBytes,246KBytes,247KBytes,15.6KBytes,10.05
iperf3_result_20231019183655.txt,218KBytes,250KBytes,243KBytes,252KBytes,478KBytes,243KBytes,255KBytes,242KBytes,249KBytes,249KBytes,11.3KBytes,10.05
iperf3_result_20231019181133.txt,252KBytes,245KBytes,250KBytes,314KBytes,262KBytes,249KBytes,245KBytes,252KBytes,243KBytes,249KBytes,11.3KBytes,10.07
iperf3_result_20231019180826.txt,441KBytes,474KBytes,469KBytes,474KBytes,478KBytes,974KBytes,474KBytes,481KBytes,474KBytes,469KBytes,22.6KBytes,10.05
iperf3_result_20231019180601.txt,3.47MBytes,5.68MBytes,5.71MBytes,5.68MBytes,5.72MBytes,5.73MBytes,5.72MBytes,5.67MBytes,5.66MBytes,5.77MBytes,395KBytes,10.09
iperf3_result_20231019181245.txt,226KBytes,238KBytes,249KBytes,334KBytes,242KBytes,243KBytes,249KBytes,249KBytes,249KBytes,242KBytes,18.4KBytes,10.06
iperf3_result_20231019183644.txt,223KBytes,249KBytes,249KBytes,239KBytes,1.70MBytes,491KBytes,452KBytes,430KBytes,426KBytes,462KBytes,17.0KBytes,10.06
iperf3_result_20231019181051.txt,263KBytes,252KBytes,247KBytes,293KBytes,274KBytes,249KBytes,246KBytes,249KBytes,249KBytes,243KBytes,14.1KBytes,10.05
