file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-12.00,12.00-13.00,13.00-13.94,13.00-14.00,14.00-15.00,15.00-16.00,16.00-16.11,16.00-17.00,17.00-17.55,12.00-12.66,12.00-12.63,14.00-14.36,17.00-18.00,18.00-19.00,19.00-20.00,20.00-20.19,20.00-21.00,21.00-21.50,19.00-19.42,14.00-14.59,16.00-16.60,18.00-18.65,20.00-20.25,13.00-13.98,14.00-14.16,13.00-13.96,14.00-14.49,20.00-20.51,16.00-16.54,16.00-16.10,14.00-14.20,12.00-12.58,11.00-11.15,14.00-14.14
iperf3_result_20231019172309.txt,0.00Bytes,0.00Bytes,14.1KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,1.41KBytes,4.24KBytes,0.00Bytes,over 11.00,0.00Bytes,0.00Bytes,1.41KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171952.txt,0.00Bytes,0.00Bytes,8.48KBytes,8.48KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,1.41KBytes,over 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171826.txt,0.00Bytes,0.00Bytes,14.1KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,over 11.00,0.00Bytes,0.00Bytes,,1.41KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171417.txt,0.00Bytes,0.00Bytes,14.1KBytes,28.3KBytes,56.6KBytes,99.0KBytes,198KBytes,0.00Bytes,0.00Bytes,1.41KBytes,8.48KBytes,over 11.00,0.00Bytes,0.00Bytes,,0.00Bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173000.txt,703KBytes,4.94MBytes,2.88MBytes,3.29MBytes,4.11MBytes,5.00MBytes,5.55MBytes,6.36MBytes,3.92MBytes,1.41KBytes,576KBytes,10.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173148.txt,1.95MBytes,1.89MBytes,1.39MBytes,1.28MBytes,1018KBytes,1.42MBytes,1.12MBytes,1.16MBytes,1.20MBytes,1.25MBytes,259KBytes,10.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172901.txt,0.00Bytes,0.00Bytes,14.1KBytes,0.00Bytes,0.00Bytes,0.00Bytes,1.41KBytes,4.24KBytes,5.66KBytes,0.00Bytes,0.00Bytes,over 11.00,0.00Bytes,1.41KBytes,,0.00Bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172040.txt,0.00Bytes,0.00Bytes,14.1KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,over 11.00,0.00Bytes,0.00Bytes,,1.41KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172041.txt,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,over 11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171612.txt,0.00Bytes,0.00Bytes,14.1KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,over 11.00,0.00Bytes,0.00Bytes,,0.00Bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
