file,0.00-1.02,1.02-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,0.00-1.00,1.00-2.00,0.00-1.03,1.03-2.00,0.00-2.35,2.35-3.00,0.00-1.04,1.04-2.00,0.00-2.52,2.52-3.00,0.00-15.94,0.00-1.01,1.01-2.00,0.00-2.44,2.44-3.00,0.00-2.36,2.36-3.00,0.00-2.49,2.49-3.00,0.00-6.29,6.29-7.00,0.00-2.34,2.34-3.00,0.00-2.45,2.45-3.00
iperf3_result_20231019172309.txt,76.4KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,62.2KBytes,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171952.txt,105KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171826.txt,76.4KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171417.txt,76.4KBytes,0.00Bytes,93.3KBytes,187KBytes,297KBytes,650KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173000.txt,,,3.47MBytes,3.75MBytes,3.75MBytes,5.00MBytes,5.00MBytes,7.50MBytes,3.75MBytes,0.00Bytes,1.82MBytes,5.97MBytes,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019173148.txt,,,1.30MBytes,1.55MBytes,1.18MBytes,1.99MBytes,891KBytes,891KBytes,1.74MBytes,891KBytes,2.72MBytes,2.49MBytes,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172901.txt,,,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,31.1KBytes,0.00Bytes,0.00Bytes,,,76.4KBytes,0.00Bytes,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172040.txt,76.4KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172041.txt,,,,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,,,,,96.2KBytes,0.00Bytes,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171612.txt,76.4KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,,,,,,,,,,,,,,,,,,,,,,,,,
