file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time
iperf3_result_20231019180821.txt,4.06MBytes,4.19MBytes,4.06MBytes,4.33MBytes,4.29MBytes,4.29MBytes,4.27MBytes,4.43MBytes,4.43MBytes,4.41MBytes,288KBytes,10.08
iperf3_result_20231019181055.txt,2.48MBytes,2.67MBytes,2.73MBytes,2.54MBytes,2.68MBytes,2.61MBytes,3.40MBytes,2.42MBytes,2.59MBytes,2.50MBytes,277KBytes,10.08
iperf3_result_20231019181137.txt,2.33MBytes,2.75MBytes,2.68MBytes,2.72MBytes,2.66MBytes,2.74MBytes,3.43MBytes,2.60MBytes,2.59MBytes,2.56MBytes,192KBytes,10.08
iperf3_result_20231019180943.txt,3.97MBytes,4.30MBytes,4.14MBytes,4.26MBytes,4.08MBytes,4.24MBytes,4.14MBytes,4.14MBytes,4.00MBytes,4.20MBytes,361KBytes,10.08
iperf3_result_20231019180953.txt,4.07MBytes,4.24MBytes,3.97MBytes,3.84MBytes,4.06MBytes,4.51MBytes,4.39MBytes,3.56MBytes,4.11MBytes,4.14MBytes,337KBytes,10.06
iperf3_result_20231019181126.txt,2.51MBytes,2.58MBytes,2.65MBytes,2.60MBytes,2.75MBytes,2.58MBytes,3.45MBytes,2.58MBytes,2.59MBytes,2.54MBytes,216KBytes,10.09
iperf3_result_20231019181045.txt,2.45MBytes,2.67MBytes,2.65MBytes,2.60MBytes,2.53MBytes,2.71MBytes,3.14MBytes,2.58MBytes,2.59MBytes,2.55MBytes,259KBytes,10.10
iperf3_result_20231019180831.txt,4.04MBytes,4.20MBytes,4.38MBytes,3.98MBytes,4.40MBytes,4.47MBytes,4.12MBytes,4.50MBytes,4.37MBytes,3.91MBytes,426KBytes,10.06
iperf3_result_20231019180842.txt,4.20MBytes,4.24MBytes,4.12MBytes,3.88MBytes,3.93MBytes,4.03MBytes,4.05MBytes,4.10MBytes,4.21MBytes,4.18MBytes,116KBytes,10.05
iperf3_result_20231019181157.txt,2.46MBytes,2.63MBytes,2.66MBytes,2.61MBytes,2.67MBytes,2.70MBytes,3.48MBytes,2.52MBytes,2.57MBytes,2.57MBytes,194KBytes,10.10
iperf3_result_20231019180923.txt,4.09MBytes,4.06MBytes,4.43MBytes,3.72MBytes,4.18MBytes,4.23MBytes,4.26MBytes,4.10MBytes,4.25MBytes,4.13MBytes,339KBytes,10.08
iperf3_result_20231019181208.txt,2.46MBytes,2.74MBytes,2.64MBytes,2.71MBytes,2.61MBytes,2.50MBytes,3.66MBytes,2.54MBytes,2.69MBytes,2.52MBytes,189KBytes,10.09
iperf3_result_20231019181035.txt,3.63MBytes,4.24MBytes,4.38MBytes,4.23MBytes,4.15MBytes,4.29MBytes,3.81MBytes,2.56MBytes,2.66MBytes,2.60MBytes,212KBytes,10.08
iperf3_result_20231019181024.txt,4.20MBytes,4.45MBytes,4.00MBytes,4.11MBytes,4.48MBytes,4.40MBytes,4.41MBytes,4.12MBytes,4.09MBytes,3.94MBytes,361KBytes,10.08
iperf3_result_20231019181218.txt,2.51MBytes,2.56MBytes,2.58MBytes,2.70MBytes,2.63MBytes,2.64MBytes,3.33MBytes,2.53MBytes,2.47MBytes,2.44MBytes,232KBytes,10.08
iperf3_result_20231019180933.txt,4.14MBytes,3.94MBytes,4.23MBytes,4.19MBytes,4.25MBytes,4.38MBytes,4.49MBytes,4.19MBytes,4.36MBytes,4.16MBytes,288KBytes,10.07
iperf3_result_20231019181147.txt,2.55MBytes,2.71MBytes,2.58MBytes,2.64MBytes,2.58MBytes,2.58MBytes,3.38MBytes,2.58MBytes,2.52MBytes,2.55MBytes,161KBytes,10.06
iperf3_result_20231019180852.txt,3.94MBytes,4.39MBytes,3.93MBytes,4.45MBytes,4.05MBytes,4.51MBytes,4.38MBytes,4.22MBytes,4.28MBytes,4.04MBytes,325KBytes,10.06
