file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-12.00,12.00-13.00,13.00-13.94,12.00-12.36,11.00-11.06,13.00-14.00,14.00-14.70,13.00-13.96,13.00-13.98,14.00-14.20,14.00-14.40,14.00-14.16,13.00-13.78,11.00-11.03,14.00-15.00,15.00-16.00,16.00-16.50,13.00-13.95
iperf3_result_20231019173003.txt,8.35MBytes,9.02MBytes,8.25MBytes,7.75MBytes,7.23MBytes,6.73MBytes,6.79MBytes,9.80MBytes,10.0MBytes,10.8MBytes,1.35MBytes,10.15,,,,,,,,,,,,,,,,,,
iperf3_result_20231019171748.txt,0.00Bytes,983KBytes,1.01MBytes,916KBytes,1.09MBytes,1.07MBytes,1022KBytes,1.09MBytes,1.15MBytes,1.07MBytes,1.21MBytes,>= 11.00,0.00Bytes,0.00Bytes,0.00Bytes,,,,,,,,,,,,,,,
iperf3_result_20231019172042.txt,0.00Bytes,667KBytes,553KBytes,617KBytes,430KBytes,605KBytes,526KBytes,522KBytes,423KBytes,505KBytes,1.23MBytes,>= 11.00,2.83KBytes,,,0.00Bytes,,,,,,,,,,,,,,
iperf3_result_20231019172903.txt,0.00Bytes,1.21MBytes,1.15MBytes,1.15MBytes,1.26MBytes,1.17MBytes,1.18MBytes,1.13MBytes,1011KBytes,1.02MBytes,1.15MBytes,>= 11.00,0.00Bytes,0.00Bytes,,,,,,,,,,,,,,,,
iperf3_result_20231019171615.txt,0.00Bytes,170KBytes,365KBytes,526KBytes,513KBytes,421KBytes,468KBytes,485KBytes,502KBytes,502KBytes,1.20MBytes,>= 11.00,,,,,225KBytes,,,,,,,,,,,,,
iperf3_result_20231019171403.txt,0.00Bytes,1.13MBytes,977KBytes,1.00MBytes,1.06MBytes,1.21MBytes,918KBytes,918KBytes,1.04MBytes,1.03MBytes,1.02MBytes,>= 11.00,0.00Bytes,0.00Bytes,,,,0.00Bytes,0.00Bytes,,,,,,,,,,,
iperf3_result_20231019171950.txt,0.00Bytes,1.12MBytes,1.08MBytes,1.01MBytes,1.28MBytes,1.29MBytes,1.26MBytes,1.19MBytes,1.07MBytes,1.14MBytes,1.17MBytes,>= 11.00,1.41KBytes,0.00Bytes,,,,,,0.00Bytes,,,,,,,,,,
iperf3_result_20231019173148.txt,8.63MBytes,9.41MBytes,8.52MBytes,10.1MBytes,9.93MBytes,10.5MBytes,10.4MBytes,9.58MBytes,10.6MBytes,10.5MBytes,2.25MBytes,10.26,,,,,,,,,,,,,,,,,,
iperf3_result_20231019172135.txt,0.00Bytes,1.01MBytes,1.03MBytes,1.01MBytes,899KBytes,1018KBytes,977KBytes,1.06MBytes,1.02MBytes,829KBytes,1.04MBytes,>= 11.00,1.41KBytes,0.00Bytes,,,,,,,0.00Bytes,,,,,,,,,
iperf3_result_20231019173158.txt,8.80MBytes,9.14MBytes,9.16MBytes,9.28MBytes,9.77MBytes,9.85MBytes,9.95MBytes,10.1MBytes,11.1MBytes,10.3MBytes,1.05MBytes,10.09,,,,,,,,,,,,,,,,,,
