file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time
iperf3_result_20231019181256.txt,2.36MBytes,2.47MBytes,2.49MBytes,3.21MBytes,2.71MBytes,2.63MBytes,2.55MBytes,2.66MBytes,2.62MBytes,2.62MBytes,277KBytes,10.08
iperf3_result_20231019181041.txt,2.21MBytes,2.61MBytes,2.54MBytes,3.13MBytes,2.64MBytes,2.63MBytes,2.59MBytes,2.59MBytes,2.69MBytes,2.74MBytes,144KBytes,10.08
iperf3_result_20231019183720.txt,2.71MBytes,2.71MBytes,2.69MBytes,2.68MBytes,2.70MBytes,2.74MBytes,2.66MBytes,2.76MBytes,2.74MBytes,2.69MBytes,168KBytes,10.08
iperf3_result_20231019183913.txt,2.50MBytes,2.80MBytes,2.74MBytes,2.79MBytes,2.72MBytes,2.70MBytes,2.71MBytes,2.77MBytes,2.82MBytes,2.71MBytes,307KBytes,10.08
iperf3_result_20231019181122.txt,2.21MBytes,2.63MBytes,2.47MBytes,3.18MBytes,2.51MBytes,2.47MBytes,2.58MBytes,2.49MBytes,2.56MBytes,2.57MBytes,222KBytes,10.08
iperf3_result_20231019183523.txt,2.76MBytes,2.82MBytes,2.82MBytes,2.70MBytes,2.76MBytes,2.73MBytes,2.81MBytes,2.77MBytes,2.81MBytes,2.76MBytes,305KBytes,10.11
iperf3_result_20231019181133.txt,2.28MBytes,2.59MBytes,2.40MBytes,3.24MBytes,2.65MBytes,2.60MBytes,2.64MBytes,2.50MBytes,2.59MBytes,2.58MBytes,168KBytes,10.07
iperf3_result_20231019181245.txt,2.32MBytes,2.41MBytes,2.41MBytes,3.13MBytes,2.71MBytes,2.57MBytes,2.64MBytes,2.58MBytes,2.64MBytes,2.47MBytes,230KBytes,10.10
iperf3_result_20231019181051.txt,2.53MBytes,2.58MBytes,2.58MBytes,2.93MBytes,2.60MBytes,2.63MBytes,2.64MBytes,2.63MBytes,2.58MBytes,2.60MBytes,154KBytes,10.06
iperf3_result_20231019183608.txt,2.39MBytes,2.64MBytes,2.52MBytes,2.58MBytes,2.55MBytes,2.54MBytes,2.56MBytes,2.53MBytes,2.60MBytes,2.60MBytes,228KBytes,10.08
iperf3_result_20231019181235.txt,2.26MBytes,2.44MBytes,2.46MBytes,3.21MBytes,2.76MBytes,2.57MBytes,2.69MBytes,2.63MBytes,2.61MBytes,2.59MBytes,266KBytes,10.10
iperf3_result_20231019181143.txt,2.29MBytes,2.55MBytes,2.44MBytes,3.11MBytes,2.55MBytes,2.72MBytes,2.61MBytes,2.51MBytes,2.57MBytes,2.51MBytes,206KBytes,10.07
iperf3_result_20231019183812.txt,2.32MBytes,2.55MBytes,2.50MBytes,2.42MBytes,2.61MBytes,2.55MBytes,2.62MBytes,2.60MBytes,2.66MBytes,2.49MBytes,348KBytes,10.08
iperf3_result_20231019183801.txt,2.60MBytes,2.70MBytes,2.69MBytes,2.72MBytes,2.71MBytes,2.69MBytes,2.68MBytes,2.65MBytes,2.71MBytes,2.70MBytes,225KBytes,10.09
iperf3_result_20231019183751.txt,2.65MBytes,2.65MBytes,2.75MBytes,2.74MBytes,2.63MBytes,2.65MBytes,2.75MBytes,2.73MBytes,2.67MBytes,2.73MBytes,225KBytes,10.10
iperf3_result_20231019181153.txt,2.27MBytes,2.55MBytes,2.46MBytes,3.22MBytes,2.65MBytes,2.65MBytes,2.65MBytes,2.61MBytes,2.69MBytes,2.62MBytes,294KBytes,10.12
iperf3_result_20231019181225.txt,2.29MBytes,2.46MBytes,2.67MBytes,3.19MBytes,2.64MBytes,2.40MBytes,2.56MBytes,2.65MBytes,2.38MBytes,2.58MBytes,259KBytes,10.12
iperf3_result_20231019183832.txt,2.50MBytes,2.73MBytes,2.70MBytes,2.76MBytes,2.78MBytes,2.74MBytes,2.75MBytes,2.77MBytes,2.80MBytes,2.73MBytes,308KBytes,10.08
iperf3_result_20231019181214.txt,2.40MBytes,2.50MBytes,2.44MBytes,3.16MBytes,2.44MBytes,2.55MBytes,2.50MBytes,2.58MBytes,2.62MBytes,2.57MBytes,198KBytes,10.06
iperf3_result_20231019183955.txt,2.69MBytes,2.78MBytes,2.74MBytes,2.75MBytes,2.84MBytes,2.68MBytes,2.74MBytes,2.79MBytes,2.83MBytes,2.78MBytes,240KBytes,10.10
iperf3_result_20231019181204.txt,2.16MBytes,2.44MBytes,2.64MBytes,3.19MBytes,2.75MBytes,2.65MBytes,2.70MBytes,2.54MBytes,2.64MBytes,2.71MBytes,294KBytes,10.12
iperf3_result_20231019183822.txt,2.41MBytes,2.63MBytes,2.60MBytes,2.60MBytes,2.63MBytes,2.50MBytes,2.69MBytes,2.63MBytes,2.48MBytes,2.59MBytes,372KBytes,10.08
iperf3_result_20231019183639.txt,2.76MBytes,2.67MBytes,2.71MBytes,2.68MBytes,2.68MBytes,2.68MBytes,2.75MBytes,2.73MBytes,2.73MBytes,2.64MBytes,102KBytes,10.05
