file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019155013.txt,402KBytes,132KBytes,191KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,255KBytes
iperf3_result_20231019154709.txt,707KBytes,191KBytes,191KBytes,255KBytes,0.00Bytes,255KBytes,0.00Bytes,0.00Bytes,191KBytes,0.00Bytes
iperf3_result_20231019154720.txt,701KBytes,445KBytes,0.00Bytes,382KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes
iperf3_result_20231019154647.txt,2.00MBytes,1.49MBytes,954KBytes,1.06MBytes,0.00Bytes,1.12MBytes,573KBytes,573KBytes,1.93MBytes,0.00Bytes
iperf3_result_20231019154929.txt,527KBytes,255KBytes,127KBytes,0.00Bytes,0.00Bytes,385KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes
iperf3_result_20231019154530.txt,454KBytes,1.37MBytes,1.37MBytes,1.30MBytes,1.06MBytes,1.24MBytes,1.37MBytes,0.00Bytes,0.00Bytes,1.23MBytes
iperf3_result_20231019154518.txt,356KBytes,0.00Bytes,311KBytes,404KBytes,156KBytes,187KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes
iperf3_result_20231019155002.txt,1.19MBytes,509KBytes,0.00Bytes,0.00Bytes,0.00Bytes,766KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes
iperf3_result_20231019154730.txt,803KBytes,191KBytes,0.00Bytes,0.00Bytes,318KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes
iperf3_result_20231019155413.txt,902KBytes,1.18MBytes,1.06MBytes,1.37MBytes,1.74MBytes,1.43MBytes,1.74MBytes,1.23MBytes,0.00Bytes,0.00Bytes
iperf3_result_20231019154636.txt,1.79MBytes,2.17MBytes,1.68MBytes,1.30MBytes,1018KBytes,700KBytes,0.00Bytes,1.13MBytes,689KBytes,1.49MBytes
iperf3_result_20231019154541.txt,583KBytes,1.62MBytes,1.68MBytes,1.86MBytes,1.86MBytes,827KBytes,700KBytes,0.00Bytes,0.00Bytes,1.99MBytes
iperf3_result_20231019154741.txt,676KBytes,191KBytes,0.00Bytes,0.00Bytes,382KBytes,0.00Bytes,0.00Bytes,255KBytes,0.00Bytes,0.00Bytes
iperf3_result_20231019154803.txt,455KBytes,255KBytes,191KBytes,0.00Bytes,191KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes
