file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.05,11.00-12.00,12.00-13.00,13.00-14.00,11.00-11.66,11.00-11.51,11.00-11.23,13.00-13.31,11.00-11.06,11.00-11.11
iperf3_result_20231019155013.txt,10.4MBytes,9.24MBytes,4.28MBytes,3.08MBytes,2.66MBytes,2.29MBytes,2.03MBytes,2.29MBytes,2.20MBytes,6.83MBytes,7.63MBytes,10.85,,,,,,,,,,
iperf3_result_20231019154709.txt,7.66MBytes,7.21MBytes,7.01MBytes,6.17MBytes,7.78MBytes,7.12MBytes,8.77MBytes,8.31MBytes,6.93MBytes,7.81MBytes,3.05MBytes,10.32,,,,,,,,,,
iperf3_result_20231019154720.txt,7.81MBytes,10.2MBytes,9.13MBytes,8.82MBytes,8.85MBytes,10.0MBytes,11.1MBytes,10.9MBytes,10.8MBytes,10.7MBytes,2.86MBytes,10.31,,,,,,,,,,
iperf3_result_20231019154522.txt,8.12MBytes,10.1MBytes,10.4MBytes,7.77MBytes,10.4MBytes,11.8MBytes,11.6MBytes,12.2MBytes,11.9MBytes,11.3MBytes,3.24MBytes,10.25,,,,,,,,,,
iperf3_result_20231019155548.txt,6.56MBytes,2.99MBytes,4.07MBytes,3.52MBytes,5.20MBytes,11.0MBytes,11.8MBytes,11.6MBytes,10.2MBytes,2.34MBytes,1.25MBytes,10.51,,,,,,,,,,
iperf3_result_20231019154440.txt,10.8MBytes,10.2MBytes,9.58MBytes,9.23MBytes,9.24MBytes,9.38MBytes,9.39MBytes,10.6MBytes,9.82MBytes,8.67MBytes,1.93MBytes,10.19,,,,,,,,,,
iperf3_result_20231019160134.txt,10.9MBytes,10.3MBytes,2.67MBytes,6.39MBytes,9.95MBytes,12.9MBytes,11.5MBytes,8.11MBytes,3.02MBytes,2.94MBytes,276KBytes,10.09,,,,,,,,,,
iperf3_result_20231019155831.txt,4.96MBytes,6.37MBytes,6.20MBytes,6.29MBytes,6.50MBytes,6.41MBytes,5.91MBytes,6.57MBytes,5.34MBytes,6.02MBytes,2.53MBytes,10.49,,,,,,,,,,
iperf3_result_20231019155617.txt,5.40MBytes,12.1MBytes,11.4MBytes,4.33MBytes,2.90MBytes,2.81MBytes,2.79MBytes,2.59MBytes,2.40MBytes,2.14MBytes,1.31MBytes,10.49,,,,,,,,,,
iperf3_result_20231019155603.txt,6.33MBytes,3.04MBytes,6.90MBytes,11.5MBytes,12.1MBytes,12.3MBytes,9.89MBytes,2.32MBytes,1.67MBytes,2.15MBytes,2.55MBytes,>= 11.00,38.2KBytes,,,,,,,,,
