file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-12.00,12.00-13.00,13.00-14.00,14.00-14.13,13.00-13.94,12.00-12.45,14.00-14.18,14.00-14.19,14.00-14.16,14.00-15.00,15.00-16.00,16.00-16.61,12.00-12.40
iperf3_result_20231019164755.txt,5.69MBytes,6.24MBytes,5.82MBytes,6.33MBytes,5.21MBytes,5.10MBytes,5.60MBytes,5.11MBytes,7.88MBytes,10.8MBytes,2.98MBytes,10.29,,,,,,,,,,,,,
iperf3_result_20231019171614.txt,0.00Bytes,1.13MBytes,1.12MBytes,967KBytes,868KBytes,810KBytes,918KBytes,922KBytes,889KBytes,870KBytes,899KBytes,over 11.00,2.83KBytes,0.00Bytes,0.00Bytes,,,,,,,,,,
iperf3_result_20231019161956.txt,10.5MBytes,10.1MBytes,10.3MBytes,10.4MBytes,11.0MBytes,10.9MBytes,11.0MBytes,10.7MBytes,11.3MBytes,11.6MBytes,2.85MBytes,10.25,,,,,,,,,,,,,
iperf3_result_20231019164806.txt,7.60MBytes,8.05MBytes,10.3MBytes,6.20MBytes,5.87MBytes,7.30MBytes,6.80MBytes,7.73MBytes,9.09MBytes,8.86MBytes,2.62MBytes,10.28,,,,,,,,,,,,,
iperf3_result_20231019172042.txt,0.00Bytes,1010KBytes,711KBytes,834KBytes,728KBytes,926KBytes,778KBytes,768KBytes,848KBytes,884KBytes,860KBytes,over 11.00,2.83KBytes,0.00Bytes,0.00Bytes,0.00Bytes,,,,,,,,,
iperf3_result_20231019162331.txt,11.2MBytes,12.7MBytes,12.3MBytes,11.4MBytes,11.0MBytes,12.3MBytes,10.5MBytes,10.3MBytes,10.4MBytes,10.0MBytes,6.56MBytes,10.65,,,,,,,,,,,,,
iperf3_result_20231019165058.txt,7.92MBytes,8.34MBytes,9.50MBytes,10.1MBytes,7.79MBytes,7.69MBytes,10.0MBytes,8.47MBytes,8.48MBytes,8.82MBytes,4.88MBytes,10.49,,,,,,,,,,,,,
iperf3_result_20231019155831.txt,6.38MBytes,6.36MBytes,6.20MBytes,6.30MBytes,6.50MBytes,6.42MBytes,5.92MBytes,6.62MBytes,5.34MBytes,6.04MBytes,2.51MBytes,10.48,,,,,,,,,,,,,
iperf3_result_20231019164838.txt,8.73MBytes,10.0MBytes,9.10MBytes,9.00MBytes,10.7MBytes,11.2MBytes,10.1MBytes,8.73MBytes,10.0MBytes,10.2MBytes,1.98MBytes,10.23,,,,,,,,,,,,,
iperf3_result_20231019171831.txt,0.00Bytes,0.00Bytes,1.09MBytes,1.06MBytes,1012KBytes,1.07MBytes,1.01MBytes,1.02MBytes,932KBytes,1.03MBytes,1.08MBytes,over 11.00,0.00Bytes,0.00Bytes,,,0.00Bytes,,,,,,,,
