file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,0.00-1.03,1.03-2.00
iperf3_result_20231019164755.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019171614.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019161956.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019164806.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019172042.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019162331.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019165058.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019155831.txt,23.8MBytes,23.9MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019164838.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019171831.txt,,,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,1.41KBytes,47.7MBytes
iperf3_result_20231019161945.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019164817.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.9MBytes,23.8MBytes,,
iperf3_result_20231019164630.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019162320.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019164745.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019164911.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019162353.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019165004.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019161935.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.9MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019172020.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.6MBytes,24.1MBytes,,
iperf3_result_20231019164723.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019164640.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019164734.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019164651.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019161852.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019164900.txt,23.8MBytes,23.9MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019162342.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019165015.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019161924.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019171505.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019164849.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
iperf3_result_20231019171736.txt,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes,,
