file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-,total_time,11.00-11.24,11.00-12.00,12.00-12.84,11.00-11.22,12.00-13.00,13.00-14.00,14.00-14.11,11.00-11.04,13.00-13.37
iperf3_result_20231019164755.txt,35.4KBytes,60.8KBytes,97.6KBytes,147KBytes,214KBytes,305KBytes,454KBytes,628KBytes,913KBytes,1.22MBytes,2.50MBytes,10.26,,,,,,,,,
iperf3_result_20231019155417.txt,48.1KBytes,120KBytes,293KBytes,775KBytes,1.88MBytes,3.13MBytes,3.13MBytes,3.13MBytes,1.26MBytes,1.34MBytes,2.50MBytes,10.11,,,,,,,,,
iperf3_result_20231019164806.txt,42.4KBytes,94.7KBytes,246KBytes,428KBytes,761KBytes,1.39MBytes,1.96MBytes,2.74MBytes,3.12MBytes,3.12MBytes,6.25MBytes,10.22,,,,,,,,,
iperf3_result_20231019160256.txt,14.1KBytes,29.7KBytes,45.2KBytes,56.6KBytes,69.3KBytes,80.6KBytes,90.5KBytes,74.9KBytes,87.7KBytes,91.9KBytes,255KBytes,10.04,,,,,,,,,
iperf3_result_20231019165058.txt,43.8KBytes,96.2KBytes,233KBytes,437KBytes,682KBytes,959KBytes,1.28MBytes,1.66MBytes,2.08MBytes,2.53MBytes,6.25MBytes,10.43,,,,,,,,,
iperf3_result_20231019155429.txt,119KBytes,711KBytes,1.76MBytes,2.83MBytes,3.16MBytes,3.16MBytes,3.16MBytes,984KBytes,1.04MBytes,1.09MBytes,5.00MBytes,10.21,,,,,,,,,
iperf3_result_20231019164838.txt,46.7KBytes,115KBytes,279KBytes,522KBytes,865KBytes,1.27MBytes,1.70MBytes,1.27MBytes,1.48MBytes,1.61MBytes,3.75MBytes,10.21,,,,,,,,,
iperf3_result_20231019155820.txt,15.6KBytes,17.0KBytes,22.6KBytes,43.8KBytes,76.4KBytes,106KBytes,168KBytes,194KBytes,24.0KBytes,26.9KBytes,0.00Bytes,10.20,,,,,,,,,
iperf3_result_20231019160455.txt,24.0KBytes,52.3KBytes,99.0KBytes,153KBytes,139KBytes,148KBytes,130KBytes,140KBytes,141KBytes,141KBytes,382KBytes,10.03,,,,,,,,,
iperf3_result_20231019160244.txt,48.1KBytes,1.41KBytes,1.41KBytes,1.41KBytes,1.41KBytes,1.41KBytes,1.41KBytes,1.41KBytes,1.41KBytes,1.41KBytes,0.00Bytes,10.49,,,,,,,,,
iperf3_result_20231019164817.txt,39.6KBytes,83.4KBytes,194KBytes,369KBytes,646KBytes,889KBytes,1.15MBytes,1.55MBytes,1.94MBytes,2.38MBytes,3.75MBytes,10.26,,,,,,,,,
iperf3_result_20231019160443.txt,53.7KBytes,206KBytes,1.41KBytes,1.41KBytes,1.41KBytes,1.41KBytes,1.41KBytes,1.41KBytes,1.41KBytes,1.41KBytes,0.00Bytes,11.00,97.6KBytes,,,,,,,,
iperf3_result_20231019155407.txt,66.5KBytes,369KBytes,1.13MBytes,221KBytes,1.30MBytes,1.48MBytes,1.62MBytes,1.73MBytes,1.82MBytes,1.89MBytes,2.50MBytes,10.19,,,,,,,,,
iperf3_result_20231019160127.txt,14.1KBytes,1.41KBytes,1.41KBytes,1.41KBytes,5.66KBytes,5.66KBytes,5.66KBytes,5.66KBytes,5.66KBytes,5.66KBytes,0.00Bytes,10.48,,,,,,,,,
iperf3_result_20231019164745.txt,45.2KBytes,100KBytes,233KBytes,529KBytes,827KBytes,1.16MBytes,1.57MBytes,1.98MBytes,2.42MBytes,1.29MBytes,6.25MBytes,10.27,,,,,,,,,
iperf3_result_20231019155528.txt,1.41KBytes,1.41KBytes,21.2KBytes,21.2KBytes,21.2KBytes,9.90KBytes,12.7KBytes,14.1KBytes,14.1KBytes,7.07KBytes,0.00Bytes,11.00,,9.90KBytes,8.48KBytes,,,,,,
iperf3_result_20231019164911.txt,31.1KBytes,67.9KBytes,141KBytes,300KBytes,550KBytes,901KBytes,1.30MBytes,1.74MBytes,2.23MBytes,1.50MBytes,5.00MBytes,10.22,,,,,,,,,
iperf3_result_20231019165004.txt,31.1KBytes,50.9KBytes,79.2KBytes,129KBytes,174KBytes,266KBytes,382KBytes,525KBytes,690KBytes,1.03MBytes,5.00MBytes,10.28,,,,,,,,,
iperf3_result_20231019155703.txt,79.2KBytes,93.3KBytes,94.7KBytes,97.6KBytes,69.3KBytes,80.6KBytes,46.7KBytes,36.8KBytes,46.7KBytes,32.5KBytes,0.00Bytes,11.00,,,,,,,,,
iperf3_result_20231019164723.txt,48.1KBytes,117KBytes,218KBytes,402KBytes,619KBytes,945KBytes,1.33MBytes,1.72MBytes,1.19MBytes,922KBytes,2.50MBytes,10.16,,,,,,,,,
iperf3_result_20231019155515.txt,1.41KBytes,2.83KBytes,2.83KBytes,2.83KBytes,1.41KBytes,2.83KBytes,2.83KBytes,4.24KBytes,2.83KBytes,2.83KBytes,0.00Bytes,10.83,,,,,,,,,
iperf3_result_20231019160433.txt,12.7KBytes,11.3KBytes,22.6KBytes,7.07KBytes,11.3KBytes,12.7KBytes,5.66KBytes,8.48KBytes,9.90KBytes,24.0KBytes,,,,,,,,,,,
