file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,0.00-9.50,9.50-10.00
iperf3_result_20231019164755.txt,471KBytes,532KBytes,703KBytes,1.08MBytes,1.37MBytes,1.88MBytes,3.05MBytes,3.22MBytes,5.76MBytes,7.39MBytes,,
iperf3_result_20231019155417.txt,745KBytes,1.43MBytes,3.38MBytes,9.66MBytes,22.5MBytes,33.9MBytes,21.9MBytes,21.5MBytes,21.0MBytes,18.1MBytes,,
iperf3_result_20231019164806.txt,609KBytes,1.03MBytes,3.12MBytes,3.79MBytes,6.23MBytes,13.9MBytes,12.1MBytes,16.3MBytes,18.4MBytes,19.5MBytes,,
iperf3_result_20231019160256.txt,150KBytes,472KBytes,716KBytes,904KBytes,1.01MBytes,997KBytes,1.09MBytes,979KBytes,1.11MBytes,1.18MBytes,,
iperf3_result_20231019165058.txt,665KBytes,1.05MBytes,2.81MBytes,3.89MBytes,4.95MBytes,5.79MBytes,6.85MBytes,8.48MBytes,8.70MBytes,9.32MBytes,,
iperf3_result_20231019155429.txt,2.16MBytes,12.0MBytes,21.4MBytes,21.5MBytes,23.2MBytes,34.0MBytes,22.1MBytes,19.7MBytes,21.1MBytes,21.1MBytes,,
iperf3_result_20231019164838.txt,704KBytes,1.46MBytes,3.33MBytes,4.66MBytes,7.34MBytes,8.71MBytes,9.25MBytes,10.6MBytes,10.1MBytes,8.76MBytes,,
iperf3_result_20231019155820.txt,59.4KBytes,32.5KBytes,35.4KBytes,36.8KBytes,96.2KBytes,178KBytes,148KBytes,133KBytes,41.0KBytes,133KBytes,,
iperf3_result_20231019160455.txt,229KBytes,551KBytes,996KBytes,1.08MBytes,1.11MBytes,987KBytes,1.02MBytes,1.07MBytes,1.03MBytes,1.43MBytes,,
iperf3_result_20231019160244.txt,754KBytes,221KBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,63.6KBytes,,
iperf3_result_20231019164817.txt,571KBytes,957KBytes,2.21MBytes,3.35MBytes,5.34MBytes,5.58MBytes,5.86MBytes,8.40MBytes,7.09MBytes,8.48MBytes,,
iperf3_result_20231019160443.txt,853KBytes,3.15MBytes,2.64MBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,31.1KBytes,,
