file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-12.00,12.00-13.00,13.00-14.00,14.00-14.07,11.00-11.38,11.00-11.66,11.00-11.55,11.00-11.23,11.00-11.71,11.00-11.36,13.00-13.76,11.00-11.02,12.00-12.20,11.00-11.04
iperf3_result_20231019155013.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,10.3MBytes,10.86,,,,,,,,,,,,,,
iperf3_result_20231019154907.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,9.31MBytes,10.78,,,,,,,,,,,,,,
iperf3_result_20231019160256.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,976KBytes,10.08,,,,,,,,,,,,,,
iperf3_result_20231019160134.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,1.37MBytes,10.11,,,,,,,,,,,,,,
iperf3_result_20231019155831.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,5.74MBytes,10.48,,,,,,,,,,,,,,
iperf3_result_20231019160119.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,>= 11.00,11.9MBytes,11.9MBytes,11.9MBytes,854KBytes,,,,,,,,,,
iperf3_result_20231019155820.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,1.49MBytes,10.12,,,,,,,,,,,,,,
iperf3_result_20231019160455.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,795KBytes,10.06,,,,,,,,,,,,,,
iperf3_result_20231019154929.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,4.29MBytes,10.36,,,,,,,,,,,,,,
iperf3_result_20231019155002.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,4.78MBytes,10.40,,,,,,,,,,,,,,
