file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019162251.txt,24.0MBytes,23.8MBytes,23.8MBytes,23.7MBytes,24.0MBytes,23.9MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.8MBytes
iperf3_result_20231019160256.txt,7.30MBytes,10.0MBytes,9.20MBytes,7.87MBytes,7.14MBytes,6.04MBytes,5.86MBytes,6.07MBytes,6.23MBytes,5.91MBytes
iperf3_result_20231019155010.txt,8.63MBytes,24.1MBytes,17.8MBytes,6.05MBytes,4.39MBytes,4.33MBytes,4.32MBytes,4.33MBytes,4.42MBytes,4.40MBytes
iperf3_result_20231019162119.txt,24.1MBytes,23.7MBytes,23.9MBytes,24.0MBytes,23.8MBytes,23.8MBytes,23.9MBytes,23.8MBytes,23.9MBytes,23.8MBytes
iperf3_result_20231019162336.txt,8.06MBytes,9.45MBytes,9.10MBytes,8.49MBytes,9.58MBytes,19.4MBytes,13.1MBytes,9.66MBytes,16.8MBytes,9.93MBytes
iperf3_result_20231019155820.txt,19.1MBytes,19.0MBytes,21.3MBytes,22.7MBytes,22.6MBytes,21.7MBytes,16.4MBytes,22.5MBytes,17.6MBytes,14.6MBytes
iperf3_result_20231019160455.txt,7.21MBytes,7.08MBytes,5.97MBytes,5.67MBytes,5.79MBytes,5.94MBytes,6.06MBytes,5.96MBytes,5.95MBytes,12.6MBytes
iperf3_result_20231019162109.txt,23.8MBytes,24.0MBytes,23.8MBytes,23.8MBytes,23.8MBytes,23.9MBytes,23.8MBytes,23.8MBytes,23.7MBytes,23.4MBytes
iperf3_result_20231019162323.txt,17.4MBytes,14.2MBytes,13.6MBytes,15.0MBytes,14.1MBytes,11.1MBytes,26.6MBytes,18.2MBytes,11.4MBytes,15.0MBytes
iperf3_result_20231019162241.txt,24.0MBytes,23.8MBytes,23.6MBytes,22.6MBytes,22.8MBytes,23.7MBytes,24.5MBytes,23.7MBytes,23.9MBytes,23.9MBytes
iperf3_result_20231019160443.txt,24.0MBytes,23.6MBytes,9.67MBytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,0.00Bytes,119KBytes
