file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-,total_time,11.00-11.16,11.00-11.13,11.00-11.07,11.00-11.17,11.00-11.01,11.00-11.47,11.00-11.11,11.00-11.23
iperf3_result_20231019182039.txt,10.4MBytes,12.1MBytes,11.0MBytes,11.9MBytes,12.2MBytes,11.9MBytes,11.8MBytes,11.9MBytes,11.9MBytes,11.7MBytes,1.69MBytes,10.14,,,,,,,,
iperf3_result_20231019182818.txt,2.26MBytes,1.21MBytes,727KBytes,665KBytes,543KBytes,21.2KBytes,4.24KBytes,564KBytes,311KBytes,48.1KBytes,421KBytes,10.96,,,,,,,,
iperf3_result_20231019182401.txt,1.47MBytes,1.43MBytes,1.29MBytes,1.01MBytes,1.06MBytes,1.10MBytes,892KBytes,959KBytes,1012KBytes,214KBytes,880KBytes,11.00,,,,,,,,
iperf3_result_20231019181646.txt,3.93MBytes,12.2MBytes,12.1MBytes,12.4MBytes,11.9MBytes,11.6MBytes,11.4MBytes,12.1MBytes,12.2MBytes,11.8MBytes,2.56MBytes,10.22,,,,,,,,
iperf3_result_20231019181337.txt,10.9MBytes,11.9MBytes,12.3MBytes,12.1MBytes,11.7MBytes,11.4MBytes,11.6MBytes,11.9MBytes,11.5MBytes,11.8MBytes,1.88MBytes,10.17,,,,,,,,
iperf3_result_20231019182616.txt,2.48MBytes,1.21MBytes,846KBytes,645KBytes,461KBytes,123KBytes,24.0KBytes,0.00Bytes,286KBytes,765KBytes,59.4KBytes,10.96,,,,,,,,
iperf3_result_20231019183126.txt,2.53MBytes,1.54MBytes,1.04MBytes,796KBytes,653KBytes,284KBytes,321KBytes,501KBytes,344KBytes,352KBytes,407KBytes,10.96,,,,,,,,
iperf3_result_20231019183244.txt,1.14MBytes,1007KBytes,693KBytes,486KBytes,428KBytes,386KBytes,73.5KBytes,177KBytes,344KBytes,307KBytes,89.1KBytes,10.97,,,,,,,,
iperf3_result_20231019183053.txt,1.71MBytes,836KBytes,564KBytes,518KBytes,280KBytes,73.5KBytes,58.0KBytes,0.00Bytes,829KBytes,0.00Bytes,0.00Bytes,11.00,,,,,,,,
iperf3_result_20231019182946.txt,1.08MBytes,666KBytes,488KBytes,390KBytes,174KBytes,119KBytes,303KBytes,250KBytes,0.00Bytes,455KBytes,100KBytes,10.99,,,,,,,,
iperf3_result_20231019181917.txt,10.5MBytes,11.0MBytes,12.3MBytes,12.2MBytes,12.2MBytes,11.6MBytes,11.7MBytes,12.1MBytes,12.0MBytes,11.9MBytes,1.66MBytes,10.14,,,,,,,,
iperf3_result_20231019182211.txt,11.1MBytes,12.1MBytes,11.3MBytes,12.0MBytes,12.0MBytes,12.3MBytes,12.1MBytes,11.5MBytes,11.2MBytes,11.5MBytes,1.59MBytes,10.15,,,,,,,,
iperf3_result_20231019183137.txt,2.10MBytes,1.15MBytes,720KBytes,544KBytes,187KBytes,260KBytes,402KBytes,136KBytes,0.00Bytes,406KBytes,4.24KBytes,11.00,,,,,,,,
