file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019182039.txt,13.9MBytes,12.5MBytes,11.2MBytes,11.2MBytes,12.5MBytes,11.2MBytes,12.5MBytes,11.2MBytes,12.5MBytes,11.2MBytes
iperf3_result_20231019182818.txt,4.85MBytes,1.06MBytes,1018KBytes,0.00Bytes,1.12MBytes,0.00Bytes,0.00Bytes,0.00Bytes,1.23MBytes,0.00Bytes
iperf3_result_20231019182401.txt,3.96MBytes,2.36MBytes,1.18MBytes,1.25MBytes,0.00Bytes,1.25MBytes,1.25MBytes,1.25MBytes,1.25MBytes,0.00Bytes
iperf3_result_20231019181646.txt,8.50MBytes,12.5MBytes,12.5MBytes,12.5MBytes,11.2MBytes,11.2MBytes,11.2MBytes,12.5MBytes,12.5MBytes,11.2MBytes
iperf3_result_20231019181337.txt,14.0MBytes,12.5MBytes,12.5MBytes,11.2MBytes,12.5MBytes,11.2MBytes,11.2MBytes,12.5MBytes,11.2MBytes,12.5MBytes
iperf3_result_20231019182616.txt,4.75MBytes,954KBytes,954KBytes,1018KBytes,0.00Bytes,1.06MBytes,0.00Bytes,0.00Bytes,0.00Bytes,1.18MBytes
iperf3_result_20231019183126.txt,5.60MBytes,1.15MBytes,1.15MBytes,1.23MBytes,0.00Bytes,1.25MBytes,0.00Bytes,0.00Bytes,1.25MBytes,0.00Bytes
iperf3_result_20231019183244.txt,2.68MBytes,1.24MBytes,700KBytes,764KBytes,0.00Bytes,827KBytes,0.00Bytes,0.00Bytes,891KBytes,0.00Bytes
iperf3_result_20231019183053.txt,3.67MBytes,827KBytes,891KBytes,0.00Bytes,954KBytes,0.00Bytes,0.00Bytes,0.00Bytes,1.18MBytes,0.00Bytes
iperf3_result_20231019182946.txt,2.36MBytes,636KBytes,636KBytes,700KBytes,0.00Bytes,0.00Bytes,954KBytes,0.00Bytes,0.00Bytes,764KBytes
iperf3_result_20231019181917.txt,13.6MBytes,11.2MBytes,12.5MBytes,12.5MBytes,11.2MBytes,12.5MBytes,11.2MBytes,12.5MBytes,12.5MBytes,11.2MBytes
