file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time,11.00-11.05,11.00-11.06,11.00-11.27,11.00-11.01,11.00-11.07,11.00-11.13,11.00-11.02,11.00-11.08,11.00-11.17,11.00-11.04,11.00-11.52,11.00-11.00,11.00-11.35,11.00-11.16,11.00-11.47,11.00-11.23,11.00-11.09,11.00-11.03
iperf3_result_20231019182818.txt,4.59MBytes,5.25MBytes,5.46MBytes,5.44MBytes,5.58MBytes,5.52MBytes,5.71MBytes,5.88MBytes,5.95MBytes,5.91MBytes,5.80MBytes,10.96,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182616.txt,4.45MBytes,5.76MBytes,5.68MBytes,5.66MBytes,5.21MBytes,5.45MBytes,5.57MBytes,5.84MBytes,6.41MBytes,6.10MBytes,6.21MBytes,10.97,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183126.txt,4.77MBytes,5.38MBytes,5.62MBytes,5.75MBytes,5.57MBytes,4.56MBytes,5.91MBytes,6.28MBytes,5.81MBytes,6.26MBytes,6.01MBytes,10.97,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183456.txt,6.19MBytes,6.37MBytes,6.34MBytes,6.00MBytes,6.71MBytes,4.96MBytes,6.57MBytes,5.73MBytes,5.90MBytes,6.21MBytes,5.74MBytes,>= 11.00,382KBytes,,,,,,,,,,,,,,,,,
iperf3_result_20231019183244.txt,5.32MBytes,6.04MBytes,5.75MBytes,5.91MBytes,6.07MBytes,5.60MBytes,5.96MBytes,6.00MBytes,6.14MBytes,5.81MBytes,6.07MBytes,10.98,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183053.txt,4.70MBytes,5.43MBytes,5.86MBytes,5.84MBytes,5.50MBytes,5.70MBytes,5.86MBytes,5.16MBytes,3.89MBytes,5.89MBytes,5.73MBytes,>= 11.00,,382KBytes,,,,,,,,,,,,,,,,
iperf3_result_20231019183721.txt,5.74MBytes,6.69MBytes,6.23MBytes,6.46MBytes,6.16MBytes,6.09MBytes,6.06MBytes,6.25MBytes,5.62MBytes,6.17MBytes,5.36MBytes,>= 11.00,,,969KBytes,,,,,,,,,,,,,,,
iperf3_result_20231019182946.txt,4.92MBytes,5.80MBytes,5.83MBytes,6.01MBytes,6.22MBytes,6.12MBytes,5.99MBytes,6.02MBytes,6.05MBytes,5.97MBytes,6.09MBytes,>= 11.00,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183137.txt,4.73MBytes,5.45MBytes,5.06MBytes,5.70MBytes,5.70MBytes,6.11MBytes,6.28MBytes,4.22MBytes,2.28MBytes,2.44MBytes,6.02MBytes,>= 11.00,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183255.txt,5.13MBytes,5.79MBytes,5.98MBytes,5.64MBytes,5.90MBytes,5.62MBytes,4.98MBytes,6.23MBytes,6.11MBytes,6.09MBytes,5.88MBytes,10.97,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182605.txt,4.78MBytes,5.46MBytes,5.72MBytes,5.73MBytes,5.54MBytes,5.70MBytes,6.10MBytes,6.07MBytes,5.95MBytes,6.25MBytes,6.11MBytes,10.98,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182638.txt,4.83MBytes,5.36MBytes,5.82MBytes,5.87MBytes,5.98MBytes,5.84MBytes,3.01MBytes,2.30MBytes,3.61MBytes,5.99MBytes,6.25MBytes,>= 11.00,,,,26.9KBytes,,,,,,,,,,,,,,
iperf3_result_20231019182957.txt,4.72MBytes,5.64MBytes,5.46MBytes,5.17MBytes,4.72MBytes,6.12MBytes,5.41MBytes,5.63MBytes,5.54MBytes,6.02MBytes,5.62MBytes,>= 11.00,,,,,433KBytes,,,,,,,,,,,,,
iperf3_result_20231019183530.txt,5.91MBytes,5.92MBytes,5.25MBytes,6.37MBytes,6.49MBytes,6.23MBytes,6.36MBytes,5.49MBytes,6.12MBytes,6.46MBytes,6.01MBytes,10.94,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183732.txt,5.46MBytes,6.40MBytes,6.26MBytes,6.30MBytes,6.26MBytes,6.48MBytes,6.06MBytes,5.79MBytes,6.33MBytes,6.20MBytes,6.42MBytes,10.99,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183041.txt,5.06MBytes,5.68MBytes,5.76MBytes,5.78MBytes,6.34MBytes,6.14MBytes,5.90MBytes,5.42MBytes,5.59MBytes,6.09MBytes,5.26MBytes,>= 11.00,,,,,,847KBytes,,,,,,,,,,,,
iperf3_result_20231019183519.txt,5.40MBytes,6.13MBytes,5.84MBytes,6.12MBytes,6.07MBytes,6.24MBytes,6.18MBytes,6.37MBytes,6.69MBytes,6.41MBytes,6.19MBytes,10.94,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183445.txt,6.02MBytes,6.36MBytes,6.59MBytes,6.42MBytes,5.95MBytes,6.06MBytes,6.52MBytes,6.28MBytes,6.41MBytes,6.15MBytes,6.04MBytes,10.94,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183350.txt,5.12MBytes,5.72MBytes,5.94MBytes,6.19MBytes,5.79MBytes,6.14MBytes,5.92MBytes,5.94MBytes,5.71MBytes,6.04MBytes,6.06MBytes,10.97,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183754.txt,6.09MBytes,6.20MBytes,6.10MBytes,6.31MBytes,6.24MBytes,6.26MBytes,5.97MBytes,4.30MBytes,5.76MBytes,5.73MBytes,6.14MBytes,10.98,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182649.txt,6.01MBytes,6.14MBytes,6.18MBytes,6.24MBytes,6.28MBytes,6.39MBytes,6.37MBytes,6.09MBytes,6.20MBytes,5.49MBytes,5.82MBytes,>= 11.00,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183423.txt,5.75MBytes,6.17MBytes,6.57MBytes,6.18MBytes,6.12MBytes,5.93MBytes,6.25MBytes,6.37MBytes,5.11MBytes,6.33MBytes,5.99MBytes,>= 11.00,,158KBytes,,,,,,,,,,,,,,,,
iperf3_result_20231019182701.txt,4.11MBytes,5.58MBytes,6.16MBytes,5.80MBytes,6.17MBytes,6.32MBytes,6.29MBytes,6.31MBytes,6.21MBytes,6.55MBytes,6.09MBytes,10.95,,,,,,,,,,,,,,,,,,
iperf3_result_20231019182924.txt,5.32MBytes,5.49MBytes,5.67MBytes,5.85MBytes,5.83MBytes,6.02MBytes,5.88MBytes,5.11MBytes,6.06MBytes,6.28MBytes,6.24MBytes,10.97,,,,,,,,,,,,,,,,,,
iperf3_result_20231019183233.txt,5.39MBytes,6.02MBytes,6.10MBytes,6.06MBytes,5.97MBytes,5.93MBytes,5.35MBytes,5.74MBytes,5.34MBytes,5.24MBytes,5.88MBytes,>= 11.00,,,,,,,93.3KBytes,,,,,,,,,,,
iperf3_result_20231019183019.txt,5.10MBytes,5.63MBytes,5.35MBytes,5.19MBytes,5.67MBytes,6.08MBytes,5.85MBytes,5.92MBytes,5.68MBytes,5.72MBytes,5.62MBytes,>= 11.00,,,,,,,,464KBytes,,,,,,,,,,
