file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019182818.txt,6.03MBytes,6.60MBytes,6.75MBytes,6.81MBytes,6.89MBytes,7.07MBytes,7.01MBytes,7.13MBytes,7.17MBytes,7.20MBytes
iperf3_result_20231019182616.txt,6.15MBytes,6.92MBytes,7.07MBytes,7.21MBytes,7.31MBytes,7.38MBytes,7.39MBytes,7.46MBytes,7.48MBytes,7.49MBytes
iperf3_result_20231019183126.txt,6.13MBytes,6.82MBytes,7.06MBytes,7.08MBytes,6.52MBytes,6.73MBytes,6.66MBytes,6.60MBytes,6.78MBytes,6.78MBytes
iperf3_result_20231019183456.txt,7.30MBytes,7.17MBytes,7.55MBytes,7.79MBytes,8.18MBytes,7.68MBytes,7.26MBytes,7.08MBytes,7.07MBytes,7.05MBytes
iperf3_result_20231019183244.txt,6.71MBytes,6.98MBytes,7.29MBytes,7.22MBytes,6.62MBytes,6.60MBytes,6.49MBytes,6.73MBytes,6.37MBytes,6.80MBytes
iperf3_result_20231019183053.txt,6.69MBytes,7.11MBytes,7.34MBytes,7.19MBytes,6.75MBytes,6.77MBytes,6.75MBytes,6.73MBytes,6.85MBytes,6.87MBytes
iperf3_result_20231019183721.txt,7.76MBytes,7.75MBytes,7.84MBytes,7.55MBytes,7.11MBytes,7.24MBytes,7.65MBytes,7.46MBytes,7.39MBytes,7.84MBytes
iperf3_result_20231019182946.txt,7.03MBytes,7.37MBytes,7.42MBytes,7.51MBytes,6.79MBytes,6.79MBytes,6.81MBytes,6.87MBytes,6.86MBytes,6.93MBytes
iperf3_result_20231019183137.txt,6.36MBytes,6.96MBytes,7.28MBytes,7.47MBytes,6.74MBytes,6.69MBytes,6.66MBytes,6.83MBytes,6.96MBytes,6.95MBytes
iperf3_result_20231019183255.txt,6.64MBytes,7.25MBytes,7.24MBytes,7.23MBytes,6.62MBytes,6.68MBytes,6.71MBytes,6.87MBytes,6.75MBytes,6.78MBytes
