file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-,total_time,11.00-11.43,11.00-11.31,11.00-11.30,11.00-11.80,11.00-11.21,11.00-11.79,11.00-11.60
iperf3_result_20231019144724.txt,5.78MBytes,5.70MBytes,6.27MBytes,5.81MBytes,5.95MBytes,4.32MBytes,5.70MBytes,5.28MBytes,4.99MBytes,5.08MBytes,1.33MBytes,10.25,,,,,,,
iperf3_result_20231019150037.txt,2.66MBytes,3.33MBytes,3.31MBytes,3.43MBytes,3.19MBytes,4.08MBytes,4.47MBytes,4.24MBytes,4.10MBytes,4.91MBytes,1.58MBytes,10.31,,,,,,,
iperf3_result_20231019144651.txt,2.46MBytes,4.28MBytes,7.88MBytes,8.80MBytes,9.11MBytes,8.75MBytes,7.70MBytes,7.85MBytes,6.06MBytes,7.25MBytes,1.54MBytes,10.22,,,,,,,
iperf3_result_20231019145229.txt,3.08MBytes,4.63MBytes,5.11MBytes,4.60MBytes,4.40MBytes,4.24MBytes,4.41MBytes,4.20MBytes,4.38MBytes,3.29MBytes,1.53MBytes,10.27,,,,,,,
iperf3_result_20231019150342.txt,3.91MBytes,4.14MBytes,4.01MBytes,3.36MBytes,3.80MBytes,4.42MBytes,4.36MBytes,4.17MBytes,3.66MBytes,4.69MBytes,1.62MBytes,10.38,,,,,,,
iperf3_result_20231019144901.txt,3.62MBytes,3.93MBytes,3.23MBytes,4.18MBytes,4.31MBytes,4.25MBytes,3.95MBytes,4.15MBytes,4.78MBytes,4.99MBytes,1.33MBytes,10.25,,,,,,,
iperf3_result_20231019150009.txt,618KBytes,1.07MBytes,1.25MBytes,1.75MBytes,2.09MBytes,2.85MBytes,2.88MBytes,2.69MBytes,4.14MBytes,10.8MBytes,864KBytes,10.08,,,,,,,
iperf3_result_20231019145404.txt,2.90MBytes,7.67MBytes,9.29MBytes,10.4MBytes,10.4MBytes,9.83MBytes,10.0MBytes,9.96MBytes,9.98MBytes,8.07MBytes,632KBytes,10.05,,,,,,,
iperf3_result_20231019145558.txt,7.99MBytes,9.94MBytes,8.10MBytes,9.26MBytes,9.10MBytes,10.7MBytes,10.6MBytes,10.5MBytes,9.88MBytes,9.91MBytes,1.24MBytes,10.12,,,,,,,
iperf3_result_20231019145955.txt,168KBytes,382KBytes,2.20MBytes,3.01MBytes,1.94MBytes,3.07MBytes,2.87MBytes,1.87MBytes,810KBytes,406KBytes,14.1KBytes,11.00,,,,,,,
iperf3_result_20231019145010.txt,4.32MBytes,4.15MBytes,4.04MBytes,3.45MBytes,4.63MBytes,4.57MBytes,4.76MBytes,4.45MBytes,4.25MBytes,3.72MBytes,1.57MBytes,10.40,,,,,,,
iperf3_result_20231019150353.txt,4.41MBytes,4.43MBytes,4.92MBytes,4.77MBytes,3.83MBytes,4.26MBytes,4.37MBytes,3.05MBytes,3.98MBytes,4.40MBytes,1.63MBytes,10.33,,,,,,,
iperf3_result_20231019145548.txt,8.87MBytes,8.64MBytes,7.55MBytes,9.50MBytes,9.32MBytes,8.87MBytes,7.84MBytes,8.93MBytes,9.64MBytes,9.06MBytes,1.67MBytes,10.16,,,,,,,
iperf3_result_20231019144736.txt,5.32MBytes,5.91MBytes,5.90MBytes,5.92MBytes,5.80MBytes,5.33MBytes,5.17MBytes,4.55MBytes,4.92MBytes,5.02MBytes,1.62MBytes,10.32,,,,,,,
iperf3_result_20231019144911.txt,4.66MBytes,4.69MBytes,5.10MBytes,4.51MBytes,4.65MBytes,3.05MBytes,1.31MBytes,396KBytes,0.00Bytes,0.00Bytes,15.6KBytes,11.00,440KBytes,,,,,,
iperf3_result_20231019150232.txt,4.57MBytes,5.91MBytes,6.43MBytes,5.96MBytes,5.66MBytes,5.15MBytes,4.87MBytes,4.00MBytes,4.53MBytes,6.58MBytes,1.62MBytes,10.16,,,,,,,
iperf3_result_20231019144938.txt,5.19MBytes,5.20MBytes,4.81MBytes,5.16MBytes,5.03MBytes,4.99MBytes,4.39MBytes,4.80MBytes,3.80MBytes,4.67MBytes,1.50MBytes,10.33,,,,,,,
iperf3_result_20231019145415.txt,7.73MBytes,9.14MBytes,9.73MBytes,9.31MBytes,10.2MBytes,8.65MBytes,7.97MBytes,9.54MBytes,7.79MBytes,7.58MBytes,436KBytes,10.06,,,,,,,
iperf3_result_20231019145944.txt,1.80MBytes,1.82MBytes,884KBytes,4.98MBytes,4.01MBytes,2.84MBytes,2.32MBytes,1.75MBytes,1.74MBytes,1.40MBytes,416KBytes,10.36,,,,,,,
iperf3_result_20231019150146.txt,3.29MBytes,5.39MBytes,4.01MBytes,3.92MBytes,2.15MBytes,378KBytes,246KBytes,48.1KBytes,9.90KBytes,0.00Bytes,0.00Bytes,11.00,,0.00Bytes,,,,,
iperf3_result_20231019144641.txt,286KBytes,512KBytes,2.39MBytes,1.14MBytes,957KBytes,2.28MBytes,4.72MBytes,5.63MBytes,5.89MBytes,6.73MBytes,1.30MBytes,10.21,,,,,,,
iperf3_result_20231019150218.txt,510KBytes,776KBytes,967KBytes,1.10MBytes,1.39MBytes,1.74MBytes,2.13MBytes,2.03MBytes,1.73MBytes,8.45MBytes,909KBytes,10.10,,,,,,,
iperf3_result_20231019145629.txt,7.61MBytes,8.09MBytes,10.5MBytes,9.99MBytes,9.57MBytes,9.48MBytes,9.50MBytes,10.0MBytes,10.6MBytes,9.69MBytes,1.59MBytes,10.18,,,,,,,
iperf3_result_20231019145826.txt,3.51MBytes,2.42MBytes,642KBytes,438KBytes,161KBytes,0.00Bytes,0.00Bytes,305KBytes,1.41KBytes,120KBytes,163KBytes,11.00,,,0.00Bytes,,,,
iperf3_result_20231019150027.txt,6.81MBytes,9.48MBytes,8.28MBytes,6.28MBytes,7.24MBytes,5.79MBytes,5.87MBytes,5.18MBytes,5.29MBytes,6.51MBytes,1.68MBytes,10.18,,,,,,,
iperf3_result_20231019150120.txt,3.94MBytes,3.98MBytes,4.31MBytes,4.22MBytes,1.19MBytes,765KBytes,0.00Bytes,5.66KBytes,2.83KBytes,0.00Bytes,0.00Bytes,11.00,,,,2.83KBytes,,,
iperf3_result_20231019145114.txt,2.67MBytes,2.80MBytes,2.57MBytes,2.91MBytes,2.75MBytes,3.60MBytes,3.68MBytes,4.13MBytes,4.54MBytes,5.16MBytes,1.06MBytes,10.22,,,,,,,
iperf3_result_20231019150243.txt,2.99MBytes,3.52MBytes,3.72MBytes,3.78MBytes,3.84MBytes,3.35MBytes,3.46MBytes,4.10MBytes,4.07MBytes,4.14MBytes,1.48MBytes,10.31,,,,,,,
iperf3_result_20231019144949.txt,4.45MBytes,4.44MBytes,2.05MBytes,4.01MBytes,4.17MBytes,4.35MBytes,4.75MBytes,4.66MBytes,4.72MBytes,5.03MBytes,1.59MBytes,10.30,,,,,,,
iperf3_result_20231019144746.txt,5.32MBytes,6.21MBytes,5.82MBytes,5.31MBytes,5.94MBytes,5.61MBytes,4.72MBytes,4.46MBytes,3.98MBytes,4.26MBytes,1.71MBytes,10.39,,,,,,,
