file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-,total_time,11.00-11.19,11.00-11.04,11.00-11.00,11.00-11.05,11.00-11.02,11.00-11.06,11.00-11.12,11.00-11.25,11.00-11.09,11.00-11.15,11.00-12.00,12.00-12.54,11.00-11.14,11.00-11.07,11.00-11.01,11.00-11.11,11.00-11.08,11.00-11.03,11.00-11.18,11.00-11.16,11.00-11.22,11.00-11.21,11.00-11.49,11.00-11.30,11.00-11.26,11.00-11.17,11.00-11.38,11.00-11.37,11.00-11.24,11.00-11.10,11.00-11.13,11.00-11.52
iperf3_result_20231019153847.txt,5.56MBytes,5.33MBytes,5.50MBytes,5.76MBytes,6.17MBytes,6.11MBytes,5.93MBytes,6.10MBytes,4.90MBytes,5.22MBytes,5.10MBytes,11.00,1.09MBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154457.txt,5.56MBytes,6.03MBytes,4.60MBytes,6.06MBytes,6.04MBytes,5.73MBytes,6.00MBytes,5.90MBytes,5.67MBytes,5.54MBytes,5.91MBytes,11.00,,249KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153728.txt,5.22MBytes,5.17MBytes,5.37MBytes,5.86MBytes,5.54MBytes,6.07MBytes,6.06MBytes,6.15MBytes,6.07MBytes,5.62MBytes,6.18MBytes,11.00,,,19.8KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154913.txt,5.30MBytes,5.16MBytes,5.70MBytes,5.40MBytes,5.78MBytes,6.13MBytes,5.70MBytes,5.47MBytes,5.96MBytes,5.97MBytes,5.98MBytes,11.00,,236KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154244.txt,5.06MBytes,6.11MBytes,5.69MBytes,5.86MBytes,5.17MBytes,6.02MBytes,5.90MBytes,4.18MBytes,6.01MBytes,5.84MBytes,5.84MBytes,11.00,,,,313KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154508.txt,5.35MBytes,6.00MBytes,6.19MBytes,5.92MBytes,5.94MBytes,5.45MBytes,5.22MBytes,5.77MBytes,5.61MBytes,5.98MBytes,6.01MBytes,11.00,,318KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154722.txt,5.59MBytes,5.62MBytes,6.08MBytes,6.06MBytes,5.77MBytes,6.08MBytes,5.58MBytes,5.73MBytes,4.95MBytes,6.16MBytes,5.99MBytes,11.00,,,,,146KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153931.txt,5.09MBytes,5.75MBytes,5.32MBytes,5.36MBytes,4.89MBytes,4.86MBytes,5.58MBytes,5.72MBytes,5.73MBytes,5.76MBytes,5.74MBytes,11.00,,,,,,406KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153716.txt,5.36MBytes,6.03MBytes,5.97MBytes,5.92MBytes,6.02MBytes,5.57MBytes,5.34MBytes,5.68MBytes,4.96MBytes,5.48MBytes,5.98MBytes,11.00,,205KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153458.txt,9.76MBytes,10.4MBytes,7.83MBytes,10.7MBytes,10.4MBytes,10.7MBytes,10.4MBytes,11.6MBytes,11.4MBytes,8.54MBytes,10.4MBytes,11.00,,,,,,,1.27MBytes,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154519.txt,5.38MBytes,5.43MBytes,5.76MBytes,5.66MBytes,5.94MBytes,5.54MBytes,5.98MBytes,5.83MBytes,6.05MBytes,5.77MBytes,4.69MBytes,11.00,,,,,,,,1.38MBytes,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154733.txt,5.14MBytes,5.73MBytes,5.76MBytes,5.79MBytes,5.40MBytes,5.86MBytes,6.03MBytes,5.65MBytes,5.65MBytes,3.93MBytes,6.19MBytes,11.00,,,,,,,,,337KBytes,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153909.txt,5.34MBytes,5.42MBytes,6.04MBytes,5.29MBytes,4.67MBytes,4.72MBytes,5.39MBytes,5.30MBytes,5.45MBytes,5.49MBytes,5.35MBytes,11.00,,,,,,,805KBytes,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153920.txt,4.82MBytes,6.14MBytes,5.91MBytes,5.59MBytes,6.29MBytes,5.65MBytes,5.36MBytes,4.95MBytes,4.93MBytes,3.93MBytes,5.59MBytes,11.00,,,,,,,,,,645KBytes,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154530.txt,5.17MBytes,5.82MBytes,5.35MBytes,5.99MBytes,5.70MBytes,5.85MBytes,5.76MBytes,5.65MBytes,5.72MBytes,5.42MBytes,5.89MBytes,11.00,,,,,,411KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154134.txt,5.62MBytes,5.70MBytes,5.53MBytes,5.70MBytes,6.10MBytes,6.07MBytes,5.68MBytes,5.32MBytes,5.61MBytes,5.33MBytes,2.11MBytes,11.00,,,,,,,,,,,2.09MBytes,1.74MBytes,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154446.txt,5.56MBytes,5.60MBytes,5.82MBytes,5.82MBytes,5.04MBytes,6.09MBytes,5.77MBytes,5.91MBytes,5.60MBytes,6.09MBytes,6.00MBytes,11.00,,175KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153705.txt,5.86MBytes,4.95MBytes,4.41MBytes,6.14MBytes,5.70MBytes,5.42MBytes,5.77MBytes,5.84MBytes,5.21MBytes,5.07MBytes,5.26MBytes,11.00,,,,,,,,,,,,,880KBytes,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153739.txt,5.88MBytes,5.92MBytes,6.07MBytes,6.01MBytes,5.26MBytes,5.50MBytes,5.24MBytes,5.62MBytes,4.78MBytes,5.93MBytes,5.93MBytes,11.00,,,,,,335KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154902.txt,5.46MBytes,6.07MBytes,5.62MBytes,5.94MBytes,5.44MBytes,5.09MBytes,5.98MBytes,5.79MBytes,6.02MBytes,5.75MBytes,5.83MBytes,11.00,,,,,,,,,,,,,,355KBytes,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154255.txt,5.68MBytes,5.75MBytes,6.16MBytes,5.98MBytes,4.69MBytes,5.73MBytes,5.61MBytes,5.29MBytes,5.30MBytes,5.45MBytes,6.07MBytes,11.00,,,,,,,,,,,,,,,59.4KBytes,,,,,,,,,,,,,,,,,
iperf3_result_20231019154123.txt,5.14MBytes,5.76MBytes,5.92MBytes,6.10MBytes,5.88MBytes,5.35MBytes,2.55MBytes,5.94MBytes,5.77MBytes,5.89MBytes,5.31MBytes,11.00,,,,,,,,,,799KBytes,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153824.txt,5.43MBytes,5.89MBytes,5.61MBytes,5.29MBytes,5.59MBytes,4.85MBytes,4.30MBytes,5.86MBytes,5.25MBytes,5.06MBytes,5.55MBytes,11.00,,,,,,,919KBytes,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153415.txt,11.0MBytes,8.87MBytes,10.1MBytes,10.7MBytes,11.3MBytes,11.5MBytes,11.6MBytes,11.0MBytes,11.2MBytes,12.2MBytes,9.01MBytes,10.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154958.txt,5.77MBytes,5.57MBytes,3.80MBytes,5.84MBytes,5.44MBytes,5.26MBytes,5.48MBytes,5.31MBytes,4.71MBytes,5.84MBytes,5.65MBytes,11.00,,,,,,,,,,,,,,,,587KBytes,,,,,,,,,,,,,,,,
iperf3_result_20231019154541.txt,5.48MBytes,5.79MBytes,6.24MBytes,5.60MBytes,5.85MBytes,6.08MBytes,5.89MBytes,5.85MBytes,5.71MBytes,5.31MBytes,5.40MBytes,11.00,,,,,,,749KBytes,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154233.txt,5.44MBytes,5.46MBytes,5.78MBytes,5.78MBytes,5.26MBytes,6.24MBytes,3.88MBytes,5.91MBytes,6.03MBytes,5.72MBytes,5.63MBytes,11.00,,,,,,,,,,,,,,,,,472KBytes,,,,,,,,,,,,,,,
iperf3_result_20231019154435.txt,4.95MBytes,5.93MBytes,4.52MBytes,4.89MBytes,5.61MBytes,5.76MBytes,5.27MBytes,5.89MBytes,6.06MBytes,5.75MBytes,5.95MBytes,11.00,,,,,,,,,,,,,,,,,,246KBytes,,,,,,,,,,,,,,
iperf3_result_20231019154637.txt,5.31MBytes,5.78MBytes,6.38MBytes,5.95MBytes,6.05MBytes,6.20MBytes,5.74MBytes,3.52MBytes,2.22MBytes,1.32MBytes,5.03MBytes,11.00,,,,,,,,,,,,,888KBytes,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154147.txt,4.66MBytes,5.41MBytes,5.95MBytes,5.46MBytes,5.72MBytes,5.56MBytes,5.59MBytes,5.20MBytes,5.99MBytes,5.86MBytes,5.26MBytes,11.00,,,,,,,,,,,,,,,,,,,962KBytes,,,,,,,,,,,,,
iperf3_result_20231019154806.txt,5.45MBytes,5.57MBytes,5.76MBytes,5.71MBytes,5.56MBytes,5.76MBytes,5.49MBytes,5.47MBytes,5.63MBytes,5.65MBytes,6.02MBytes,11.00,,,,,,,,,,,,,,,,,,137KBytes,,,,,,,,,,,,,,
iperf3_result_20231019154027.txt,5.47MBytes,5.23MBytes,3.86MBytes,5.30MBytes,5.69MBytes,5.19MBytes,5.64MBytes,5.92MBytes,5.58MBytes,4.84MBytes,5.07MBytes,11.00,,,,,,,,,,,,,,,,,,,993KBytes,,,,,,,,,,,,,
iperf3_result_20231019154755.txt,5.13MBytes,5.75MBytes,6.06MBytes,6.22MBytes,4.71MBytes,6.11MBytes,5.83MBytes,5.21MBytes,5.47MBytes,5.36MBytes,5.92MBytes,11.00,,,,,,,,,,,,,,,,,658KBytes,,,,,,,,,,,,,,,
iperf3_result_20231019154350.txt,5.31MBytes,5.71MBytes,5.48MBytes,5.90MBytes,5.86MBytes,6.15MBytes,5.59MBytes,5.85MBytes,5.51MBytes,3.11MBytes,6.13MBytes,11.00,,,,,,,,,,,,,,,,,,174KBytes,,,,,,,,,,,,,,
iperf3_result_20231019154817.txt,5.66MBytes,5.67MBytes,5.70MBytes,5.80MBytes,5.64MBytes,5.51MBytes,5.42MBytes,5.76MBytes,5.70MBytes,5.67MBytes,5.22MBytes,11.00,,,,,,,,,,,,,,,,,,,,976KBytes,,,,,,,,,,,,
iperf3_result_20231019154744.txt,5.61MBytes,5.49MBytes,5.76MBytes,5.87MBytes,6.16MBytes,5.28MBytes,6.11MBytes,5.86MBytes,5.52MBytes,6.10MBytes,4.91MBytes,11.00,,,,,,,,,,,,,,,,,,,,,1.06MBytes,,,,,,,,,,,
iperf3_result_20231019153942.txt,5.82MBytes,5.56MBytes,4.39MBytes,5.06MBytes,5.67MBytes,5.62MBytes,5.39MBytes,5.72MBytes,5.50MBytes,5.31MBytes,5.86MBytes,11.00,,296KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154553.txt,4.04MBytes,4.92MBytes,4.88MBytes,5.41MBytes,6.49MBytes,5.90MBytes,6.32MBytes,4.72MBytes,6.12MBytes,6.31MBytes,6.06MBytes,11.00,,,,,154KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019154221.txt,5.32MBytes,6.24MBytes,5.60MBytes,6.21MBytes,5.98MBytes,5.37MBytes,5.90MBytes,5.84MBytes,4.35MBytes,5.55MBytes,5.41MBytes,11.00,,,,,,,,,,,,,,,,683KBytes,,,,,,,,,,,,,,,,
iperf3_result_20231019153835.txt,5.31MBytes,5.58MBytes,5.71MBytes,5.38MBytes,5.74MBytes,5.78MBytes,5.81MBytes,5.62MBytes,5.58MBytes,6.10MBytes,5.48MBytes,11.00,,,,,,,,,,,,,,,,659KBytes,,,,,,,,,,,,,,,,
iperf3_result_20231019153404.txt,10.4MBytes,10.9MBytes,11.0MBytes,10.1MBytes,11.2MBytes,10.6MBytes,11.3MBytes,11.1MBytes,10.1MBytes,10.6MBytes,11.1MBytes,10.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153558.txt,4.85MBytes,4.32MBytes,4.80MBytes,5.43MBytes,5.93MBytes,5.17MBytes,5.53MBytes,5.66MBytes,6.09MBytes,5.98MBytes,5.80MBytes,11.00,,264KBytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iperf3_result_20231019153954.txt,5.52MBytes,5.66MBytes,5.17MBytes,5.30MBytes,5.94MBytes,5.08MBytes,4.14MBytes,4.01MBytes,5.18MBytes,5.41MBytes,5.07MBytes,11.00,,,,,,,,,,,,,,,,,,,,,,1.06MBytes,,,,,,,,,,
