file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019153847.txt,7.86MBytes,7.67MBytes,7.78MBytes,7.77MBytes,7.00MBytes,7.04MBytes,6.98MBytes,7.05MBytes,7.02MBytes,7.17MBytes
iperf3_result_20231019154457.txt,7.70MBytes,7.78MBytes,7.65MBytes,7.74MBytes,7.55MBytes,7.74MBytes,7.71MBytes,7.59MBytes,7.65MBytes,7.17MBytes
iperf3_result_20231019153728.txt,7.85MBytes,7.69MBytes,7.82MBytes,7.72MBytes,7.06MBytes,7.01MBytes,7.01MBytes,7.06MBytes,7.04MBytes,7.04MBytes
iperf3_result_20231019154913.txt,7.79MBytes,7.54MBytes,7.69MBytes,7.61MBytes,7.26MBytes,7.53MBytes,7.65MBytes,7.74MBytes,7.64MBytes,7.55MBytes
iperf3_result_20231019154244.txt,7.72MBytes,7.75MBytes,7.82MBytes,7.80MBytes,7.05MBytes,7.07MBytes,7.03MBytes,7.18MBytes,7.02MBytes,7.08MBytes
iperf3_result_20231019154508.txt,7.80MBytes,7.72MBytes,7.90MBytes,7.71MBytes,7.21MBytes,7.74MBytes,7.84MBytes,7.76MBytes,7.68MBytes,7.70MBytes
iperf3_result_20231019154722.txt,7.75MBytes,7.75MBytes,7.44MBytes,7.21MBytes,7.69MBytes,7.63MBytes,7.65MBytes,7.62MBytes,7.70MBytes,7.15MBytes
iperf3_result_20231019153931.txt,7.61MBytes,7.80MBytes,7.47MBytes,7.73MBytes,6.93MBytes,6.99MBytes,7.06MBytes,7.02MBytes,7.04MBytes,7.03MBytes
iperf3_result_20231019153716.txt,7.81MBytes,7.95MBytes,7.75MBytes,7.94MBytes,6.94MBytes,7.04MBytes,7.06MBytes,7.05MBytes,7.07MBytes,7.04MBytes
iperf3_result_20231019153458.txt,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes,11.9MBytes
iperf3_result_20231019154519.txt,7.54MBytes,7.61MBytes,7.80MBytes,7.78MBytes,6.97MBytes,7.06MBytes,7.19MBytes,7.07MBytes,7.02MBytes,7.01MBytes
iperf3_result_20231019154733.txt,7.61MBytes,7.76MBytes,7.82MBytes,7.73MBytes,7.16MBytes,7.42MBytes,7.62MBytes,7.62MBytes,7.68MBytes,8.05MBytes
