file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-,total_time
iperf3_result_20231019174036.txt,434KBytes,522KBytes,587KBytes,587KBytes,649KBytes,649KBytes,687KBytes,724KBytes,865KBytes,884KBytes,,
iperf3_result_20231019173822.txt,238KBytes,454KBytes,585KBytes,667KBytes,667KBytes,718KBytes,788KBytes,788KBytes,831KBytes,871KBytes,,
iperf3_result_20231019174433.txt,243KBytes,402KBytes,477KBytes,477KBytes,526KBytes,560KBytes,590KBytes,590KBytes,628KBytes,628KBytes,,
iperf3_result_20231019174341.txt,532KBytes,532KBytes,639KBytes,639KBytes,707KBytes,707KBytes,707KBytes,798KBytes,798KBytes,798KBytes,,
iperf3_result_20231019174802.txt,175KBytes,272KBytes,355KBytes,426KBytes,518KBytes,590KBytes,677KBytes,758KBytes,789KBytes,911KBytes,0.00Bytes,10.17
iperf3_result_20231019174751.txt,129KBytes,335KBytes,474KBytes,499KBytes,499KBytes,526KBytes,557KBytes,646KBytes,731KBytes,809KBytes,0.00Bytes,10.53
iperf3_result_20231019174209.txt,211KBytes,365KBytes,462KBytes,512KBytes,537KBytes,537KBytes,570KBytes,570KBytes,650KBytes,650KBytes,,
iperf3_result_20231019174545.txt,232KBytes,410KBytes,535KBytes,594KBytes,604KBytes,673KBytes,725KBytes,817KBytes,906KBytes,1.03MBytes,,
iperf3_result_20231019173954.txt,218KBytes,385KBytes,498KBytes,547KBytes,617KBytes,621KBytes,655KBytes,690KBytes,730KBytes,735KBytes,1.25MBytes,10.04
iperf3_result_20231019173944.txt,284KBytes,426KBytes,475KBytes,527KBytes,561KBytes,608KBytes,608KBytes,643KBytes,643KBytes,643KBytes,,
iperf3_result_20231019174352.txt,191KBytes,337KBytes,447KBytes,535KBytes,604KBytes,604KBytes,604KBytes,604KBytes,631KBytes,655KBytes,1.25MBytes,10.18
iperf3_result_20231019174025.txt,389KBytes,486KBytes,512KBytes,560KBytes,560KBytes,619KBytes,619KBytes,619KBytes,619KBytes,751KBytes,1.25MBytes,10.11
iperf3_result_20231019174219.txt,297KBytes,437KBytes,584KBytes,624KBytes,624KBytes,624KBytes,653KBytes,687KBytes,687KBytes,687KBytes,,
iperf3_result_20231019174423.txt,171KBytes,370KBytes,499KBytes,609KBytes,609KBytes,609KBytes,609KBytes,609KBytes,609KBytes,636KBytes,,
iperf3_result_20231019173832.txt,225KBytes,475KBytes,522KBytes,704KBytes,704KBytes,742KBytes,819KBytes,819KBytes,819KBytes,918KBytes,,
iperf3_result_20231019174813.txt,208KBytes,387KBytes,465KBytes,518KBytes,585KBytes,639KBytes,725KBytes,816KBytes,949KBytes,1.04MBytes,,
iperf3_result_20231019174740.txt,286KBytes,537KBytes,649KBytes,687KBytes,687KBytes,727KBytes,727KBytes,810KBytes,867KBytes,967KBytes,1.25MBytes,10.36
iperf3_result_20231019174556.txt,139KBytes,195KBytes,267KBytes,354KBytes,414KBytes,626KBytes,748KBytes,833KBytes,875KBytes,933KBytes,1.25MBytes,10.25
iperf3_result_20231019174525.txt,428KBytes,485KBytes,559KBytes,559KBytes,559KBytes,587KBytes,619KBytes,619KBytes,634KBytes,694KBytes,,
iperf3_result_20231019174240.txt,242KBytes,443KBytes,527KBytes,527KBytes,585KBytes,617KBytes,617KBytes,617KBytes,617KBytes,617KBytes,,
iperf3_result_20231019174056.txt,434KBytes,535KBytes,571KBytes,598KBytes,628KBytes,628KBytes,628KBytes,628KBytes,669KBytes,669KBytes,,
iperf3_result_20231019173842.txt,288KBytes,520KBytes,520KBytes,578KBytes,711KBytes,711KBytes,834KBytes,834KBytes,834KBytes,887KBytes,,
iperf3_result_20231019174321.txt,184KBytes,409KBytes,461KBytes,505KBytes,533KBytes,563KBytes,563KBytes,588KBytes,641KBytes,723KBytes,,
iperf3_result_20231019173923.txt,403KBytes,496KBytes,551KBytes,580KBytes,655KBytes,655KBytes,655KBytes,693KBytes,731KBytes,731KBytes,,
iperf3_result_20231019174906.txt,419KBytes,520KBytes,556KBytes,617KBytes,650KBytes,725KBytes,800KBytes,848KBytes,945KBytes,945KBytes,,
iperf3_result_20231019173933.txt,256KBytes,419KBytes,472KBytes,515KBytes,550KBytes,584KBytes,652KBytes,686KBytes,686KBytes,686KBytes,,
iperf3_result_20231019174721.txt,305KBytes,450KBytes,551KBytes,605KBytes,728KBytes,827KBytes,894KBytes,998KBytes,1.07MBytes,1.15MBytes,0.00Bytes,10.73
