file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00,10.00-(11.00),total_time
iperf3_result_20231019173942.txt,2.79MBytes,3.42MBytes,4.21MBytes,2.91MBytes,2.65MBytes,2.86MBytes,2.85MBytes,3.23MBytes,2.91MBytes,2.90MBytes,362KBytes,10.11
iperf3_result_20231019173759.txt,3.17MBytes,2.61MBytes,5.98MBytes,4.45MBytes,3.58MBytes,4.07MBytes,3.44MBytes,3.25MBytes,3.30MBytes,3.24MBytes,393KBytes,10.10
iperf3_result_20231019174803.txt,5.30MBytes,4.60MBytes,5.06MBytes,4.73MBytes,4.63MBytes,4.90MBytes,4.57MBytes,4.23MBytes,3.64MBytes,4.82MBytes,320KBytes,10.07
iperf3_result_20231019174340.txt,3.42MBytes,2.63MBytes,2.49MBytes,2.63MBytes,2.48MBytes,2.47MBytes,2.59MBytes,2.84MBytes,2.62MBytes,2.77MBytes,467KBytes,10.16
iperf3_result_20231019174432.txt,4.69MBytes,3.33MBytes,3.00MBytes,2.82MBytes,2.74MBytes,2.84MBytes,2.87MBytes,2.81MBytes,2.92MBytes,2.88MBytes,199KBytes,10.06
iperf3_result_20231019174157.txt,2.79MBytes,4.62MBytes,3.06MBytes,2.35MBytes,2.87MBytes,3.47MBytes,2.84MBytes,2.64MBytes,2.71MBytes,2.84MBytes,324KBytes,10.10
iperf3_result_20231019174023.txt,2.69MBytes,2.79MBytes,3.39MBytes,2.63MBytes,2.85MBytes,2.81MBytes,2.22MBytes,2.89MBytes,2.49MBytes,2.58MBytes,194KBytes,10.07
iperf3_result_20231019174545.txt,5.31MBytes,3.20MBytes,3.06MBytes,2.83MBytes,2.95MBytes,4.27MBytes,4.62MBytes,4.17MBytes,4.87MBytes,4.24MBytes,580KBytes,10.14
iperf3_result_20231019174948.txt,11.3MBytes,11.0MBytes,10.9MBytes,10.9MBytes,11.1MBytes,11.1MBytes,10.8MBytes,11.2MBytes,10.8MBytes,11.3MBytes,864KBytes,10.07
iperf3_result_20231019174753.txt,2.69MBytes,2.98MBytes,2.40MBytes,2.63MBytes,2.54MBytes,3.27MBytes,3.23MBytes,3.86MBytes,4.11MBytes,5.58MBytes,658KBytes,10.12
