file,0.00-1.00,1.00-2.00,2.00-3.00,3.00-4.00,4.00-5.00,5.00-6.00,6.00-7.00,7.00-8.00,8.00-9.00,9.00-10.00
iperf3_result_20231019174036.txt,2.73MBytes,3.02MBytes,2.86MBytes,2.70MBytes,2.93MBytes,2.72MBytes,2.76MBytes,3.04MBytes,2.95MBytes,3.25MBytes
iperf3_result_20231019174803.txt,5.28MBytes,4.86MBytes,4.92MBytes,4.75MBytes,4.98MBytes,4.62MBytes,4.57MBytes,4.13MBytes,3.62MBytes,4.91MBytes
iperf3_result_20231019174433.txt,4.08MBytes,2.99MBytes,2.92MBytes,2.89MBytes,2.72MBytes,2.98MBytes,2.82MBytes,2.93MBytes,2.92MBytes,3.14MBytes
iperf3_result_20231019174341.txt,3.07MBytes,2.51MBytes,2.67MBytes,2.44MBytes,2.49MBytes,2.49MBytes,2.86MBytes,2.58MBytes,2.70MBytes,2.89MBytes
iperf3_result_20231019174209.txt,3.77MBytes,2.99MBytes,2.55MBytes,2.35MBytes,2.70MBytes,2.73MBytes,2.82MBytes,2.88MBytes,3.26MBytes,2.76MBytes
iperf3_result_20231019174545.txt,4.41MBytes,3.04MBytes,2.94MBytes,2.87MBytes,2.87MBytes,4.49MBytes,4.16MBytes,4.50MBytes,4.82MBytes,4.13MBytes
iperf3_result_20231019173955.txt,3.56MBytes,3.15MBytes,2.89MBytes,2.91MBytes,2.96MBytes,2.35MBytes,2.87MBytes,2.99MBytes,2.68MBytes,4.36MBytes
iperf3_result_20231019175459.txt,11.2MBytes,9.23MBytes,11.1MBytes,11.4MBytes,11.3MBytes,11.3MBytes,11.3MBytes,10.8MBytes,11.2MBytes,10.6MBytes
iperf3_result_20231019174753.txt,2.79MBytes,3.09MBytes,2.33MBytes,2.64MBytes,2.46MBytes,3.18MBytes,3.30MBytes,3.83MBytes,4.27MBytes,5.53MBytes
iperf3_result_20231019175539.txt,9.36MBytes,9.63MBytes,10.7MBytes,10.0MBytes,10.4MBytes,11.3MBytes,11.3MBytes,10.3MBytes,11.2MBytes,11.1MBytes
iperf3_result_20231019175049.txt,5.33MBytes,4.99MBytes,5.70MBytes,5.61MBytes,5.43MBytes,1.60MBytes,1.68MBytes,5.80MBytes,5.74MBytes,5.89MBytes
iperf3_result_20231019175302.txt,11.3MBytes,10.8MBytes,11.4MBytes,11.2MBytes,11.3MBytes,10.9MBytes,10.5MBytes,11.1MBytes,10.9MBytes,8.84MBytes
iperf3_result_20231019175100.txt,5.28MBytes,5.59MBytes,5.96MBytes,5.21MBytes,5.83MBytes,5.33MBytes,5.60MBytes,5.66MBytes,5.77MBytes,5.70MBytes
iperf3_result_20231019175845.txt,11.6MBytes,11.6MBytes,11.0MBytes,11.5MBytes,11.4MBytes,11.1MBytes,10.6MBytes,11.4MBytes,10.9MBytes,10.8MBytes
iperf3_result_20231019175110.txt,6.09MBytes,5.75MBytes,5.88MBytes,5.90MBytes,5.64MBytes,5.65MBytes,5.79MBytes,5.87MBytes,5.82MBytes,5.86MBytes
iperf3_result_20231019175312.txt,10.5MBytes,8.80MBytes,9.08MBytes,10.5MBytes,10.9MBytes,9.16MBytes,9.77MBytes,11.1MBytes,10.4MBytes,10.9MBytes
iperf3_result_20231019174742.txt,2.83MBytes,2.62MBytes,2.13MBytes,2.22MBytes,2.25MBytes,2.53MBytes,2.72MBytes,3.71MBytes,4.64MBytes,4.45MBytes
iperf3_result_20231019174352.txt,3.70MBytes,3.41MBytes,2.88MBytes,2.89MBytes,3.13MBytes,2.44MBytes,2.82MBytes,2.95MBytes,2.62MBytes,2.93MBytes
iperf3_result_20231019175529.txt,10.8MBytes,7.99MBytes,9.48MBytes,8.45MBytes,10.8MBytes,10.0MBytes,9.67MBytes,10.8MBytes,10.6MBytes,10.9MBytes
iperf3_result_20231019175449.txt,11.7MBytes,10.9MBytes,10.7MBytes,11.5MBytes,11.0MBytes,11.2MBytes,10.7MBytes,11.0MBytes,11.0MBytes,11.3MBytes
iperf3_result_20231019173945.txt,3.18MBytes,2.69MBytes,2.86MBytes,2.79MBytes,3.32MBytes,2.93MBytes,2.87MBytes,3.10MBytes,2.88MBytes,4.61MBytes
iperf3_result_20231019174958.txt,5.92MBytes,5.13MBytes,4.67MBytes,5.74MBytes,5.72MBytes,5.77MBytes,5.71MBytes,5.79MBytes,5.79MBytes,6.54MBytes
iperf3_result_20231019174219.txt,3.92MBytes,2.80MBytes,3.24MBytes,2.63MBytes,2.67MBytes,2.69MBytes,2.82MBytes,2.91MBytes,2.93MBytes,2.81MBytes
iperf3_result_20231019174423.txt,4.61MBytes,3.40MBytes,2.80MBytes,2.96MBytes,2.84MBytes,2.81MBytes,2.96MBytes,2.60MBytes,2.75MBytes,2.94MBytes
iperf3_result_20231019175714.txt,11.1MBytes,11.4MBytes,9.37MBytes,11.7MBytes,11.2MBytes,11.0MBytes,10.7MBytes,10.4MBytes,10.9MBytes,11.0MBytes
iperf3_result_20231019175700.txt,10.3MBytes,11.1MBytes,11.7MBytes,11.6MBytes,11.1MBytes,11.1MBytes,11.2MBytes,11.1MBytes,10.3MBytes,11.0MBytes
iperf3_result_20231019174813.txt,3.96MBytes,2.89MBytes,2.84MBytes,3.23MBytes,2.79MBytes,3.30MBytes,2.97MBytes,4.81MBytes,3.27MBytes,2.99MBytes
iperf3_result_20231019174026.txt,2.69MBytes,2.80MBytes,2.71MBytes,2.87MBytes,2.37MBytes,2.70MBytes,2.50MBytes,2.68MBytes,2.54MBytes,3.60MBytes
iperf3_result_20231019174556.txt,5.43MBytes,5.16MBytes,4.96MBytes,4.76MBytes,3.83MBytes,2.89MBytes,3.11MBytes,4.35MBytes,5.34MBytes,5.25MBytes
iperf3_result_20231019175439.txt,11.2MBytes,10.2MBytes,10.6MBytes,10.8MBytes,11.0MBytes,10.7MBytes,10.2MBytes,10.8MBytes,10.4MBytes,10.9MBytes
iperf3_result_20231019175029.txt,5.79MBytes,4.20MBytes,5.82MBytes,5.43MBytes,5.49MBytes,5.48MBytes,5.29MBytes,5.67MBytes,5.65MBytes,5.67MBytes
iperf3_result_20231019174732.txt,3.38MBytes,2.94MBytes,3.68MBytes,4.34MBytes,4.28MBytes,4.05MBytes,4.85MBytes,3.78MBytes,4.79MBytes,3.08MBytes
iperf3_result_20231019173934.txt,3.38MBytes,3.04MBytes,2.55MBytes,2.80MBytes,3.03MBytes,3.00MBytes,2.78MBytes,2.91MBytes,2.76MBytes,4.24MBytes
iperf3_result_20231019174524.txt,3.39MBytes,2.75MBytes,2.86MBytes,2.75MBytes,2.86MBytes,2.39MBytes,2.87MBytes,2.79MBytes,2.88MBytes,2.94MBytes
