PING 192.168.0.54 (192.168.0.54) 56(84) bytes of data.
64 bytes from 192.168.0.54: icmp_seq=1 ttl=64 time=76.6 ms
64 bytes from 192.168.0.54: icmp_seq=2 ttl=64 time=24.6 ms
64 bytes from 192.168.0.54: icmp_seq=3 ttl=64 time=29.2 ms
64 bytes from 192.168.0.54: icmp_seq=4 ttl=64 time=38.3 ms
64 bytes from 192.168.0.54: icmp_seq=5 ttl=64 time=28.8 ms
64 bytes from 192.168.0.54: icmp_seq=6 ttl=64 time=30.9 ms
64 bytes from 192.168.0.54: icmp_seq=7 ttl=64 time=41.8 ms
64 bytes from 192.168.0.54: icmp_seq=8 ttl=64 time=30.7 ms
64 bytes from 192.168.0.54: icmp_seq=9 ttl=64 time=118 ms
64 bytes from 192.168.0.54: icmp_seq=10 ttl=64 time=38.2 ms
64 bytes from 192.168.0.54: icmp_seq=11 ttl=64 time=71.6 ms
64 bytes from 192.168.0.54: icmp_seq=12 ttl=64 time=35.1 ms
64 bytes from 192.168.0.54: icmp_seq=13 ttl=64 time=52.4 ms
64 bytes from 192.168.0.54: icmp_seq=14 ttl=64 time=29.8 ms
64 bytes from 192.168.0.54: icmp_seq=15 ttl=64 time=84.6 ms
64 bytes from 192.168.0.54: icmp_seq=16 ttl=64 time=30.6 ms
64 bytes from 192.168.0.54: icmp_seq=17 ttl=64 time=31.5 ms
64 bytes from 192.168.0.54: icmp_seq=18 ttl=64 time=42.5 ms
64 bytes from 192.168.0.54: icmp_seq=19 ttl=64 time=47.1 ms
64 bytes from 192.168.0.54: icmp_seq=20 ttl=64 time=40.4 ms
64 bytes from 192.168.0.54: icmp_seq=21 ttl=64 time=41.5 ms
64 bytes from 192.168.0.54: icmp_seq=22 ttl=64 time=73.5 ms
64 bytes from 192.168.0.54: icmp_seq=23 ttl=64 time=72.0 ms
64 bytes from 192.168.0.54: icmp_seq=24 ttl=64 time=31.3 ms
64 bytes from 192.168.0.54: icmp_seq=25 ttl=64 time=49.8 ms
64 bytes from 192.168.0.54: icmp_seq=26 ttl=64 time=27.1 ms
64 bytes from 192.168.0.54: icmp_seq=27 ttl=64 time=43.3 ms
64 bytes from 192.168.0.54: icmp_seq=28 ttl=64 time=55.8 ms
64 bytes from 192.168.0.54: icmp_seq=29 ttl=64 time=35.2 ms
64 bytes from 192.168.0.54: icmp_seq=30 ttl=64 time=30.3 ms
64 bytes from 192.168.0.54: icmp_seq=31 ttl=64 time=28.2 ms
64 bytes from 192.168.0.54: icmp_seq=32 ttl=64 time=49.5 ms
64 bytes from 192.168.0.54: icmp_seq=33 ttl=64 time=35.6 ms
64 bytes from 192.168.0.54: icmp_seq=34 ttl=64 time=32.8 ms
64 bytes from 192.168.0.54: icmp_seq=35 ttl=64 time=30.0 ms
64 bytes from 192.168.0.54: icmp_seq=36 ttl=64 time=28.3 ms
64 bytes from 192.168.0.54: icmp_seq=37 ttl=64 time=23.4 ms
64 bytes from 192.168.0.54: icmp_seq=38 ttl=64 time=41.6 ms
64 bytes from 192.168.0.54: icmp_seq=39 ttl=64 time=42.8 ms
64 bytes from 192.168.0.54: icmp_seq=40 ttl=64 time=57.0 ms
64 bytes from 192.168.0.54: icmp_seq=41 ttl=64 time=40.6 ms
64 bytes from 192.168.0.54: icmp_seq=42 ttl=64 time=59.5 ms
64 bytes from 192.168.0.54: icmp_seq=43 ttl=64 time=37.6 ms
64 bytes from 192.168.0.54: icmp_seq=44 ttl=64 time=38.9 ms
64 bytes from 192.168.0.54: icmp_seq=45 ttl=64 time=29.1 ms
64 bytes from 192.168.0.54: icmp_seq=46 ttl=64 time=42.2 ms
64 bytes from 192.168.0.54: icmp_seq=47 ttl=64 time=34.1 ms
64 bytes from 192.168.0.54: icmp_seq=48 ttl=64 time=33.1 ms
64 bytes from 192.168.0.54: icmp_seq=49 ttl=64 time=31.6 ms
64 bytes from 192.168.0.54: icmp_seq=50 ttl=64 time=44.0 ms
64 bytes from 192.168.0.54: icmp_seq=51 ttl=64 time=60.3 ms
64 bytes from 192.168.0.54: icmp_seq=52 ttl=64 time=54.0 ms
64 bytes from 192.168.0.54: icmp_seq=53 ttl=64 time=31.1 ms
64 bytes from 192.168.0.54: icmp_seq=54 ttl=64 time=45.7 ms
64 bytes from 192.168.0.54: icmp_seq=55 ttl=64 time=54.3 ms
64 bytes from 192.168.0.54: icmp_seq=56 ttl=64 time=33.3 ms
64 bytes from 192.168.0.54: icmp_seq=57 ttl=64 time=40.7 ms

--- 192.168.0.54 ping statistics ---
57 packets transmitted, 57 received, 0% packet loss, time 56083ms
rtt min/avg/max/mdev = 23.443/43.193/118.173/17.083 ms
